unit	va	dc	ours	dc_lines	ratio	score
adventuremapwindow	0x403bf0	0x113c	6	7	0.857	100.0
adventuremapwindow	0x403ee0	0x1190	4	5	0.800	100.0
adventuremapwindow	0x403f00	0x11bc	3	7	0.429	100.0
adventureoptionswindow	0x4051d0	0x4cf4	42	39	1.077	100.0
adventureoptionswindow	0x4056c0	0x514c	3	3	1.000	100.0
adventureoptionswindow	0x405730	0x5204	36	40	0.900	99.9367
advmgr	0x405de0	0x5864	2	3	0.667	100.0
advmgr	0x405df0	0x5888	2	3	0.667	100.0
advmgr	0x405e10	0x58bc	2	3	0.667	100.0
advmgr	0x405e30	0x58f0	1	110	0.009	0.0
advmgr	0x406480	0x5fc8	1	14	0.071	0.0
advmgr	0x406a20	0x61cc	1	18	0.056	0.0
advmgr	0x406bf0	0x6428	18	6	3.000	100.0
advmgr	0x406df0	0x66f4	1	63	0.016	0.0
advmgr	0x406fd0	0x6b24	1	131	0.008	0.0
advmgr	0x4077e0	0x74ec	1	72	0.014	0.0
advmgr	0x407ac0	0x793c	3	4	0.750	100.0
advmgr	0x407b10	0x1f000	2	3	0.667	100.0
advmgr	0x407b80	0x7a8c	1	125	0.008	0.0
advmgr	0x408770	0x1f9c8	2	3	0.667	100.0
advmgr	0x4087b0	0x8644	1	66	0.015	0.0
advmgr	0x408c40	0x8b70	1	116	0.009	0.0
advmgr	0x4097e0	0x9330	1	33	0.030	0.0
advmgr	0x409a70	0x9a94	1	86	0.012	0.0
advmgr	0x40a0c0	0xa168	1	66	0.015	0.0
advmgr	0x40a5d0	0xa88c	1	79	0.013	0.0
advmgr	0x40af60	0xbec8	10	3	3.333	100.0
advmgr	0x40afb0	0xbf1c	26	20	1.300	100.0
advmgr	0x40b0e0	0xc094	10	5	2.000	100.0
advmgr	0x40b150	0xc13c	201	506	0.397	89.8242
advmgr	0x40deb0	0xed7c	47	58	0.810	80.94
advmgr	0x40e280	0xf2c0	10	14	0.714	100.0
advmgr	0x40e360	0xf3a8	129	125	1.032	74.7786
advmgr	0x40ec80	0xfd6c	2	4	0.500	100.0
advmgr	0x40ec90	0xfd84	89	63	1.413	92.1925
advmgr	0x40f270	0x10520	8	9	0.889	100.0
advmgr	0x40f2f0	0x10640	6	7	0.857	100.0
advmgr	0x40f3f0	0x10788	58	75	0.773	100.0
advmgr	0x40f870	0x10c9c	2	3	0.667	100.0
advmgr	0x40f8c0	0x10cf4	25	46	0.543	100.0
advmgr	0x40fb30	0x110c0	16	21	0.762	100.0
advmgr	0x40fca0	0x11238	4	5	0.800	100.0
advmgr	0x40fd20	0x1129c	22	22	1.000	100.0
advmgr	0x40fe30	0x11424	16	16	1.000	98.1667
advmgr	0x4102c0	0x11958	17	18	0.944	98.184
advmgr	0x410760	0x11ea4	8	8	1.000	100.0
advmgr	0x4109b0	0x120ec	8	8	1.000	100.0
advmgr	0x410c00	0x12334	149	104	1.433	86.3772
advmgr	0x411590	0x12fcc	115	64	1.797	83.2068
advmgr	0x411b80	0x13890	28	25	1.120	100.0
advmgr	0x411d60	0x13a64	29	27	1.074	100.0
advmgr	0x411f50	0x13c68	1	26	0.038	0.0
advmgr	0x4120b0	0x13e28	1	26	0.038	0.0
advmgr	0x412220	0x13fc8	37	46	0.804	91.2464
advmgr	0x412470	0x142e0	55	37	1.486	92.218
advmgr	0x412900	0x147c4	37	47	0.787	94.8769
advmgr	0x412bd0	0x14b90	3	5	0.600	100.0
advmgr	0x412c40	0x14bec	1	240	0.004	0.0
advmgr	0x413790	0x15f7c	2	3	0.667	100.0
advmgr	0x4137c0	0x15fdc	218	525	0.415	59.3596
advmgr	0x415d60	0x18c84	17	22	0.773	100.0
advmgr	0x415de0	0x18d38	27	32	0.844	100.0
advmgr	0x415f20	0x18f48	8	9	0.889	100.0
advmgr	0x415fb0	0x18fc4	9	10	0.900	100.0
advmgr	0x416060	0x19098	8	8	1.000	93.3333
advmgr	0x416160	0x190fc	6	8	0.750	100.0
advmgr	0x416210	0x19194	5	5	1.000	92.6829
advmgr	0x4162f0	0x191d0	6	8	0.750	100.0
advmgr	0x4163a0	0x1927c	7	9	0.778	100.0
advmgr	0x416450	0x1930c	6	8	0.750	100.0
advmgr	0x4164f0	0x19388	6	8	0.750	100.0
advmgr	0x416590	0x194bc	1	14	0.071	0.0
advmgr	0x4167a0	0x19674	1	67	0.015	0.0
advmgr	0x416f80	0x19cdc	1	20	0.050	0.0
advmgr	0x417150	0x19e80	1	35	0.029	0.0
advmgr	0x417420	0x1a230	19	16	1.188	100.0
advmgr	0x417570	0x1a3b0	3	6	0.500	100.0
advmgr	0x4175a0	0x1a3f0	4	7	0.571	100.0
advmgr	0x4175e0	0x1a440	11	17	0.647	100.0
advmgr	0x417680	0x1a520	1	20	0.050	0.0
advmgr	0x417830	0x1a65c	1	25	0.040	0.0
advmgr	0x417b20	0x1a878	1	66	0.015	0.0
advmgr	0x418160	0x1ae38	1	40	0.025	0.0
advmgr	0x4183d0	0x1b164	1	36	0.028	0.0
advmgr	0x418620	0x1b5a8	115	147	0.782	89.5008
advmgr	0x418c10	0x1be10	1	34	0.029	0.0
advmgr	0x418dd0	0x1c05c	1	46	0.022	0.0
advmgr	0x4192b0	0x1edb0	4	5	0.800	100.0
advmgr	0x419300	0x1c484	21	17	1.235	100.0
advmgr	0x419450	0x1c5ec	3	6	0.500	100.0
advmgr	0x4194a0	0x1c64c	11	12	0.917	100.0
advmgr	0x419570	0x1c750	7	7	1.000	100.0
advmgr	0x4195c0	0x1c7e4	1	46	0.022	0.0
advmgr	0x419820	0x1cb08	1	36	0.028	0.0
advmgr	0x419990	0x1cd68	1	34	0.029	0.0
advmgr	0x419c80	0x1d0bc	23	22	1.045	100.0
advmgr	0x419e00	0x1d30c	1	42	0.024	0.0
advmgr	0x41a100	0x1d6ec	15	17	0.882	100.0
advmgr	0x41a1e0	0x1d804	23	31	0.742	100.0
advmgr	0x41a2e0	0x1d9e0	16	18	0.889	100.0
advmgr	0x41a3a0	0x1dafc	16	18	0.889	100.0
advmgr	0x41a460	0x1dc24	17	17	1.000	82.0057
advmgr	0x41a660	0x1dde4	18	21	0.857	100.0
advmgr	0x41a750	0x1df7c	7	15	0.467	100.0
advmgr	0x41a7f0	0x1e068	1	26	0.038	0.0
advmgr	0x41ab00	0x1e448	24	23	1.043	100.0
advmgr	0x41ac00	0x1e5e8	1	39	0.026	0.0
advmgr	0x41adb0	0x1e86c	1	29	0.034	0.0
advmgr	0x41b010	0x1ebb8	2	3	0.667	100.0
advmgr	0x41b040	0x1ebf4	10	5	2.000	100.0
advspells	0x41c2f0	0x2194c	22	18	1.222	100.0
ai	0x41eac0	0x23f2c	11	10	1.100	100.0
ai	0x41eb80	0x240e4	34	33	1.030	100.0
ai	0x41eea0	0x2429c	33	35	0.943	100.0
ai	0x41f060	0x2452c	15	13	1.154	100.0
ai	0x41f140	0x24694	24	26	0.923	100.0
ai	0x41f380	0x27d9c	2	2	1.000	100.0
ai	0x41f3b0	0x24a34	26	18	1.444	96.3533
ai	0x41f580	0x24b64	49	55	0.891	100.0
ai	0x41f890	0x24e5c	8	9	0.889	100.0
ai	0x41f920	0x24ef4	1	29	0.034	0.0
ai	0x41fb60	0x25124	1	33	0.030	0.0
ai	0x41fd60	0x2544c	1	33	0.030	0.0
ai	0x420260	0x256a0	1	43	0.023	0.0
ai	0x4205d0	0x25998	1	34	0.029	0.0
ai	0x420760	0x25b0c	1	33	0.030	0.0
ai	0x4208f0	0x25c80	26	23	1.130	100.0
ai	0x420a80	0x25df8	1	27	0.037	0.0
ai	0x420d20	0x2600c	1	24	0.042	0.0
ai	0x421000	0x26140	1	39	0.026	0.0
ai	0x421280	0x26464	1	11	0.091	0.0
ai	0x4213f0	0x264fc	12	14	0.857	100.0
ai	0x4214f0	0x26600	7	9	0.778	100.0
ai	0x421680	0x266d4	1	116	0.009	0.0
ai	0x421f80	0x26ee0	13	14	0.929	100.0
ai	0x422060	0x26fa8	31	29	1.069	82.4884
ai	0x4221f0	0x27138	15	21	0.714	98.4697
ai	0x4222c0	0x27200	26	24	1.083	100.0
ai	0x422440	0x27318	8	8	1.000	100.0
ai_combat	0x423c80	0x29978	7	8	0.875	100.0
ai_combat	0x423d00	0x29b94	6	11	0.545	100.0
ai_combat	0x423de0	0x29ce0	9	9	1.000	100.0
ai_combat	0x423ea0	0x29dec	9	9	1.000	100.0
ai_combat	0x423ee0	0x29e2c	29	28	1.036	100.0
ai_combat	0x424120	0x29f58	53	55	0.964	91.0075
ai_combat	0x424790	0x2a470	21	24	0.875	100.0
ai_combat	0x424880	0x2a588	10	15	0.667	100.0
ai_combat	0x424960	0x2a644	4	6	0.667	100.0
ai_combat	0x4249d0	0x2a694	12	15	0.800	100.0
ai_combat	0x424bf0	0x2a7e4	8	8	1.000	100.0
ai_combat	0x424d20	0x2a868	15	16	0.938	100.0
ai_combat	0x424fb0	0x2a938	12	11	1.091	100.0
ai_combat	0x425100	0x2a9e8	8	9	0.889	100.0
ai_combat	0x425260	0x2aa7c	11	12	0.917	100.0
ai_combat	0x4253e0	0x2ab88	5	6	0.833	100.0
ai_combat	0x425510	0x2ad58	14	16	0.875	89.4646
ai_combat	0x4258a0	0x2ae60	9	9	1.000	100.0
ai_combat	0x425b10	0x2af04	16	16	1.000	100.0
ai_combat	0x425bd0	0x2b094	54	48	1.125	85.4316
ai_combat	0x426170	0x2b408	15	11	1.364	100.0
ai_combat	0x4262b0	0x2b5a4	5	5	1.000	100.0
ai_combat	0x426300	0x2b5ec	7	8	0.875	100.0
ai_combat	0x426390	0x2b624	7	10	0.700	100.0
ai_combat	0x426450	0x2b7bc	4	5	0.800	100.0
ai_combat	0x4264d0	0x2b948	13	12	1.083	94.7603
ai_combat	0x4267c0	0x2bad8	43	23	1.870	90.9329
ai_combat	0x426bc0	0x2bc40	15	16	0.938	100.0
ai_combat	0x426df0	0x2bd6c	18	7	2.571	100.0
ai_combat	0x426ee0	0x2be54	38	39	0.974	97.3171
ai_combat	0x4270c0	0x2c004	11	9	1.222	100.0
ai_combat	0x427210	0x2c140	10	11	0.909	100.0
ai_combat	0x427330	0x2c27c	33	44	0.750	99.9592
ai_combat	0x427650	0x2c614	2	2	1.000	100.0
ai_combat	0x427690	0x2c628	4	5	0.800	100.0
ai_combat	0x427750	0x2c6ac	3	2	1.500	100.0
ai_player	0x428710	0x2e15c	4	4	1.000	100.0
ai_player	0x428740	0x2e188	80	65	1.231	86.3767
ai_player	0x428dd0	0x2e7d8	40	38	1.053	89.5263
ai_player	0x429110	0x2ea20	70	79	0.886	80.5192
ai_player	0x4297c0	0x2f148	21	23	0.913	100.0
ai_player	0x429ab0	0x2f268	2	3	0.667	100.0
ai_player	0x429ad0	0x2f280	30	27	1.111	96.4566
ai_player	0x42a150	0x301c4	13	12	1.083	100.0
ai_player	0x42ed30	0x37eec	3	3	1.000	100.0
ai_player	0x42ed80	0x38000	2	2	1.000	100.0
ai_tactical	0x435830	0x3c55c	2	2	1.000	100.0
ai_tactical	0x435960	0x3c580	2	2	1.000	100.0
ai_tactical	0x435980	0x3c810	3	3	1.000	100.0
ai_tactical	0x4359b0	0x3c8dc	10	13	0.769	100.0
ai_tactical	0x435b90	0x3c9ac	17	16	1.062	99.1053
ai_tactical	0x435c70	0x3ca94	4	4	1.000	100.0
ai_tactical	0x435cb0	0x3cae4	11	10	1.100	100.0
ai_tactical	0x435dc0	0x3cba0	11	13	0.846	100.0
ai_tactical	0x435ec0	0x3cc8c	1	39	0.026	0.0
ai_tactical	0x4360c0	0x3ceb8	17	16	1.062	100.0
ai_tactical	0x436180	0x3cf50	21	23	0.913	84.375
ai_tactical	0x436300	0x3d1e4	1	38	0.026	0.0
ai_tactical	0x436840	0x3d440	16	20	0.800	100.0
ai_tactical	0x436930	0x3d56c	2	2	1.000	100.0
ai_tactical	0x436950	0x3d584	5	6	0.833	100.0
ai_tactical	0x436980	0x3d5b0	5	6	0.833	100.0
ai_tactical	0x4369c0	0x3d604	1	11	0.091	0.0
ai_tactical	0x436c30	0x3d764	2	4	0.500	100.0
ai_tactical	0x436c60	0x3d838	30	15	2.000	85.5822
ai_tactical	0x436e30	0x3d96c	14	14	1.000	100.0
ai_tactical	0x436f60	0x3da7c	3	3	1.000	100.0
ai_tactical	0x436fb0	0x3db2c	8	9	0.889	100.0
ai_tactical	0x437040	0x3db84	10	14	0.714	100.0
ai_tactical	0x437190	0x3dcc4	1	17	0.059	0.0
ai_tactical	0x437310	0x3dde8	12	10	1.200	100.0
ai_tactical	0x4373f0	0x3df28	3	4	0.750	100.0
ai_tactical	0x437430	0x3e17c	24	7	3.429	100.0
ai_tactical	0x4375d0	0x3e280	32	15	2.133	98.9849
ai_tactical	0x437800	0x3e3bc	34	8	4.250	99.8503
ai_tactical	0x438100	0x3e4a0	7	6	1.167	100.0
ai_tactical	0x438170	0x3e50c	15	8	1.875	100.0
ai_tactical	0x4382c0	0x3e658	21	13	1.615	100.0
ai_tactical	0x438490	0x3e87c	1	24	0.042	0.0
ai_tactical	0x4387c0	0x3e9d8	16	14	1.143	100.0
ai_tactical	0x438910	0x3ec10	10	9	1.111	100.0
ai_tactical	0x438a10	0x3ed34	9	9	1.000	100.0
ai_tactical	0x438ac0	0x3eea8	7	6	1.167	100.0
ai_tactical	0x438b50	0x3ef24	7	6	1.167	100.0
ai_tactical	0x438bc0	0x3ef90	7	8	0.875	100.0
ai_tactical	0x438c60	0x3f080	7	8	0.875	100.0
ai_tactical	0x438d00	0x3f158	7	7	1.000	100.0
ai_tactical	0x438d90	0x3f208	2	2	1.000	100.0
ai_tactical	0x438dc0	0x3f22c	15	12	1.250	100.0
ai_tactical	0x438ed0	0x3f408	7	9	0.778	100.0
ai_tactical	0x438f60	0x3f5f0	18	11	1.636	100.0
ai_tactical	0x439100	0x3f7f0	20	13	1.538	100.0
ai_tactical	0x439270	0x3fa24	1	37	0.027	0.0
ai_tactical	0x439500	0x3fc20	4	5	0.800	100.0
ai_tactical	0x439550	0x3fc80	28	25	1.120	100.0
ai_tactical	0x4396b0	0x3fdb8	2	2	1.000	100.0
ai_tactical	0x4396e0	0x3fde4	1	34	0.029	0.0
ai_tactical	0x4399a0	0x40060	2	2	1.000	100.0
ai_tactical	0x4399d0	0x4008c	2	2	1.000	100.0
ai_tactical	0x439a00	0x400b8	3	2	1.500	100.0
ai_tactical	0x439a40	0x400f4	3	2	1.500	100.0
ai_tactical	0x439a80	0x40248	1	19	0.053	0.0
ai_tactical	0x439bc0	0x40348	3	3	1.000	100.0
ai_tactical	0x439c30	0x403c0	9	9	1.000	95.4886
ai_tactical	0x439d40	0x40570	5	5	1.000	100.0
ai_tactical	0x439de0	0x405d4	3	4	0.750	100.0
ai_tactical	0x439e80	0x40628	1	27	0.037	0.0
ai_tactical	0x43a110	0x407e8	1	15	0.067	0.0
ai_tactical	0x43a340	0x40928	12	13	0.923	100.0
ai_tactical	0x43a400	0x40a08	8	9	0.889	100.0
ai_tactical	0x43a500	0x40ac0	23	18	1.278	96.3475
ai_tactical	0x43a670	0x40bb8	1	23	0.043	0.0
ai_tactical	0x43a910	0x40dc8	1	15	0.067	0.0
ai_tactical	0x43aa60	0x40ec0	1	20	0.050	0.0
ai_tactical	0x43aca0	0x4101c	1	27	0.037	0.0
ai_tactical	0x43af50	0x41278	1	25	0.040	0.0
ai_tactical	0x43b1e0	0x414a0	14	11	1.273	100.0
ai_tactical	0x43b2e0	0x41558	9	7	1.286	100.0
ai_tactical	0x43b370	0x41624	21	15	1.400	99.8731
ai_tactical	0x43b500	0x41890	21	11	1.909	100.0
ai_tactical	0x43b690	0x41a7c	1	41	0.024	0.0
ai_tactical	0x43b8f0	0x41c30	1	29	0.034	0.0
ai_tactical	0x43bb20	0x41ed4	1	33	0.030	0.0
ai_tactical	0x43bf20	0x420ac	18	11	1.636	95.2778
ai_tactical	0x43c040	0x4227c	42	21	2.000	87.7343
ai_tactical	0x43c330	0x423f4	1	9	0.111	0.0
ai_tactical	0x43c4a0	0x424c4	1	20	0.050	0.0
ai_tactical	0x43c800	0x426b0	1	43	0.023	0.0
army	0x43d540	0x43830	3	5	0.600	100.0
army	0x43d580	0x4386c	3	5	0.600	100.0
army	0x43df20	0x44318	20	14	1.429	97.0115
army	0x43e000	0x443b4	31	22	1.409	97.5194
army	0x442550	0x477b8	2	3	0.667	100.0
army	0x4466a0	0x4b354	3	3	1.000	100.0
armygrp	0x4496a0	0x4dae4	4	4	1.000	100.0
