# KNOWN Dreamcast source-shape backlog. Each row is one stable
# caller/callee, statement-group, or direct-contract identity.
# The build rolls rows DOWN-only; --write-baseline is the only
# deliberate way to admit new debt. Retail score is never a waiver.
# kind	dc-module-or-source	dc-offset	callee-or-contract
call	DC_precompiledheaders.obj	0x80130	bufwrite
call	ResSw.obj	0x123b10	ResolutionSwitch::S_to_600
call	ResSw.obj	0x123bb4	ResolutionSwitch::S_to_600
call	ResSw.obj	0x123bb4	ResolutionSwitch::S_to_800
call	adventuremapwindow.obj	0x11bc	heroWindowManager::UpdateScreen
call	adventuremapwindow.obj	0x2fa0	min
call	advmgr.obj	0x10520	max
call	advmgr.obj	0x10788	CDPlayHeroes::GetNetMsgHandler
call	advmgr.obj	0x10788	CNetMsgHandler::IsInPopup
call	advmgr.obj	0x10788	advManager::DrawCursorAlpha
call	advmgr.obj	0x10788	mouseManager::Disable
call	advmgr.obj	0x10788	mouseManager::Enable
call	advmgr.obj	0x1129c	game::GetHero
call	advmgr.obj	0x1129c	generator::get_owner
call	advmgr.obj	0x1129c	type_obscuring_object::get_obscured_extra_info
call	advmgr.obj	0x1129c	type_obscuring_object::get_obscured_type
call	advmgr.obj	0x11424	advManager::GetCell
call	advmgr.obj	0x11424	game::GetHero
call	advmgr.obj	0x11424	hero::GetHflip
call	advmgr.obj	0x11424	type_obscuring_object::get_location
call	advmgr.obj	0x11958	advManager::GetCell
call	advmgr.obj	0x11958	game::GetHero
call	advmgr.obj	0x11958	hero::GetHflip
call	advmgr.obj	0x11958	type_obscuring_object::get_location
call	advmgr.obj	0x11ea4	advManager::GetCell
call	advmgr.obj	0x11ea4	boat::GetHflip
call	advmgr.obj	0x11ea4	game::GetBoat
call	advmgr.obj	0x11ea4	type_obscuring_object::get_location
call	advmgr.obj	0x120ec	advManager::GetCell
call	advmgr.obj	0x120ec	boat::GetHflip
call	advmgr.obj	0x120ec	game::GetBoat
call	advmgr.obj	0x120ec	type_obscuring_object::get_location
call	advmgr.obj	0x12334	hasFlag
call	advmgr.obj	0x12fcc	advManager::GetCell
call	advmgr.obj	0x13890	advManager::GetCell
call	advmgr.obj	0x13a64	advManager::GetCell
call	advmgr.obj	0x13c68	advManager::GetRouteArray
call	advmgr.obj	0x13e28	advManager::GetRouteArray
call	advmgr.obj	0x13fc8	advManager::GetCell
call	advmgr.obj	0x142e0	advManager::GetCell
call	advmgr.obj	0x142e0	hasFlag
call	advmgr.obj	0x147c4	advManager::GetCell
call	advmgr.obj	0x14b90	NewfullMap::cell
call	advmgr.obj	0x14bec	Bitmap16Bit::GetMap
call	advmgr.obj	0x14bec	Bitmap16Bit::GetPitch
call	advmgr.obj	0x14bec	CSprite::GetHeight
call	advmgr.obj	0x14bec	CSprite::GetPaletteColor
