# Reviewed exclusions from the authored-function comparison, keyed by exact DC source identity.
# Reasons distinguish platform bodies, external library emissions and compiler-generated functions.
file	function	line	reason
soundmgr.h	soundManager::service_sounds	140	WinCE no-op: dc 0xe6ef4 is a four-byte rts/nop attributed to SoundMgr.h:140. This positively locates the CE stub, not the nonempty Windows Miles implementation. Complete's retained helper and source-visibility inference are documented beside soundManager::serviceSounds in src/soundmgr.cpp.
../stlport/char_traits.h	std::__char_traits_base<char,int>::eq	74	Library emission: Dreamcast STLport specialization; Complete uses the VC6 Dinkumware library from its toolchain. No project-authored C++ body is expected for this procedure; source helpers calling containers remain audited separately.
../stlport/char_traits.h	std::__char_traits_base<char,int>::move	105	Library emission: Dreamcast STLport specialization; Complete uses the VC6 Dinkumware library from its toolchain. No project-authored C++ body is expected for this procedure; source helpers calling containers remain audited separately.
../stlport/char_traits.h	std::__char_traits_base<char,int>::copy	110	Library emission: Dreamcast STLport specialization; Complete uses the VC6 Dinkumware library from its toolchain. No project-authored C++ body is expected for this procedure; source helpers calling containers remain audited separately.
../stlport/char_traits.h	std::char_traits<char>::compare	174	Library emission: Dreamcast STLport specialization; Complete uses the VC6 Dinkumware library from its toolchain. No project-authored C++ body is expected for this procedure; source helpers calling containers remain audited separately.
../stlport/char_traits.h	std::char_traits<char>::length	176	Library emission: Dreamcast STLport specialization; Complete uses the VC6 Dinkumware library from its toolchain. No project-authored C++ body is expected for this procedure; source helpers calling containers remain audited separately.
../stlport/char_traits.h	std::char_traits<char>::assign	178	Library emission: Dreamcast STLport specialization; Complete uses the VC6 Dinkumware library from its toolchain. No project-authored C++ body is expected for this procedure; source helpers calling containers remain audited separately.
../stlport/char_traits.h	std::pair<ResourceManager::TCacheMapKey const ,resource *>::`scalar deleting destructor'	201	Library emission: Dreamcast STLport specialization; Complete uses the VC6 Dinkumware library from its toolchain. No project-authored C++ body is expected for this procedure; source helpers calling containers remain audited separately.
../stlport/new	std::__stl_new	77	Library emission: Dreamcast STLport specialization; Complete uses the VC6 Dinkumware library from its toolchain. No project-authored C++ body is expected for this procedure; source helpers calling containers remain audited separately.
../stlport/new	std::__stl_delete	86	Library emission: Dreamcast STLport specialization; Complete uses the VC6 Dinkumware library from its toolchain. No project-authored C++ body is expected for this procedure; source helpers calling containers remain audited separately.
../stlport/stl_algo.c	std::__median	44	Library emission: Dreamcast STLport specialization; Complete uses the VC6 Dinkumware library from its toolchain. No project-authored C++ body is expected for this procedure; source helpers calling containers remain audited separately.
../stlport/stl_algo.c	std::__median	65	Library emission: Dreamcast STLport specialization; Complete uses the VC6 Dinkumware library from its toolchain. No project-authored C++ body is expected for this procedure; source helpers calling containers remain audited separately.
../stlport/stl_algo.c	std::__unguarded_partition	923	Library emission: Dreamcast STLport specialization; Complete uses the VC6 Dinkumware library from its toolchain. No project-authored C++ body is expected for this procedure; source helpers calling containers remain audited separately.
../stlport/stl_algo.c	std::__unguarded_partition	941	Library emission: Dreamcast STLport specialization; Complete uses the VC6 Dinkumware library from its toolchain. No project-authored C++ body is expected for this procedure; source helpers calling containers remain audited separately.
../stlport/stl_algo.c	std::__unguarded_linear_insert	960	Library emission: Dreamcast STLport specialization; Complete uses the VC6 Dinkumware library from its toolchain. No project-authored C++ body is expected for this procedure; source helpers calling containers remain audited separately.
../stlport/stl_algo.c	std::__unguarded_linear_insert	974	Library emission: Dreamcast STLport specialization; Complete uses the VC6 Dinkumware library from its toolchain. No project-authored C++ body is expected for this procedure; source helpers calling containers remain audited separately.
../stlport/stl_algo.c	std::__linear_insert	987	Library emission: Dreamcast STLport specialization; Complete uses the VC6 Dinkumware library from its toolchain. No project-authored C++ body is expected for this procedure; source helpers calling containers remain audited separately.
../stlport/stl_algo.c	std::__linear_insert	1000	Library emission: Dreamcast STLport specialization; Complete uses the VC6 Dinkumware library from its toolchain. No project-authored C++ body is expected for this procedure; source helpers calling containers remain audited separately.
../stlport/stl_algo.c	std::__insertion_sort	1012	Library emission: Dreamcast STLport specialization; Complete uses the VC6 Dinkumware library from its toolchain. No project-authored C++ body is expected for this procedure; source helpers calling containers remain audited separately.
../stlport/stl_algo.c	std::__insertion_sort	1020	Library emission: Dreamcast STLport specialization; Complete uses the VC6 Dinkumware library from its toolchain. No project-authored C++ body is expected for this procedure; source helpers calling containers remain audited separately.
