# MANUALLY MANAGED - vostok --reloc-alias-manifest (schema: src/reloc_alias_manifest.rs @ 1393e24).
# Reviewed rows only; site_rva may be `*`; exact rows must declare occurrences=1.
function_rva	target_rva	site_rva	owner	addend	occurrences
0x00003bf0	0x0029ccb0	0x00003bfb	?gpCurrentPlayer@@3PAVplayerData@@A	0x0	1
0x0001a2e0	0x00299268	0x0001a2e1	?gpAdvManager@@3PAVadvManager@@A	0x0	1
0x00069fe0	0x00287f58	0x0006a02a	?akSpellTraits@@3AAY0FB@$$CBUSSpellTraits@@A	0x0	1
0x001f1d40	0x0026cdd0	*	?bitNumber@@3PA_JA	0x38	1
0x001f1d40	0x0026cdd4	*	?bitNumber@@3PA_JA	0x3c	1
0x001f1d40	0x0026cdd8	*	?bitNumber@@3PA_JA	0x40	1
0x001f1d40	0x0026cddc	*	?bitNumber@@3PA_JA	0x44	1
0x001f1d40	0x0026cde0	*	?bitNumber@@3PA_JA	0x48	1
0x001f1d40	0x0026cde4	*	?bitNumber@@3PA_JA	0x4c	1
0x001f1d40	0x0026cdf0	*	?bitNumber@@3PA_JA	0x58	1
0x001f1d40	0x0026cdf4	*	?bitNumber@@3PA_JA	0x5c	1
0x001f1d40	0x0026cdf8	*	?bitNumber@@3PA_JA	0x60	1
0x001f1d40	0x0026cdfc	*	?bitNumber@@3PA_JA	0x64	1
0x001f1d40	0x0026ce00	*	?bitNumber@@3PA_JA	0x68	1
0x001f1d40	0x0026ce04	*	?bitNumber@@3PA_JA	0x6c	1
