# MANUALLY MANAGED - reviewed rows; hand-owned after admission.
# Every verified function span in the pinned PEF code section; names
# come from source MAC_ADDRESS claims, the runtime maps and glue map.
# exe: Heroes PEF sha256=650be8880cfda81ffa7704ce3bcdb9c5a6528f67afdf77c0c0c63e8259250d86 size=3418835
# Offsets are relative to PEF code section 0; lowercase 0x hex.
offset	size
0x0	0x26c
0x26c	0x20
0x28c	0x20
0x2ac	0x69c
0x948	0x10
0x958	0xdc
0xa34	0x15e0
0x2014	0x6c
0x2080	0x60
0x20e0	0x7c
0x215c	0x4
0x2160	0x94
0x21f4	0x4c
0x2240	0x80
0x22c0	0x3c
0x22fc	0x220
0x251c	0x204
0x2720	0x2ec
0x2a0c	0x10
0x2a1c	0x94
0x2ab0	0x94
0x2b44	0x204
0x2d48	0x208
0x2f50	0x3a4
0x32f4	0x1ac
0x34a0	0x174
0x3614	0x2b0
0x38c4	0x80
0x3944	0x94
0x39d8	0xcc
0x3aa4	0xf4
0x3b98	0x54
0x3bec	0x30
0x3c1c	0x78
0x3c94	0x4c
0x3ce0	0xfc
0x3ddc	0x20
0x3dfc	0x78
0x3e74	0x118
0x3f8c	0x74
0x4000	0xd4
0x40d4	0x68
0x413c	0x78
0x41b4	0x8
0x41bc	0x8
0x41c4	0x154
0x4318	0x84
0x439c	0x78
0x4414	0x48
0x445c	0x64
0x44c0	0xa8
0x4568	0xdc
0x4644	0x84
0x46c8	0xe8
0x47b0	0x10c
0x48bc	0x8
0x48c4	0x8
0x49bc	0x78
0x4d90	0x1c0
0x4f50	0xc
0x4f5c	0xf8
0x5054	0x828
0x587c	0xac
0x5928	0x84
0x59ac	0x220
0x5bcc	0x4c
0x5c18	0x2c
0x5c44	0x1c0
0x5e04	0xe8
0x5eec	0x8
0x5ef4	0xa0
0x5f94	0x2c
0x5fc0	0x24
0x5fe4	0x20
0x6004	0x498
0x649c	0x1ac
0x6648	0x5c
0x66a4	0x8
0x66ac	0x1e4
0x6890	0x794
0x7024	0x3a8
0x73cc	0x84
0x7450	0x4
0x7454	0x4
0x7458	0x4
0x745c	0x5c
0x74b8	0x8
0x74c0	0x84c
0x7d0c	0x3f4
0x8100	0x8
0x8108	0x78
0x8180	0x78
0x81f8	0x60
0x8258	0xa44
0x8c9c	0x4a8
0x9144	0x8ec
0x9a30	0x23c
0x9c6c	0x5d4
0xa240	0x59c
0xa7dc	0x648
0xae24	0x6c
0xae90	0x98
0xaf28	0xf0
0xb018	0x290
0xb2a8	0x19c
0xb444	0x184
0xb5c8	0x1c0
0xb788	0x1c0
0xb948	0x100
0xba48	0x100
0xbb48	0x114
0xbc5c	0x114
0xbd70	0x1a4
0xbf14	0x14
0xbf28	0x54
0xbf7c	0x158
0xc0d4	0x80
0xc154	0x94
0xc1e8	0x1eb4
0xe09c	0x368
0xe404	0xd4
0xe4d8	0x110
0xe5e8	0xa94
0xf07c	0xc
0xf088	0x668
0xf6f0	0xb8
0xf7a8	0x1a0
0xf948	0x5e0
0xff28	0x4c
0xff74	0x31c
0x10290	0x13c
0x103cc	0x70
0x1043c	0x130
0x1056c	0x560
0x10acc	0x57c
0x11048	0x2a8
0x112f0	0x2a8
0x11598	0xa08
0x11fa0	0x680
0x12620	0x1cc
0x127ec	0x1d8
0x129c4	0x19c
0x12b60	0x198
0x12cf8	0x2d0
0x12fc8	0x40c
0x133d4	0x324
0x136f8	0x78
0x13770	0xbc
0x1382c	0xd74
0x145a0	0x48
0x145e8	0x1fe0
0x165c8	0x38
0x16600	0xb0
0x166b0	0x1b4
0x16864	0x88
0x168ec	0xa4
0x16990	0x8c
0x16a1c	0x94
0x16ab0	0x74
0x16b24	0x8c
0x16bb0	0x98
0x16c48	0x88
0x16cd0	0x88
0x16d58	0xcc
0x16e24	0x1e8
0x1700c	0x638
0x17644	0x16c
0x177b0	0x388
0x17b38	0x18c
0x17cc4	0x54
0x17d18	0x60
0x17d78	0xe0
0x17e58	0x14c
0x17fa4	0x27c
0x18220	0x594
0x187b4	0x288
0x18a3c	0x290
0x18ccc	0x6c
0x18d38	0x55c
0x19294	0x1ec
0x19480	0x3c8
0x19848	0x110
0x19958	0xc8
0x19a20	0x78
0x19a98	0x148
0x19be0	0x68
0x19c48	0x208
0x19e50	0x1a0
0x19ff0	0x84
0x1a074	0x2d4
0x1a348	0x170
0x1a4b8	0x39c
0x1a854	0xcc
0x1a920	0x378
0x1ac98	0x11c
0x1adb4	0x11c
0x1aed0	0x300
0x1b1d0	0x160
0x1b330	0xd8
0x1b408	0x2b0
0x1b6b8	0xe0
0x1b798	0x12c
0x1b8c4	0x1f0
0x1bab4	0x244
0x1bcf8	0x34
0x1bd2c	0x34
0x1bd60	0xa0
0x1be00	0x60
0x1be60	0x9c
0x1befc	0x30
0x1bf2c	0x108
0x1c034	0x60
0x1c094	0x250
0x1c388	0xf8
0x1c480	0x80
0x1c500	0x128
0x1c628	0xc8
0x1c6f0	0xa0
0x1c790	0x38
0x1c7c8	0x64
0x1c82c	0xe4
0x1c910	0x350
0x1cc60	0xf8
0x1cd58	0x14
0x1cd6c	0x218
0x1cf84	0x224
0x1d1a8	0x1bc
0x1d364	0x650
0x1d9b4	0x310
0x1dcc4	0x404
0x1e0c8	0x6c0
0x1e788	0x10
0x1e798	0x138
0x1e8d0	0x128
0x1e9f8	0xc8
0x1eac0	0x160
0x1ec20	0x4d4
0x1f0f4	0x1c0
0x1f2b4	0x3b0
0x1f664	0x210
0x1f874	0x7e4
0x20058	0x128
0x20180	0x114
0x20294	0x84
0x20318	0x2ac
0x205c4	0x3cc
0x20990	0x124
0x20ab4	0xe0
0x20b94	0x2b4
0x20e48	0x14c
0x20f94	0x15c
0x210f0	0x3cc
0x214bc	0xd8
0x21594	0x254
0x217e8	0x78
0x21860	0x23c
0x21a9c	0x124
0x21bc0	0x100
0x21cc0	0x27c
0x21f3c	0x84
0x21fc0	0x424
0x223e4	0x1ec
0x225d0	0x1ac
0x2277c	0x248
0x229c4	0x28c
0x22c50	0x68
0x22cb8	0x1ac
0x22e64	0x130
0x22f94	0x2e4
0x23278	0x148
0x233c0	0x160
0x23520	0xdc
0x235fc	0x128
0x23724	0xbb0
0x242d4	0x124
0x243f8	0x1ec
0x245e4	0x110
0x246f4	0x1f0
0x248e4	0x120
0x24a04	0xc4
0x24ac8	0x1f0
0x24cb8	0x140
0x24df8	0x22c
0x25024	0xdc
0x25100	0x2d4
0x253d4	0x170
0x25544	0x4bc
0x25a00	0x64
0x25a64	0x184
0x25be8	0xbc
0x25ca4	0x3c
0x25ce0	0x1c0
0x25ea0	0xcc
0x25f6c	0x10c
0x26078	0x15c
0x261d4	0x54
0x26228	0x140
