# MANUALLY MANAGED - INITIALLY GENERATED by `homm3 mac migrate` from the
# reviewed config/mac inventories and hand-owned after admission.
# Loader-proven CFM import glue (homm3.mac.glue): lwz r12 from a TOC
# cell relocated to an imported transition vector, then the fixed
# five-instruction jump. 24-byte stubs; not game functions.
# exe: Heroes PEF sha256=650be8880cfda81ffa7704ce3bcdb9c5a6528f67afdf77c0c0c63e8259250d86 size=3418835
# Offsets are relative to PEF code section 0; lowercase 0x hex.
offset	name	library
0x2a10e8	.NewPtrClear	InterfaceLib
0x2a1100	.MaxApplZone	InterfaceLib
0x2a1118	.MoreMasters	InterfaceLib
0x2a1130	.NewPtr	InterfaceLib
0x2a1148	.DisposePtr	InterfaceLib
0x2a1160	.DSpContext_FadeGammaOut	DrawSprocketLib
0x2a1178	.DSpContext_SetState	DrawSprocketLib
0x2a1190	.DSpContext_FadeGammaIn	DrawSprocketLib
0x2a11a8	.DSpContext_Release	DrawSprocketLib
0x2a11c0	.DSpShutdown	DrawSprocketLib
0x2a11d8	.CloseWindow	InterfaceLib
0x2a11f0	.DSpStartup	DrawSprocketLib
0x2a1208	.DSpSetDebugMode	DrawSprocketLib
0x2a1220	.DSpUserSelectContext	DrawSprocketLib
0x2a1238	.DSpSetBlankingColor	DrawSprocketLib
0x2a1250	.DSpContext_GetDisplayID	DrawSprocketLib
0x2a1268	.DMGetGDeviceByDisplayID	InterfaceLib
0x2a1280	.DSpContext_Reserve	DrawSprocketLib
0x2a1298	.GetPort	InterfaceLib
0x2a12b0	.GetGDevice	InterfaceLib
0x2a12c8	.DSpContext_GetFrontBuffer	DrawSprocketLib
0x2a12e0	.SetPort	InterfaceLib
0x2a12f8	.SetGDevice	InterfaceLib
0x2a1310	.GetGWorldPixMap	InterfaceLib
0x2a1328	.LockPixels	InterfaceLib
0x2a1340	.CopyBits	InterfaceLib
0x2a1358	.UnlockPixels	InterfaceLib
0x2a1370	.GetMainDevice	InterfaceLib
0x2a1388	.NewCWindow	InterfaceLib
0x2a13a0	.GetString	InterfaceLib
0x2a13b8	.HLock	InterfaceLib
0x2a13d0	.HUnlock	InterfaceLib
0x2a13e8	.ReleaseResource	InterfaceLib
0x2a1400	.SysBeep	InterfaceLib
0x2a1418	.StandardAlert	AppearanceLib
0x2a1430	.Microseconds	InterfaceLib
0x2a1448	.GetFrontProcess	InterfaceLib
0x2a1460	.GetCurrentProcess	InterfaceLib
0x2a1478	.SameProcess	InterfaceLib
0x2a1490	.DSpGetMouse	DrawSprocketLib
0x2a14a8	.DSpContext_GlobalToLocal	DrawSprocketLib
0x2a14c0	.GetMouse	InterfaceLib
0x2a14d8	.FindServiceWindow	InterfaceLib
0x2a14f0	.FindWindow	InterfaceLib
0x2a1508	.GlobalToLocal	InterfaceLib
0x2a1520	.GetPixBaseAddr	InterfaceLib
0x2a1538	.BlockMoveData	InterfaceLib
0x2a1550	.OTSnd	OTClientLib
0x2a1568	.num2dec	MathLib
0x2a1580	.SndDoImmediate	InterfaceLib
0x2a1598	.SndDoCommand	InterfaceLib
0x2a15b0	.UnholdMemory	InterfaceLib
0x2a15c8	.HoldMemory	InterfaceLib
0x2a15e0	.SndDisposeChannel	InterfaceLib
0x2a15f8	.FSClose	InterfaceLib
0x2a1610	.SndPauseFilePlay	InterfaceLib
0x2a1628	.AECreateDesc	InterfaceLib
0x2a1640	.LMGetTime	InterfaceLib
0x2a1658	.AECreateAppleEvent	InterfaceLib
0x2a1670	.AEPutParamPtr	InterfaceLib
0x2a1688	.AESend	InterfaceLib
0x2a16a0	.AEDisposeDesc	InterfaceLib
0x2a16b8	.ExitToShell	InterfaceLib
0x2a16d0	.SetFPos	InterfaceLib
0x2a16e8	.TempHUnlock	InterfaceLib
0x2a1700	.TempDisposeHandle	InterfaceLib
0x2a1718	.DisposeHandle	InterfaceLib
0x2a1730	.TempNewHandle	InterfaceLib
0x2a1748	.TempHLock	InterfaceLib
0x2a1760	.NewHandle	InterfaceLib
0x2a1778	.FSRead	InterfaceLib
0x2a1790	.fmod	MathLib
0x2a17a8	.WideDivide	InterfaceLib
0x2a17c0	.SetupSndHeader	InterfaceLib
0x2a17d8	.SndPlay	InterfaceLib
0x2a17f0	.WideMultiply	InterfaceLib
0x2a1808	.pow	MathLib
0x2a1820	.atan	MathLib
0x2a1838	.cos	MathLib
0x2a1850	.sin	MathLib
0x2a1868	.BinkDoFrame	Bink Shared Library
0x2a1880	.BinkCopyToBuffer	Bink Shared Library
0x2a1898	.DSpContext_FadeGamma	DrawSprocketLib
0x2a18b0	.TickCount	InterfaceLib
0x2a18c8	.GetKeys	InterfaceLib
0x2a18e0	.InitCursor	InterfaceLib
0x2a18f8	.HideCursor	InterfaceLib
0x2a1910	.BinkPause	Bink Shared Library
0x2a1928	.FlushEvents	InterfaceLib
0x2a1940	.DisposeRoutineDescriptor	InterfaceLib
0x2a1958	.NewRoutineDescriptor	InterfaceLib
0x2a1970	.SndNewChannel	InterfaceLib
0x2a1988	.DSpContext_LocalToGlobal	DrawSprocketLib
0x2a19a0	.LocalToGlobal	InterfaceLib
0x2a19b8	.BinkGetRects	Bink Shared Library
0x2a19d0	.BinkWait	Bink Shared Library
0x2a19e8	.BinkClose	Bink Shared Library
0x2a1a00	.BinkNextFrame	Bink Shared Library
0x2a1a18	.BinkGetSummary	Bink Shared Library
0x2a1a30	.GetProcessInformation	InterfaceLib
0x2a1a48	.FindFolder	InterfaceLib
0x2a1a60	.FSMakeFSSpec	InterfaceLib
0x2a1a78	.FSpCreate	InterfaceLib
0x2a1a90	.ResolveAliasFile	InterfaceLib
0x2a1aa8	.FlushVol	InterfaceLib
0x2a1ac0	.FSpOpenDF	InterfaceLib
0x2a1ad8	.FSWrite	InterfaceLib
0x2a1af0	.GetEOF	InterfaceLib
0x2a1b08	.GetSoundHeaderOffset	InterfaceLib
0x2a1b20	.x80tod	MathLib
0x2a1b38	.X2Fix	InterfaceLib
0x2a1b50	.ceil	MathLib
0x2a1b68	.sqrt	MathLib
0x2a1b80	.InitGraf	InterfaceLib
0x2a1b98	.InitFonts	InterfaceLib
0x2a1bb0	.InitWindows	InterfaceLib
0x2a1bc8	.InitMenus	InterfaceLib
0x2a1be0	.TEInit	InterfaceLib
0x2a1bf8	.InitDialogs	InterfaceLib
0x2a1c10	.NewMenu	InterfaceLib
0x2a1c28	.AppendMenu	InterfaceLib
0x2a1c40	.AppendResMenu	InterfaceLib
0x2a1c58	.InsertMenu	InterfaceLib
0x2a1c70	.InvalMenuBar	InterfaceLib
0x2a1c88	.GetToolTrapAddress	InterfaceLib
