# GENERATED by full `homm3 build`. Do not hand-edit.
# retail_va	unit	mac_section	mac_offset	cur	max	hist	source_hash
0x0041e190	ai	0	0x1f2b4	97.9873	97.9873	97.9873	0bda4617a40be7c4a38a099164a7d06c3bb1c5cd4f863d27d6351161493861dd
0x0041e570	ai	0	0x1f874	15.0495	15.0495	15.0495	50544f028ae27cbdd3d73630aaee543451cae78a7e356363c57e353bad826720
0x0041fd60	ai	0	0x21cc0	94.4969	94.4969	94.4969	c69090699184783179644a6633e3a1adb2590d2e0cb5bf135787ea54edcd015a
0x004205d0	ai	0	0x223e4	38.5081	38.5081	38.5081	4445361d3c1a36c569dc5b3090d74f51161e0c1c4e015de173961cc254f281ca
0x00420d20	ai	0	0x22cb8	98.5981	98.5981	98.5981	7b5e77ebe6c19419bb06beaab2183df7833f53392b7039ae9e73d594760d4f5b
0x00420f00	ai	0	0x22e64	97.6974	97.6974	97.6974	364bf2e356490d37598f79f9569bef44e1801c1ddecfdf520f46abf5362a079f
0x00421680	ai	0	0x23724	20.0333	20.0333	20.0333	da2f2fc345c16f68eb46f5a3dd50dc165b0e17633837d48ed60f377c8b701b16
0x004221f0	ai	0	0x245e4	100.0000	100.0000	100.0000	938b248b30a522d2d77a7dbbdf0301071f5cd590e27fbc088ecf99d303dac289
0x00422b20	ai	0	0x25100	97.9282	97.9282	97.9282	9c197643ce3302ff6f6d4021826af4fddd1af41a40c82c9ac3612eca2bf06b4a
0x00429ad0	ai_player	0	0x2c9d8	84.5029	84.5029	84.5029	974f162efacbed80375b213141e8a0a82026aadbf192acf44bd5fefb6fb77fde
0x0042ba60	ai_player	0	0x2f26c	39.0316	39.0316	39.0316	01a6a5f0fc8efa0af7b4e7f0f16933a7a27b50cfe5a25b7e6467638e17c3a9aa
0x0042c4a0	ai_player	0	0x2fe60	100.0000	100.0000	100.0000	835da3c816a779e1f59ecf5c8e3355d3268b6a6ede79a44fe89ec2ef72dccd5b
0x0042d420	ai_player	0	0x30a08	81.2500	81.2500	81.2500	68c408d70d1f365afa32205473af416c33ed665c7cbe16bda8ebdd0969d5714b
0x0042d780	ai_player	0	0x30d4c	89.3564	89.3564	89.3564	16ece3c694de414a9241f3faa866238c06bb9ec662f12859b813746d57a8fed0
0x00430ab0	ai_player	0	0x340a4	30.2817	30.2817	30.2817	6ebce6291bbf472bb342bdd02622d9217e16cf72455c3beee27f45e496f76328
