# MANUALLY MANAGED - INITIALLY GENERATED by `homm3 mac migrate` from the
# reviewed config/mac TOML inventories and hand-owned after admission.
# Library, runtime and compiler-support code: label only; the extent
# is the functions.tsv row at the same offset. Not game functions.
# exe: Heroes PEF sha256=650be8880cfda81ffa7704ce3bcdb9c5a6528f67afdf77c0c0c63e8259250d86 size=3418835
# Offsets are relative to PEF code section 0; lowercase 0x hex.
offset	name
0x948	.__vc__Q23std10vector<Pc>CFUl
0x20e0	.mac_pointer_vector_push_back_20e0
0x215c	.second__Q310Metrowerks7details55compressed_pair_imp<Q23std21allocator<P8pathCell>,Ul,1>Fv
0x2a0c	.__vc__Q23std10vector<Pc>CFi
0x41c4	.compare__Q23std6stringCFUlUlPCcUl
0x445c	.assign__Q23std6stringFPCcUl
0x44c0	.__dt__Q23std6stringFv
0x4568	.__ct__Q23std6stringFPCcRCQ23std12allocator<c>
0x46c8	.__ct__Q23std6stringFv
0x47b0	.reserve__Q23std24__vector_pod<P8pathCell>FUl
0x4f50	.__ct__Q23std10bitset<10>FUl
0x4f5c	.mac_bitset10_shift_left_4f5c
0x5eec	.begin__Q23std10vector<Pc>CFv
0x66a4	.__ct__Q310Metrowerks7details67compressed_pair_imp<Q23std33allocator<20type_dialog_resource>,Ul,1>FUl
0x745c	.__dt__Q23std9vector<l>Fv
0x74b8	.__ct__Q23std9vector<l>Fv
0x8100	.mac_vector_storage_8100
0x1c094	.assign__Q23std6stringFRCQ23std6stringUlUl
0x1c388	.append__Q23std6stringFUlc
0x1c480	.append__Q23std6stringFPCcUl
0x1c500	.append__Q23std6stringFRCQ23std6stringUlUl
0x1c628	.__ct__Q23std6stringFRCQ23std6string
0x1c6f0	.push_back__Q23std36__vector_imp<20type_dialog_resource>FRC20type_dialog_resource
0x1c790	.clear__Q23std30vector<20type_dialog_resource>Fv
0x1c7c8	.__dt__Q23std30vector<20type_dialog_resource>Fv
0x1c82c	.test__Q23std10bitset<48>CFUl
0x1c910	.mac_msl_string_replace_fill_1c910
0x1e788	.mac_msl_player_vector_index_1e788
0x25a00	.__dt__Q23std29vector<19type_creature_value>Fv
0x25ca4	.clear__Q23std29vector<19type_creature_value>Fv
0x26624	.__ct__Q310Metrowerks7details64compressed_pair_imp<Q23std30allocator<17type_monster_data>,Ul,1>FUl
0x28adc	.msl_vector_member_address_28adc
0x29ba4	.mac_ai_creature_vector_delete_flag_dtor_29ba4
0x2a9e8	.mac_ai_creature_vector_clear_2a9e8
0x2bb9c	.__ct__Q310Metrowerks7details66compressed_pair_imp<Q23std32allocator<19type_creature_value>,Ul,1>FUl
0x33a70	.__ct__Q310Metrowerks7details62compressed_pair_imp<Q23std28allocator<15HeroDestination>,Ul,1>FUl
0x39fbc	.sort<19type_creature_value>__3stdFP19type_creature_valueP19type_creature_value
0x3a7bc	.msl_vector_pointer_erase_3a7bc
0x3a888	.msl_vector_word_fill_insert_3a888
0x3ad64	.push_back__Q23std29vector<19type_creature_value>FRC19type_creature_value
0x3b0a8	.__dt__Q23std30vector<20type_creature_source>Fv
0x3b10c	.mac_vector_pathcell_clear_3b10c
0x3b148	.mac_vector_pathcell_delete_flag_dtor_3b148
0x3b1ac	.__dt__Q23std25vector<15HeroDestination>Fv
0x3b210	.test__Q23std9bitset<9>CFUl
0x3b2f4	.test__Q23std11bitset<144>CFUl
0x469b4	.mac_vector_word_copy_ctor_469b4
0x5afcc	.mac_bitset_144_default_ctor_5afcc
0x5b014	.mac_msl_bitset_19_test_5b014
0x5b0f8	.mac_msl_bitset_19_set_5b0f8
0x5b1e0	.mac_msl_bitset_144_set_5b1e0
0x6426c	.mac_vector_data_accessor_6426c
0x670bc	.mac_vector_4byte_index_670bc
0x67278	.mac_pod_vector_deleting_dtor_67278
0x672d0	.__ct__Q23std38__vector_pod<Ul,Q23std13allocator<Ul>>Fv
0x682e0	.__ct__Q23std11bitset<156>Fv
0x682fc	.mac_vector_4byte_assign_range_682fc
0x68498	.mac_vector_8byte_stringlike_assign_range_68498
0x68688	.mac_tree_string_node_destroy_68688
0x68708	.mac_tree_copy_assign_68708
0x687d4	.__ct__Q23std225__tree<Q23std29pair<Ci,18type_map_hero_info>,Q33std99map<i,18type_map_hero_info,Q23std7less<i>,Q23std48allocator<Q23std29pair<Ci,18type_map_hero_info>>>13value_compare,Q23std48allocator<Q23std29pair<Ci,18type_map_hero_info>>>FRCQ33std99map<i,18type_map_hero_info,Q23std7less<i>,Q23std48allocator<Q23std29pair<Ci,18type_map_hero_info>>>13value_compareRCQ23std48allocator<Q23std29pair<Ci,18type_map_hero_info>>
0x687fc	.mac_vector_mapheader_append_687fc
0x68da4	.mac_vector_4byte_trivial_delete_flag_dtor_68da4
0x68e6c	.mac_vector_delete_flag_dtor_68e6c
0x68ed0	.mac_vector_8byte_stringlike_clear_68ed0
0x68f40	.mac_vector_4byte_trivial_clear_68f40
0x68f78	.mac_tree_clear_68f78
0x6aad4	.mac_vector_data_accessor_6aad4
0x6aadc	.mac_vector_data_accessor_6aadc
0x6aae4	.mac_vector_data_accessor_6aae4
0x6aaec	.mac_vector_data_accessor_6aaec
0x6b0b8	.mac_vector_campaign_hero_pool_assign_range_6b0b8
0x6b354	.mac_vector_campaign_artifact_pool_assign_range_6b354
0x6b5f0	.mac_vector_campaign_map_score_assign_range_6b5f0
0x6c6e4	.mac_vector_hero_delete_flag_dtor_6c6e4
0x72244	.mac_vector_bool_num_words_72244
0x768e0	.mac_set_iterator_ctor_768e0
0x76f7c	.msl_vector_obstacle_push_back_76f7c
0x81724	.mac_msl_string_substr_81724
0x89ae8	.mac_vector_4byte_trivial_push_back_89ae8
0x89b80	.mac_vector_4byte_trivial_grow_89b80
0x89c70	.mac_vector_capacity_swap_89c70
0x89c84	.mac_vector_4byte_trivial_delete_flag_dtor_89c84
0x89ce8	.mac_vector_4byte_trivial_clear_89ce8
0x95a70	.mac_vector_hero_field0_init_95a70
0x967ec	.msl_bitset_reference_init_967ec
0x981a8	.mac_generated_deleting_dtor_981a8
0x98264	.mac_generated_deleting_dtor_98264
0x98320	.mac_generated_deleting_dtor_98320
0x99f00	.mac_bitset_145_default_ctor_99f00
0x99f38	.__ct__Q23std10bitset<48>Fv
0x99f48	.mac_bitset_144_count_99f48
0x99fb8	.mac_msl_vector_bool_test_99fb8
0x9ab44	.mac_implicit_hero_copy_assign_9ab44
0x9cb7c	.mac_vector_hero_erase_one_9cb7c
0x9cfb4	.mac_vector_hero_push_back_9cfb4
