# MANUALLY MANAGED - INITIALLY GENERATED by `python3 -m homm3.carve.funclets`
# (provenance below) and hand-owned after admission: corrections are edited
# directly into these rows; do not regenerate over hand edits.
# generator: homm3.carve.funclets
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-04
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
# rva = funclet entry; parent_rva = the function whose FuncInfo
# owns it (matches with its parent); state = unwind state index.
rva	parent_rva	state
# HeroFn_004E2840 installs this handler address directly in its retail /GX
# prologue; the delinked relocation names it hero_in_enum_range_e2840_unwind01.
# It uses the parent's EBP frame, calls equip_artifact, then rethrows.
0xe29dc	0xe2840	1
0x227240	0x1400	1
0x227260	0x1510	0
0x227268	0x1510	1
0x227273	0x1510	2
0x22727e	0x1510	3
0x227289	0x1510	4
0x227294	0x1510	5
0x22729f	0x1510	6
0x2272aa	0x1510	7
0x2272b5	0x1510	8
0x2272c0	0x1510	9
0x2272cb	0x1510	10
0x2272d6	0x1510	11
0x2272e1	0x1510	12
0x2272ec	0x1510	13
0x2272f7	0x1510	14
0x227302	0x1510	15
0x22730d	0x1510	16
0x227315	0x1510	17
0x227320	0x1510	18
0x22732b	0x1510	19
0x227336	0x1510	20
0x227341	0x1510	21
0x22734c	0x1510	22
0x227357	0x1510	23
0x227362	0x1510	24
0x22736d	0x1510	25
0x227378	0x1510	26
0x227383	0x1510	27
0x2273a0	0x22e0	0
0x2273c0	0x2b10	0
0x2273e0	0x4410	0
0x2273e8	0x4410	1
0x227400	0x44e0	0
0x227420	0x4700	0
0x227450	0x51d0	0
0x227458	0x51d0	1
0x227463	0x51d0	2
0x22746e	0x51d0	3
0x227479	0x51d0	4
0x227484	0x51d0	5
0x22748f	0x51d0	6
0x22749a	0x51d0	7
0x2274a5	0x51d0	8
0x2274c0	0x56c0	0
0x2274e0	0x6a20	0
0x2274e8	0x6a20	1
0x2274f0	0x6a20	2
