# GENERATED by `python3 -m homm3.carve dna` - regenerate rather than hand-edit.
# generator: homm3.carve.dna
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-04
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
rva	library	variant	member	symbol	evidence	confidence
0x53c80	cxx-libcpmt	rtm	ambiguous(4)	ambiguous(2)	masked-archive	exact-ambiguous-island
0x53d70	cxx-libcpmt	rtm	ambiguous(8)	??1locale@std@@QAE@XZ	masked-archive	exact-ambiguous-island
0x204830	zlib	recompiled	deflate.obj	@deflateInit_@16	masked-zlib-obj	exact-unique
0x204850	zlib	recompiled	deflate.obj	@deflateInit2_@32	masked-zlib-obj	exact-unique
0x204a50	zlib	recompiled	deflate.obj	@deflateReset@4	masked-zlib-obj	exact-unique
0x204ac0	zlib	recompiled	deflate.obj	@deflate@8	masked-zlib-obj	exact-unique
0x204d70	zlib	recompiled	deflate.obj	.text	masked-zlib-obj	exact-unique
0x204da0	zlib	recompiled	deflate.obj	.text	masked-zlib-obj	exact-unique
0x204e10	zlib	recompiled	deflate.obj	@deflateEnd@4	masked-zlib-obj	exact-unique
0x204ea0	zlib	recompiled	deflate.obj	.text	masked-zlib-obj	exact-unique
0x204f40	zlib	recompiled	deflate.obj	.text	masked-zlib-obj	exact-unique
0x205090	zlib	recompiled	deflate.obj	.text	masked-zlib-obj	exact-unique
0x2051b0	zlib	recompiled	deflate.obj	.text	masked-zlib-obj	exact-unique
0x205220	zlib	recompiled	deflate.obj	.text	masked-zlib-obj	exact-unique
0x205550	zlib	recompiled	deflate.obj	.text	masked-zlib-obj	exact-unique
0x2056c0	zlib	recompiled	deflate.obj	.text	masked-zlib-obj	exact-unique
0x205af0	zlib	recompiled	crc32.obj	@crc32@12	masked-zlib-obj	exact-unique
0x205c30	zlib	recompiled	inflate.obj	@inflateReset@4	masked-zlib-obj	exact-unique
0x205c70	zlib	recompiled	inflate.obj	@inflateEnd@4	masked-zlib-obj	exact-unique
0x205cb0	zlib	recompiled	inflate.obj	@inflateInit2_@16	masked-zlib-obj	exact-unique
0x205dd0	zlib	recompiled	inflate.obj	@inflateInit_@12	masked-zlib-obj	exact-unique
0x205df0	zlib	recompiled	inflate.obj	@inflate@8	masked-zlib-obj	exact-unique
0x206220	zlib	recompiled	gzio.obj	@gzopen@8	masked-zlib-obj	exact-unique
0x206230	zlib	recompiled	gzio.obj	.text	masked-zlib-obj	exact-unique
0x2065d0	zlib	recompiled	gzio.obj	.text	masked-zlib-obj	exact-unique
0x206640	zlib	recompiled	gzio.obj	.text	masked-zlib-obj	exact-unique
0x2066f0	zlib	recompiled	gzio.obj	@gzread@12	masked-zlib-obj	exact-unique
0x206930	zlib	recompiled	gzio.obj	@gzwrite@12	masked-zlib-obj	exact-unique
0x2069c0	zlib	recompiled	gzio.obj	.text	masked-zlib-obj	exact-unique
0x206a80	zlib	recompiled	gzio.obj	.text	masked-zlib-obj	exact-unique
0x206ac0	zlib	recompiled	gzio.obj	@gzclose@4	masked-zlib-obj	exact-unique
0x206b10	zlib	recompiled	gzio.obj	.text	masked-zlib-obj	exact-unique
0x206b40	zlib	recompiled	compress.obj	@compress2@20	masked-zlib-obj	exact-unique
0x206be0	zlib	recompiled	uncompr.obj	@uncompress@16	masked-zlib-obj	exact-unique
0x206c70	zlib	recompiled	zutil.obj	@zcalloc@12	masked-zlib-obj	exact-unique
0x206ca0	zlib	recompiled	adler32.obj	@adler32@12	masked-zlib-obj	exact-unique
0x206dd0	zlib	recompiled	trees.obj	@_tr_init@4	masked-zlib-obj	exact-unique
0x206e50	zlib	recompiled	trees.obj	.text	masked-zlib-obj	exact-unique
0x206ec0	zlib	recompiled	trees.obj	@_tr_stored_block@16	masked-zlib-obj	exact-unique
0x206f70	zlib	recompiled	trees.obj	@_tr_align@4	masked-zlib-obj	exact-unique
0x2071c0	zlib	recompiled	trees.obj	@_tr_flush_block@16	masked-zlib-obj	exact-unique
0x2073b0	zlib	recompiled	trees.obj	.text	masked-zlib-obj	exact-unique
0x2075e0	zlib	recompiled	trees.obj	.text	masked-zlib-obj	exact-unique
0x2076c0	zlib	recompiled	trees.obj	.text	masked-zlib-obj	exact-unique
0x2078e0	zlib	recompiled	trees.obj	.text	masked-zlib-obj	exact-unique
0x207950	zlib	recompiled	trees.obj	.text	masked-zlib-obj	exact-unique
0x2079c0	zlib	recompiled	trees.obj	.text	masked-zlib-obj	exact-unique
0x207aa0	zlib	recompiled	trees.obj	.text	masked-zlib-obj	exact-unique
0x207d10	zlib	recompiled	trees.obj	.text	masked-zlib-obj	exact-unique
0x208290	zlib	recompiled	trees.obj	.text	masked-zlib-obj	exact-unique
0x2086d0	zlib	recompiled	trees.obj	.text	masked-zlib-obj	exact-unique
