# MANUALLY MANAGED - INITIALLY GENERATED by `python3 -m homm3.carve funcmap`
# (provenance below) and hand-owned after admission: corrections are edited
# directly into these rows; do not regenerate over hand edits.
# generator: homm3.carve.funcmap
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-04
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
rva	size	name
0x1000	89	cinit0000_1000
0x1060	96	cinit0001_1060
0x10c0	97	cinit0002_10c0
0x1130	95	cinit0003_1130
0x1190	95	cinit0004_1190
0x11f0	95	cinit0005_11f0
0x1250	95	cinit0006_1250
0x12b0	95	cinit0007_12b0
0x1310	95	cinit0008_1310
0x1370	95	cinit0009_1370
0x13d0	40	game_8a310_sub00_13d0
0x1400	167	TAdventureMapWindow_vslot01
0x14a7	6	game_14a7
0x14b0	21	game_1400_sub00_14b0
0x14d0	60	TAdventureMapWindow_vslot02
0x1510	3253	TAdventureMapWindow_TAdventureMapWindow
0x21d0	5	border_vslot05
0x21e0	5	border_vslot06
0x21f0	66	TSubWindow_vslot15
0x2240	60	TSubWindow_vslot21
0x2280	35	TSubWindow_vslot25
0x22b0	43	TSubWindow_vslot26
0x22e0	359	game_gosolo_22e0
0x2450	1491	game_ajpgevavgl_2450
0x2a30	161	game_2450_sub00_2a30
0x2ae0	33	TAdventureMapWindow_vslot00
0x2b10	119	TAdventureMapWindow_TAdventureMapWindow_2b10
0x2b90	36	TAdventureMapWindow_animate_bottom_view
0x2bc0	78	TAdventureMapWindow_draw_bottom_view
0x2c10	60	TAdventureMapWindow_set_bottom_view
0x2c50	536	TAdventureMapWindow_convertID2HelpID
0x2e70	405	TAdventureMapWindow_ProcessRightSelect
0x3010	522	TAdventureMapWindow_ProcessHover
0x3220	89	TAdventureMapWindow_DoHeroKnob
0x3280	89	TAdventureMapWindow_DoTownKnob
0x32e0	308	TAdventureMapWindow_UpdateHeroLocators
0x3420	305	TAdventureMapWindow_UpdateTownLocators
0x3560	574	TAdventureMapWindow_UpdateHeroLocator
0x37a0	279	TAdventureMapWindow_UpdateTownLocator
0x38c0	236	TAdventureMapWindow_HighlightLocators
0x39b0	490	TAdventureMapWindow_UpdateQuestLogButton
0x3ba0	71	TAdventureMapWindow_UpdateSleepButton
0x3bf0	76	TAdventureMapWindow_UpdateSpellButton
0x3c40	120	TAdventureMapWindow_SetElevationToggleImage
0x3cc0	533	TAdventureMapWindow_SetSleepImage
0x3ee0	31	TAdventureMapWindow_ClearBottomView
0x3f00	30	TAdventureMapWindow_UpdateResourceDisplay
0x3f20	63	TAdventureMapWindow_DrawChatText
0x3f60	324	TAdventureMapWindow_UpdateButtons
0x40b0	56	TAdventureMapWindow_vslot08
0x40f0	75	game_2450_sub01_40f0
0x4140	3	sample_vslot03
0x4150	161	game_22e0_sub01_4150
0x4200	521	button_set_hotkey
0x4410	200	game_invalid_bitset_n_positio_4410
0x44e0	345	game_4640_sub00_44e0
0x4640	29	game_4640
0x4660	33	game_4660
0x4690	75	game_4660_sub00_4690
0x46e0	29	game_46e0
0x4700	343	game_46e0_sub00_4700
0x4860	528	game_4410_sub00_4860
0x4a70	20	game_44e0_sub00_4a70
0x4a90	290	game_4410_sub01_4a90
0x4bc0	6	game_4860_sub00_4bc0
0x4bd0	89	game_2450_sub02_4bd0
0x4c29	33	game_4c29
0x4c50	136	game_4bd0_sub00_4c50
0x4ce0	216	game_44e0_sub01_4ce0
0x4dc0	9	game_1510_sub02_4dc0
0x4dd0	32	cinit0010_4dd0
0x4df0	1	border_vslot10
0x4e00	89	cinit0011_4e00
0x4e60	96	cinit0012_4e60
