# MANUALLY MANAGED - this file was INITIALLY GENERATED by homm3.carve
# (provenance below) and is hand-owned after admission: boundary
# corrections are edited directly into these rows; do not regenerate
# over hand edits.
# generator: homm3.carve.audit
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-04
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
# 11943 functions; size INCLUDES jump tables
# BOUNDARY CORRECTION 2026-08-22: 0x217b94 is the 166-byte `_sqrt`, not
# a 9-byte helper followed by a 157-byte function at 0x217b9d. The pinned
# VC6 SP3 lib-rtm/LIBCMT.LIB `sqrt.obj` publishes `_sqrt` at object +0x14;
# its complete 166 bytes and reloc topology match retail 0x617b94..0x617c3a.
# The apparent 0x217b9d entry is fall-through inside `_sqrt`. 11933 rows since.
# BOUNDARY CORRECTION 2026-08-07: the three C++ EH unwind funclets the
# carve split off after heroWindowManager::DoQuickView (0x202b7a/25,
# 0x202b93/31, 0x202bb2/22) are folded back into 0x202a40, whose true
# extent is 392 B (0x602a40..0x602bc8). Proof: the VC6 compile of the
# reconstructed body emits the same three blocks as local labels inside
# one symbol, byte-for-byte. 11940 rows since.
# BOUNDARY CORRECTION 2026-08-07 (second, same class): the four EH
# unwind funclets after heroWindowManager::DoDialog (0x202735/25,
# 0x20274e/31, 0x20276d/19, 0x202780/32) fold into 0x202520, true extent
# 640 B (0x602520..0x6027a0); the four after DoDialogDraw (0x2029cf/25,
# 0x2029e8/31, 0x202a07/19, 0x202a1a/32) fold into 0x2027a0, true extent
# 666 B (0x6027a0..0x602a3a). Same self-validating proof as DoQuickView:
# the VC6 compile of each reconstructed body emits its four blocks as
# local labels inside one symbol and both functions are byte-exact at
# the merged size. Corroboration: the merged extents abut exactly -
# 533+25+31+19+32 = 640 lands on DoDialogDraw's entry with no padding.
# BOUNDARY ADMISSION 2026-08-11: artifact.obj's two static TAutoArrayPtr<char>
# cleanup thunks are 22-byte function entries at 0x4d340 and 0x4d360. Retail
# atexit relocations at 0x4ce26 and 0x4d155 point to them, and compiling the
# reconstructed static owners reproduces both bodies byte-for-byte.
# BOUNDARY ADMISSION 2026-08-11: spelldefs.obj's three lazy TAutoStrPtr-array
# cleanup thunks are function entries at 0x19e4b0/0x19e4d0/0x19e4f0. Direct
# atexit relocations in InitializeSpellTraits point to them; each calls the
# shared element destructor through `eh vector destructor iterator` and ends
# before the next 16-byte-aligned entry.
# BOUNDARY CORRECTION 2026-08-11: executive::CallManager is one 464-byte
# EH-bearing function at 0xb0c70. The bootstrap's 338-byte split ended at its
# normal body and misclassified the three immediately following catch handlers
# (0xb0dc2/0xb0dd7/0xb0e25) as functions. Their shared EBP frame, unwind-state
# actions, rethrows, and exact VC6 reproduction prove they belong to the parent;
# its aligned extent ends at MainLoop's independent entry 0xb0e40.
# 11932 rows since.
# BOUNDARY ADMISSION 2026-08-24: soundmgr.obj's ProcessMP3Stop thread entry
# is the 16-byte body at 0x19a830. Five retail `_beginthread` immediates point
# to the 16-byte-aligned entry; it loads gpSoundManager, calls the independent
# 0x19b080 member body, then tail-jumps to `__endthread`. Dreamcast CodeView
# independently publishes `void ProcessMP3Stop(void*)` and its sole outgoing
# edge to soundManager::ThreadStopMP3. 11934 rows since.
# BOUNDARY CORRECTION 2026-08-26: game.obj's EH-bearing body at 0xcafd0 is
# one 0xd14-byte function through 0xcbce4, including its in-line catch handler
# at 0xcb1ec and the resumed body at 0xcb206. The HandlerType record at retail
# .rdata 0x64db70 points to 0xcb1ec; the normal path jumps over that handler to
# 0xcb206, which uses the parent's saved EBP frame and reaches both shared
# epilogues before the switch tables ending at 0xcbce4. The carve's standalone
# 0xcb1ec/23 and 0xcb206/2782 rows were therefore interior chunks, not entries.
# 11939 rows since.
# BOUNDARY CORRECTION 2026-08-26: game::SaveGame at 0xbeea0 is one 0x2f6-byte
# EH-bearing function through 0xbf196. Its normal path returns at 0xbf104, the
# HandlerType record at retail .rdata 0x64d758 points to the typed catch at
# 0xbf107, and that handler reads the parent's EBP-relative filename before
# returning the shared continuation 0xbf181. The continuation restores the
# same SEH frame and returns with the parent's `ret 0x14`; 0xbf196..0xbf19f is
# alignment padding before SetupOrigData. The carve's 0xbf107/122 row was an
# interior catch funclet, not an independent entry. 11938 rows since.
# BOUNDARY CORRECTION 2026-08-27: TEN function entries the carve missed,
# all inside event_record.obj's span and all previously scored as inter-
# function padding. .data 0x6776b0 holds an ELEVEN-entry table of record
# factory pointers indexed by the type byte load_recorded_events reads off
# the save stream (`call dword ptr [ecx*4 + 0x6776b0]` at 0x49dc16), and its
# entries 1..11 are 0x9a650 0x9a980 0x9aa40 0x9abf0 0x9acc0 0x9af00 0x9b150
# 0x9b400 0x9b6a0 0x9ba00 0x9bc30 - exactly the type_event_record_type
# roster's order. Entry 11 (0x9bc30, shroud) was already carved; the other
# ten are 39-byte bodies of the identical shape (`push <cb> / call
# operator new / test / base vptr / player_id = gNetLocalGamePos / derived
# vptr / ret`) followed by 0x90 padding, each storing its own class's
# vftable and each allocating exactly the size event_record.h models for
# that class (0x18/0x18/0x10/0x10/0x18/0x20/0x18/0x10/0x1c/0x0c). 11948 rows.
rva	size
0x1000	89
0x1060	96
0x10c0	97
0x1130	95
0x1190	95
0x11f0	95
0x1250	95
0x12b0	95
0x1310	95
0x1370	95
0x13d0	40
0x1400	167
0x14a7	6
0x14b0	21
0x14d0	60
0x1510	3253
0x21d0	5
0x21e0	5
0x21f0	66
0x2240	60
0x2280	35
0x22b0	43
0x22e0	359
0x2450	1491
0x2a30	161
0x2ae0	33
0x2b10	119
0x2b90	36
0x2bc0	78
0x2c10	60
0x2c50	536
0x2e70	405
0x3010	522
0x3220	89
0x3280	89
0x32e0	308
0x3420	305
0x3560	574
0x37a0	279
0x38c0	236
0x39b0	490
0x3ba0	71
0x3bf0	76
0x3c40	120
0x3cc0	533
0x3ee0	31
0x3f00	30
0x3f20	63
0x3f60	324
0x40b0	56
0x40f0	75
0x4140	3
0x4150	161
0x4200	521
0x4410	200
0x44e0	345
0x4640	29
0x4660	33
0x4690	75
0x46e0	29
0x4700	343
0x4860	528
0x4a70	20
0x4a90	290
0x4bc0	6
0x4bd0	89
0x4c29	33
0x4c50	136
0x4ce0	216
0x4dc0	9
0x4dd0	32
0x4df0	1
0x4e00	89
0x4e60	96
0x4ec0	97
0x4f30	95
0x4f90	95
0x4ff0	95
0x5050	95
0x50b0	95
0x5110	95
0x5170	95
0x51d0	1194
0x5680	16
0x5690	33
0x56c0	107
0x5730	508
0x5930	32
0x5950	89
0x59b0	96
0x5a10	97
0x5a80	95
0x5ae0	95
0x5b40	95
0x5ba0	95
0x5c00	95
0x5c60	95
0x5cc0	95
0x5d20	96
0x5d80	48
0x5db0	36
0x5de0	13
0x5df0	32
0x5e10	28
0x5e30	1611
0x6480	1439
0x6a20	455
0x6bf0	506
0x6df0	479
0x6fd0	2006
0x77b0	33
0x77e0	721
0x7ac0	68
0x7b10	111
0x7b80	3056
0x8770	49
0x87b0	1159
0x8c40	2973
0x97e0	656
0x9a70	1601
0xa0c0	1293
0xa5d0	1542
0xabe0	893
0xaf60	74
0xafb0	303
0xb0e0	100
0xb150	8860
0xd3f0	636
0xd670	595
0xd8d0	553
0xdb00	445
0xdcc0	484
0xdeb0	975
0xe280	211
0xe360	2328
0xec80	10
0xec90	1453
0xf240	43
0xf270	125
0xf2f0	248
0xf3f0	1149
0xf870	67
0xf8c0	613
0xfb30	359
0xfca0	122
0xfd20	270
0xfe30	1156
0x102c0	1172
0x10760	591
0x109b0	591
0x10c00	2446
0x11590	1508
0x11b80	471
0x11d60	492
0x11f50	351
0x120b0	354
0x12220	584
0x12470	1154
0x12900	715
0x12bd0	108
0x12c40	2881
0x13790	39
0x137c0	9632
0x15d60	120
0x15de0	320
0x15f20	135
0x15fb0	176
0x16060	247
0x16160	175
0x16210	215
0x162f0	161
0x163a0	166
0x16450	154
0x164f0	154
0x16590	528
0x167a0	2011
0x16f80	461
0x17150	713
0x17420	326
0x17570	42
0x175a0	58
0x175e0	157
0x17680	431
0x17830	747
0x17b20	1598
0x18160	624
0x183d0	581
0x18620	1508
0x18c10	433
0x18dd0	1247
0x192b0	68
0x19300	332
0x19450	67
0x194a0	199
0x19570	73
0x195c0	600
0x19820	361
0x19990	739
0x19c80	369
0x19e00	768
0x1a100	217
0x1a1e0	241
0x1a2e0	188
0x1a3a0	188
0x1a460	507
0x1a660	235
0x1a750	151
0x1a7f0	775
0x1ab00	248
0x1ac00	428
0x1adb0	607
0x1b010	39
0x1b040	154
0x1b0e0	33
0x1b110	5
0x1b120	103
0x1b190	45
0x1b1c0	135
0x1b250	230
0x1b340	194
0x1b410	200
0x1b4e0	32
0x1b500	651
0x1b7b0	361
0x1b920	367
0x1ba90	354
0x1bc00	13
0x1bc10	29
0x1bc30	345
0x1bd90	18
0x1bdb0	284
0x1bed0	33
0x1bf00	32
0x1bf20	89
0x1bf80	96
0x1bfe0	97
0x1c050	95
0x1c0b0	95
0x1c110	95
0x1c170	95
0x1c1d0	95
0x1c230	95
0x1c290	95
0x1c2f0	402
0x1c490	1028
0x1c8a0	1357
0x1cdf0	669
0x1d090	710
0x1d360	1480
0x1d930	1124
0x1dda0	32
0x1ddc0	89
0x1de20	96
0x1de80	97
0x1def0	95
0x1df50	95
0x1dfb0	95
0x1e010	95
0x1e070	95
0x1e0d0	95
0x1e130	95
0x1e190	680
0x1e440	297
0x1e570	1350
0x1eac0	184
0x1eb80	544
0x1eda0	253
0x1eea0	441
0x1f060	209
0x1f140	575
0x1f380	39
0x1f3b0	450
0x1f580	772
0x1f890	143
0x1f920	564
0x1fb60	502
0x1fd60	758
0x20060	507
0x20260	872
0x205d0	389
0x20760	391
0x208f0	388
0x20a80	612
0x20cf0	38
0x20d20	469
0x20f00	251
0x21000	629
0x21280	358
0x213f0	245
0x214f0	148
0x21590	225
0x21680	2297
0x21f80	213
0x22060	398
0x221f0	208
0x222c0	373
0x22440	153
0x224e0	692
0x227a0	219
0x22880	437
0x22a40	216
0x22b20	632
0x22da0	429
0x22f50	433
0x23110	19
0x23130	521
0x23340	639
0x235c0	68
0x23610	32
0x23630	390
0x237c0	94
0x23820	135
0x238b0	89
0x23910	96
0x23970	97
0x239e0	95
0x23a40	95
0x23aa0	95
0x23b00	95
0x23b60	95
0x23bc0	95
0x23c20	95
0x23c80	121
0x23d00	218
