# GENERATED: python3 -m homm3.carve hdmap - NH3API names transferred from HD Mod's Heroes3.exe by masked byte identity.
# generator: homm3.carve.hdmap
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-04
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
# HD build: Heroes3.exe; match = unique masked hit of the HD function body in OUR .text
# (absolute operands + rel32 displacements masked). The NAME is NH3API's (external);
# the IDENTIFICATION is our own bytes. our_state=entry means it also lands on a carved entry.
rva,hd_va,name,signature,convention,match_bytes,fixed_bytes,pass,our_state,evidence
0x1510,0x401510,TAdventureMapWindow::TAdventureMapWindow,TAdventureMapWindow* TAdventureMapWindow::TAdventureMapWindow(),thiscall,75,67,global-unique,entry,core/interface/dialogs.hpp:122
0x2b10,0x402b10,TAdventureMapWindow::~TAdventureMapWindow,void TAdventureMapWindow::~TAdventureMapWindow(),thiscall,128,112,global-unique,entry,core/interface/dialogs.hpp:129
0x2b90,0x402b90,TAdventureMapWindow::animate_bottom_view,void TAdventureMapWindow::animate_bottom_view(bool in_background),thiscall,48,44,global-unique,entry,core/interface/dialogs.hpp:138
0x2bc0,0x402bc0,TAdventureMapWindow::draw_bottom_view,void TAdventureMapWindow::draw_bottom_view(bool update),thiscall,80,64,global-unique,entry,core/interface/dialogs.hpp:141
0x2c10,0x402c10,TAdventureMapWindow::set_bottom_view,void TAdventureMapWindow::set_bottom_view(type_bottom_view_window* new_view),thiscall,64,64,global-unique,entry,core/interface/dialogs.hpp:144
0x2c50,0x402c50,TAdventureMapWindow::convertID2HelpID,int32_t TAdventureMapWindow::convertID2HelpID(int32_t id),thiscall,256,228,global-unique,entry,core/interface/dialogs.hpp:147
0x2e70,0x402e70,TAdventureMapWindow::ProcessRightSelect,bool TAdventureMapWindow::ProcessRightSelect(const message& msg),thiscall,256,205,global-unique,entry,core/interface/dialogs.hpp:150
0x3010,0x403010,TAdventureMapWindow::ProcessHover,"bool TAdventureMapWindow::ProcessHover(int32_t hx, int32_t hy)",thiscall,256,156,global-unique,entry,core/interface/dialogs.hpp:153
0x3220,0x403220,TAdventureMapWindow::DoHeroKnob,void TAdventureMapWindow::DoHeroKnob(bool update),thiscall,96,74,global-unique,entry,core/interface/dialogs.hpp:156
0x3280,0x403280,TAdventureMapWindow::DoTownKnob,void TAdventureMapWindow::DoTownKnob(bool update),thiscall,96,76,global-unique,entry,core/interface/dialogs.hpp:159
0x32e0,0x4032e0,TAdventureMapWindow::UpdateHeroLocators,"void TAdventureMapWindow::UpdateHeroLocators(int32_t top, bool drawWin, bool updateFlag)",thiscall,170,128,global-unique,entry,core/interface/dialogs.hpp:162
