# MANUALLY MANAGED - INITIALLY GENERATED by `python3 -m homm3.carve.funclets`
# (provenance below) and hand-owned after admission: corrections are edited
# directly into these rows; do not regenerate over hand edits.
# generator: homm3.carve.funclets
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-04
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
# `.CRT$XCU` initializer bodies in slot (link) order.
rva	slot
0x1000	0
0x1060	1
0x10c0	2
0x1130	3
0x1190	4
0x11f0	5
0x1250	6
0x12b0	7
0x1310	8
0x1370	9
0x4dd0	10
0x4e00	11
0x4e60	12
0x4ec0	13
0x4f30	14
0x4f90	15
0x4ff0	16
0x5050	17
0x50b0	18
0x5110	19
0x5170	20
0x5930	21
0x5950	22
0x59b0	23
0x5a10	24
0x5a80	25
0x5ae0	26
0x5b40	27
0x5ba0	28
0x5c00	29
0x5c60	30
0x5cc0	31
0x5db0	32
0xf240	33
0x1b4e0	34
0x1bf00	35
0x1bf20	36
0x1bf80	37
0x1bfe0	38
0x1c050	39
0x1c0b0	40
0x1c110	41
0x1c170	42
0x1c1d0	43
0x1c230	44
0x1c290	45
0x1dda0	46
0x1ddc0	47
0x1de20	48
0x1de80	49
0x1def0	50
0x1df50	51
0x1dfb0	52
0x1e010	53
0x1e070	54
0x1e0d0	55
0x1e130	56
0x23610	57
0x238b0	58
0x23910	59
0x23970	60
0x239e0	61
0x23a40	62
0x23aa0	63
0x23b00	64
0x23b60	65
0x23bc0	66
0x23c20	67
0x27a70	68
0x27ca0	69
0x27d00	70
0x27d60	71
0x27dd0	72
0x27e30	73
0x27e90	74
0x27ef0	75
0x27f50	76
0x27fb0	77
0x28010	78
0x28070	79
0x32460	80
0x34cc0	81
0x35460	82
0x354c0	83
0x35520	84
0x35590	85
0x355f0	86
0x35650	87
0x356b0	88
0x35710	89
0x35770	90
0x357d0	91
0x3ce60	92
0x3ce80	93
0x3cee0	94
0x3cf40	95
0x3cfb0	96
0x3d010	97
0x3d070	98
0x3d0d0	99
0x3d130	100
0x3d190	101
0x3d1f0	102
0x492b0	103
0x492d0	104
0x49330	105
0x49390	106
0x49400	107
0x49460	108
0x494c0	109
0x49520	110
0x49580	111
0x495e0	112
0x49640	113
0x4c700	114
0x4c960	115
0x4cc00	116
0x4d510	117
0x4d580	118
0x4df50	119
0x4ed00	120
0x4f790	121
0x4f7b0	122
0x4fec0	123
0x50930	124
0x50950	125
0x509b0	126
0x50a10	127
0x50a80	128
0x50ae0	129
0x50b40	130
0x50ba0	131
0x50c00	132
0x50c60	133
0x50cc0	134
0x55e60	135
0x56ea0	136
0x575a0	137
0x575c0	138
0x57620	139
0x57680	140
0x576f0	141
0x57750	142
0x577b0	143
0x57810	144
0x57870	145
0x578d0	146
0x57930	147
0x5dec0	148
0x5e210	149
0x5e230	150
0x5e3d0	151
0x5e3f0	152
0x5e450	153
0x5e4b0	154
0x5e520	155
0x5e580	156
0x5e5e0	157
0x5e640	158
0x5e6a0	159
0x5e700	160
0x5e760	161
0x60830	162
0x60d10	163
0x60d70	164
0x60dd0	165
0x60e40	166
0x60ea0	167
0x60f00	168
0x60f60	169
0x60fc0	170
0x61020	171
0x61080	172
0x62220	173
0x62240	174
0x622a0	175
0x62300	176
0x62370	177
0x623d0	178
0x62430	179
0x62490	180
0x624f0	181
0x62550	182
0x625b0	183
0x62610	184
0x62640	185
0x62670	186
0x626a0	187
0x626d0	188
0x62700	189
0x62730	190
0x6b220	191
0x6b240	192
0x6b2a0	193
0x6b300	194
0x6b370	195
0x6b3d0	196
0x6b430	197
0x6b490	198
0x6b4f0	199
0x6b550	200
0x6b5b0	201
0x6dfc0	202
0x6dfe0	203
0x6e040	204
0x6e0a0	205
0x6e110	206
0x6e170	207
0x6e1d0	208
0x6e230	209
0x6e290	210
0x6e2f0	211
0x6e350	212
0x6fee0	213
0x6ff00	214
0x6ff60	215
0x6ffc0	216
0x70030	217
0x70090	218
0x700f0	219
0x70150	220
0x701b0	221
0x70210	222
0x70270	223
0x71c20	224
0x71c40	225
0x71ca0	226
0x71d00	227
0x71d70	228
0x71dd0	229
0x71e30	230
0x71e90	231
0x71ef0	232
0x71f50	233
0x71fb0	234
0x73810	235
0x73830	236
0x73890	237
0x738f0	238
0x73960	239
0x739c0	240
0x73a20	241
0x73a80	242
0x73ae0	243
0x73b40	244
0x73ba0	245
0x7a690	246
0x7a6b0	247
0x7a710	248
0x7a770	249
0x7a7e0	250
0x7a840	251
0x7a8a0	252
0x7a900	253
0x7a960	254
0x7a9c0	255
0x7aa20	256
0x7aa80	257
0x7b100	258
0x7b820	259
0x7b8d0	260
0x7c240	261
0x7c260	262
0x7c270	263
0x7f3e0	264
0x7f400	265
0x7f460	266
0x7f4c0	267
0x7f530	268
0x7f590	269
0x7f5f0	270
0x7f650	271
0x7f6b0	272
0x7f710	273
0x7f770	274
0x823c0	275
0x823e0	276
0x82440	277
0x824a0	278
0x82510	279
0x82570	280
0x825d0	281
0x82630	282
0x82690	283
0x826f0	284
0x82750	285
0x83920	286
0x83b40	287
0x83ba0	288
0x83c00	289
0x83c70	290
0x83cd0	291
0x83d30	292
0x83d90	293
0x83df0	294
0x83e50	295
0x83eb0	296
0x8f5f0	297
