# MANUALLY MANAGED - this file was INITIALLY GENERATED by homm3.carve
# (provenance below) and is hand-owned after admission: boundary
# corrections are edited directly into these rows; do not regenerate
# over hand edits.
# generator: homm3.carve.relocs emit-relocs
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-04
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
# per-site evidence for retail-relocs.tsv; dispositions explained there
site_rva	value	channel	detail	target_class	ctx	disposition
0x1050	0x6911e8	code	mov	data	mem	kept
0x10b7	0x691204	code	mov	data	mem	kept
0x1118	0x691200	code	mov	data	mem	kept
0x1186	0x6911ec	code	mov	data	mem	kept
0x11e6	0x6911f4	code	mov	data	mem	kept
0x1246	0x6911f0	code	mov	data	mem	kept
0x12a6	0x6911f8	code	mov	data	mem	kept
0x1306	0x6911e0	code	mov	data	mem	kept
0x1366	0x6911fc	code	mov	data	mem	kept
0x13c6	0x6911e4	code	mov	data	mem	kept
0x1406	0x62724b	code	push	code	imm	kept
0x14a8	0x4014ad	code	mov	code	imm	kept
0x1516	0x62738e	code	push	code	imm	kept
0x1559	0x63a5e4	code	mov	data	imm	kept
0x1705	0x65f3c0	code	push	literal-start	imm	kept
0x1774	0x65f268	code	push	literal-start	imm	kept
0x17e3	0x65f3b4	code	push	literal-start	imm	kept
0x1852	0x65f250	code	push	literal-start	imm	kept
0x18c1	0x65f3a8	code	push	literal-start	imm	kept
0x1930	0x65f39c	code	push	literal-start	imm	kept
0x199f	0x65f390	code	push	literal-start	imm	kept
0x1a0e	0x65f384	code	push	literal-start	imm	kept
0x1a7d	0x65f378	code	push	literal-start	imm	kept
0x1aec	0x65f36c	code	push	literal-start	imm	kept
0x1b5b	0x65f360	code	push	literal-start	imm	kept
0x1baf	0x65f354	code	push	literal-start	imm	kept
0x1d15	0x65f348	code	push	literal-start	imm	kept
0x1d85	0x65f33c	code	push	literal-start	imm	kept
0x1de4	0x65f330	code	push	literal-start	imm	kept
0x1e3b	0x65f324	code	push	literal-start	imm	kept
0x1ea3	0x65f318	code	push	literal-start	imm	kept
0x1f03	0x65f308	code	push	literal-start	imm	kept
0x1f08	0x65f2f8	code	push	literal-interior	imm	kept
0x1f65	0x65f2ec	code	push	literal-start	imm	kept
0x1fc6	0x65f308	code	push	literal-start	imm	kept
0x1fcf	0x65f2f8	code	push	literal-interior	imm	kept
0x1fd4	0x691210	code	push	data	imm	kept
0x1ff5	0x63a578	code	mov	data	imm	kept
0x22e6	0x6273a8	code	push	code	imm	kept
0x232d	0x6994e8	code	mov	data	mem	kept
0x2346	0x65f3cc	code	mov	literal-start	imm	kept
0x2365	0x65f3cc	code	mov	literal-start	imm	kept
0x2386	0x69954c	code	mov	data	mem	kept
0x2390	0x69ccbc	code	mov	data	mem	kept
0x2397	0x6994e8	code	mov	data	mem	kept
0x23a2	0x691209	code	mov	data	mem	kept
0x23ac	0x69120c	code	mov	data	mem	kept
0x23b7	0x6987a0	code	mov	data	mem	kept
0x23bd	0x69879c	code	mov	data	mem	kept
0x23c3	0x698794	code	mov	data	mem	kept
0x23c9	0x6987a4	code	mov	data	mem	kept
0x23cf	0x698798	code	mov	data	mem	kept
0x23d5	0x6987ec	code	mov	data	mem	kept
0x23de	0x698758	code	mov	data	mem	kept
0x23e3	0x69875c	code	mov	data	mem	kept
0x23f2	0x63a608	code	mov	data	imm	kept
0x245a	0x69ccb0	code	mov	data	mem	kept
0x2479	0x6994e8	code	mov	data	mem	kept
0x2490	0x63a608	code	mov	data	imm	kept
0x24a7	0x63a480	code	push	literal-start	imm	kept
0x24ec	0x63a48c	code	push	literal-start	imm	kept
0x2531	0x63a498	code	push	literal-start	imm	kept
0x25d0	0x63a4a8	code	push	literal-start	imm	kept
0x2606	0x63a4b0	code	push	literal-start	imm	kept
0x2621	0x400000	code	or	unmapped	imm	dropped-unmapped
0x2631	0x63a4c8	code	push	literal-interior	imm	kept
0x2670	0x63a4dc	code	push	literal-start	imm	kept
