# MANUALLY MANAGED - INITIALLY GENERATED by `python3 -m homm3.carve funcmap`
# (provenance below) and hand-owned after admission: corrections are edited
# directly into these rows; do not regenerate over hand edits.
# generator: homm3.carve.funcmap
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-04
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
# zlib 1.1.3, statically linked, never reconstructed from src/
# (vendored sources stay pristine): the reviewed rva->symbol map
# promised by CLAUDE.md/P0.2. Raw symbol where the recompiled-
# object channel proved it; working label for zlib's static
# internals until matching completes them. `unit` = owning TU
# (archive member stem), the file location the delinker mirrors.
rva	size	name	unit
0x204830	26	@deflateInit_@16	deflate
0x204850	505	@deflateInit2_@32	deflate
0x204a50	110	@deflateReset@4	deflate
0x204ac0	679	@deflate@8	deflate
0x204d70	41	@putShortMSB@8	deflate
0x204da0	112	@flush_pending@4	deflate
0x204e10	137	@deflateEnd@4	deflate
0x204ea0	145	@lm_init@4	deflate
0x204f40	326	@deflate_stored@8	deflate
0x205090	284	@fill_window@4	deflate
0x2051b0	105	@read_buf@12	deflate
0x205220	812	@deflate_fast@8	deflate
0x205550	365	@longest_match@8	deflate
0x2056c0	1061	@deflate_slow@8	deflate
0x205af0	307	@crc32@12	crc32
0x205c30	59	@inflateReset@4	inflate
0x205c70	62	@inflateEnd@4	inflate
0x205cb0	276	@inflateInit2_@16	inflate
0x205dd0	19	@inflateInit_@12	inflate
0x205df0	1068	@inflate@8	inflate
0x206220	8	@gzopen@8	gzio
0x206230	600	@gz_open@12	gzio
0x206490	310	@check_header@4	gzio
0x2065d0	111	@get_byte@4	gzio
0x206640	173	@destroy@4	gzio
0x2066f0	566	@gzread@12	gzio
0x206930	142	@gzwrite@12	gzio
0x2069c0	185	@do_flush@8	gzio
0x206a80	62	@getLong@4	gzio
0x206ac0	67	@gzclose@4	gzio
0x206b10	39	@putLong@8	gzio
0x206b40	153	@compress2@20	compress
0x206be0	141	@uncompress@16	uncompr
0x206c70	17	@zcalloc@12	zutil
0x206c90	8	@zcfree@8	zutil
0x206ca0	300	@adler32@12	adler32
0x206dd0	107	@_tr_init@4	trees
0x206e40	1	@tr_static_init@0	trees
0x206e50	98	@init_block@4	trees
0x206ec0	176	@_tr_stored_block@16	trees
0x206f70	591	@_tr_align@4	trees
0x2071c0	484	@_tr_flush_block@16	trees
0x2073b0	559	@build_tree@8	trees
0x2075e0	213	@pqdownheap@12	trees
0x2076c0	539	@gen_bitlen@8	trees
0x2078e0	111	@gen_codes@12	trees
0x207950	104	@build_bl_tree@4	trees
0x2079c0	224	@scan_tree@12	trees
0x207aa0	610	@send_all_trees@16	trees
0x207d10	1399	@send_tree@12	trees
0x208290	1075	@compress_block@12	trees
0x2086d0	112	@set_data_type@4	trees
0x208740	23	@bi_reverse@8	trees
0x208760	135	@bi_flush@4	trees
0x2087f0	120	@bi_windup@4	trees
0x208870	147	@copy_block@16	trees
0x208910	110	@inflate_blocks_reset@12	infblock
0x208980	157	@inflate_blocks_new@12	infblock
0x208a20	3260	@inflate_blocks@12	infblock
0x2096e0	44	@inflate_blocks_free@8	infblock
0x209710	64	@inflate_codes_new@20	infcodes
0x209750	1956	@inflate_codes@12	infcodes
0x209f00	10	@inflate_codes_free@8	infcodes
0x209f10	161	@inflate_trees_bits@20	inftrees
0x209fc0	1218	@huft_build@40	inftrees
0x20a490	349	@inflate_trees_dynamic@36	inftrees
0x20a5f0	40	@inflate_trees_fixed@20	inftrees
0x20a620	322	@inflate_flush@12	infutil
0x20a770	946	@inflate_fast@24	inffast
