# Reviewed game-source exclusions, keyed by exact DC source identity.
# Compiler-generated and external-library exclusions live in dc_only_generated.tsv.
file	function	line	reason
soundmgr.h	soundManager::service_sounds	140	WinCE no-op: dc 0xe6ef4 is a four-byte rts/nop attributed to SoundMgr.h:140. This positively locates the CE stub, not the nonempty Windows Miles implementation. Complete's retained helper and source-visibility inference are documented beside soundManager::serviceSounds in src/soundmgr.cpp.
h3/dc_precompiledheaders.cpp	ShowCursor	11	Dreamcast h3/DC_precompiledheaders.cpp platform shim; Complete uses Windows/CRT or the original external library implementation.
h3/dc_precompiledheaders.cpp	ClientToScreen	21	Dreamcast h3/DC_precompiledheaders.cpp platform shim; Complete uses Windows/CRT or the original external library implementation.
h3/dc_precompiledheaders.cpp	DSetCursorPos	30	Dreamcast h3/DC_precompiledheaders.cpp platform shim; Complete uses Windows/CRT or the original external library implementation.
h3/dc_precompiledheaders.cpp	GetCursorPos	43	Dreamcast h3/DC_precompiledheaders.cpp platform shim; Complete uses Windows/CRT or the original external library implementation.
h3/dc_precompiledheaders.cpp	ScreenToClient	62	Dreamcast h3/DC_precompiledheaders.cpp platform shim; Complete uses Windows/CRT or the original external library implementation.
h3/dc_precompiledheaders.cpp	IsIconic	71	Dreamcast h3/DC_precompiledheaders.cpp platform shim; Complete uses Windows/CRT or the original external library implementation.
h3/dc_precompiledheaders.cpp	stricmp	78	Dreamcast h3/DC_precompiledheaders.cpp platform shim; Complete uses Windows/CRT or the original external library implementation.
h3/dc_precompiledheaders.cpp	isalpha	101	Dreamcast h3/DC_precompiledheaders.cpp platform shim; Complete uses Windows/CRT or the original external library implementation.
h3/dc_precompiledheaders.cpp	strupr	108	Dreamcast h3/DC_precompiledheaders.cpp platform shim; Complete uses Windows/CRT or the original external library implementation.
h3/dc_precompiledheaders.cpp	endthread	115	Dreamcast h3/DC_precompiledheaders.cpp platform shim; Complete uses Windows/CRT or the original external library implementation.
h3/dc_precompiledheaders.cpp	beginthread	121	Dreamcast h3/DC_precompiledheaders.cpp platform shim; Complete uses Windows/CRT or the original external library implementation.
h3/dc_precompiledheaders.cpp	chdir	134	Dreamcast h3/DC_precompiledheaders.cpp platform shim; Complete uses Windows/CRT or the original external library implementation.
h3/dc_precompiledheaders.cpp	_open	141	Dreamcast h3/DC_precompiledheaders.cpp platform shim; Complete uses Windows/CRT or the original external library implementation.
h3/dc_precompiledheaders.cpp	open	146	Dreamcast h3/DC_precompiledheaders.cpp platform shim; Complete uses Windows/CRT or the original external library implementation.
h3/dc_precompiledheaders.cpp	_close	152	Dreamcast h3/DC_precompiledheaders.cpp platform shim; Complete uses Windows/CRT or the original external library implementation.
h3/dc_precompiledheaders.cpp	_endthreadex	158	Dreamcast h3/DC_precompiledheaders.cpp platform shim; Complete uses Windows/CRT or the original external library implementation.
