# Reviewed Windows-only interfaces requiring individual source review.
# Whole Windows-only modules and libraries live in win_only_modules.tsv.
file	function	signature	reason
src/ai_player.cpp	type_base_necromancy_artifact::type_base_necromancy_artifact	void (long) __attribute__((thiscall))	No separately retained procedure names this no-data source base. The recovered Complete type inventory places both type_necromancy_artifact and type_undead_king_cloak_artifact above it and type_combat_artifact below it. Retail initializeArtifactEffects retains the combat constructor at 0x434265 and 0x4344b6, while one extra inline layer makes both paths exact without changing the eight-byte layout or adding a vtable. Dreamcast's concrete necromancy constructor at 0x36414 calls type_combat_artifact directly; an expanded empty intermediate is code-equivalent, so its absence from the procedure roster is not contradictory.
src/soundmgr.cpp	soundManager::serviceSounds	void () __attribute__((thiscall))	Windows Miles operation at retail 0x59a7d0. DC's SoundMgr.h:140 counterpart is a four-byte no-op, separately recorded in dc_only.tsv. All 13 retail AIL_serve references are in soundmgr: full service expansions in memorySample and launchSample, the retained 81-byte helper and ten other references. Observed external consumers retain calls. An ordinary soundmgr.cpp definition explains visibility and retained emission without pins; its Windows source placement remains a platform inference, not recovered original text.
include/customcampaign.h	TCampaignArtifactBonus::getIconIndex	int () __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da40; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
include/customcampaign.h	TCampaignBuildingBonus::getIconIndex	int () __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da60; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
include/customcampaign.h	TCampaignSpellBonus::getIconIndex	int () __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063daa0; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
include/quest.h	type_quest::questText	const std::string &(int) __attribute__((thiscall))	Complete virtual quest hierarchy, vtable 0x0064174c; include/quest.h and src/seerhut.cpp document the retail factory/slots replacing Dreamcast TSeerHut switch-based quests.
include/quest.h	type_quest::questTexts	const TSeerHutQuestText &() __attribute__((thiscall))	Complete virtual quest hierarchy, vtable 0x0064174c; include/quest.h and src/seerhut.cpp document the retail factory/slots replacing Dreamcast TSeerHut switch-based quests.
src/customcampaign.cpp	TCampaignArtifactBonus::apply	void (int) __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da40; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignArtifactBonus::getIconDefName	const char *() __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da40; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignArtifactBonus::getText	std::string () __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da40; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignArtifactBonus::read	void (TAbstractFile *) __attribute__((thiscall))	Complete virtual campaign bonus hierarchy, vtable 0x0063da40; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignBonus::isBuildingBonus	bool () __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063d938; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignBonus::setTown	void (int) __attribute__((thiscall))	Complete virtual campaign bonus hierarchy, vtable 0x0063d938; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignBonus::~TCampaignBonus	void () __attribute__((thiscall))	Complete virtual campaign bonus hierarchy, vtable 0x0063d938; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignBuildingBonus::apply	void (int) __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da60; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignBuildingBonus::getIconDefName	const char *() __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da60; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
src/customcampaign.cpp	TCampaignBuildingBonus::getText	std::string () __attribute__((thiscall)) const	Complete virtual campaign bonus hierarchy, vtable 0x0063da60; include/customcampaign.h documents the retail factory/slots replacing Dreamcast SCampaign::give_custom_items.
