# GENERATED: homm3 vc6 queue --admission - regenerate, never hand-edit.
# Admission campaign only; sorted by retail size descending.
state	size	rva	relation	owner	candidates	label	action
carcass	786	0x106390	bracketed	mapcell	mapcell	__h3cg$mapcell$vector_resize$TSeerHut	enable the existing VA claim and reconstruct its body
carcass	777	0xbdc70	in-span	game	game	__h3cg$game$implicit_copy_assign$SCampaign	enable the existing VA claim and reconstruct its body
carcass	740	0x6aeb0	bracketed	objecttype	objecttype	__h3cg$objecttype$vector_insert_count$TImageInfo	enable the existing VA claim and reconstruct its body
carcass	710	0x8e220	bracketed	singleselectionwindow	singleselectionwindow	std_copy	enable the existing VA claim and reconstruct its body
carcass	429	0x8bf00	bracketed	customcampaign	customcampaign	__h3cg$customcampaign$vector_insert_single$unsigned_char	enable the existing VA claim and reconstruct its body
carcass	396	0xd2e50	bracketed	game	game	__h3cg$game$std_copy$type_map_hero_identity	enable the existing VA claim and reconstruct its body
bracketed	97	0x1154a0	bracketed	newgame..overview	newgame,overview	game_114d80_sub02_1154a0	resolve the owner, then add its VA claim and body
bracketed	69	0x14d0a0	bracketed	quicktownwindow..recruit	quicktownwindow,recruit	game_143e20_sub05_14d0a0	resolve the owner, then add its VA claim and body
carcass	63	0x1095e0	bracketed	mapcell	mapcell	__h3cg$mapcell$std_copy$type_university	enable the existing VA claim and reconstruct its body
bracketed	52	0x1166e0	bracketed	newgame..overview	newgame,overview	game_136bc0_sub00_1166e0	resolve the owner, then add its VA claim and body
bracketed	51	0x1095a0	bracketed	mapcell..misc	mapcell,misc	game_fdbc0_sub10_1095a0	resolve the owner, then add its VA claim and body
carcass	44	0x15d380	bracketed	resourcemanager	resourcemanager	__h3cg$resourcemanager$map_insert$TCacheMapKey	enable the existing VA claim and reconstruct its body
carcass	37	0x1093c0	bracketed	mapcell	mapcell	__h3cg$mapcell$std_copy$Int	enable the existing VA claim and reconstruct its body
carcass	37	0x14df40	bracketed	mapcell	mapcell	__h3cg$mapcell$std_copy$const_int	enable the existing VA claim and reconstruct its body
carcass	36	0x8db40	bracketed	customcampaign	customcampaign	__h3cg$customcampaign$vector_ucopy$unsigned_char	enable the existing VA claim and reconstruct its body
carcass	36	0x8db70	bracketed	customcampaign	customcampaign	__h3cg$customcampaign$vector_ufill$unsigned_char	enable the existing VA claim and reconstruct its body
carcass	33	0x183ec0	in-span	singleselectionwindow	singleselectionwindow	__h3cg$singleselectionwindow$scalar_deleting_dtor$CNewPlayerUpdateTask	enable the existing VA claim and reconstruct its body
carcass	17	0xd17b0	in-span	game	game	__h3cg$game$bitset_flip$Bitset28	enable the existing VA claim and reconstruct its body
carcass	9	0x8e9d0	bracketed	customcampaign	customcampaign	__h3cg$customcampaign$std_construct$unsigned_char	enable the existing VA claim and reconstruct its body
