# generator: homm3.analysis.dc_bracket
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - a `forced`
# row is a link-order proof proposal; it becomes
# evidence only when a supervised review promotes it
# into a VA() claim.
unit	dc_offset	dc_size	proposed_rva	proposed_size	grade	name	detail
adventuremapwindow	0x1238	34		0	ambiguous	TAdvMenu::SetAdvWinButtonPalette	gap 1 dc vs 0 retail [0x3f20..0x3f60]
adventuremapwindow	0x1284	1800		0	ambiguous	TAdvMenu::TAdvMenu	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x198c	180		0	ambiguous	TAdvMenu::InitAdvMenu	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x1a40	120		0	ambiguous	TAdvMenu::~TAdvMenu	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x1ab8	1614		0	ambiguous	TAdvMenu::WindowHandler	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2108	692		0	ambiguous	TAdvMenu::UpdateHeroLocator	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x23bc	336		0	ambiguous	TAdvMenu::UpdateHeroLocators	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x250c	346		0	ambiguous	TAdvMenu::UpdateTownLocator	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2668	374		0	ambiguous	TAdvMenu::UpdateTownLocators	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x27e0	222		0	ambiguous	TAdvMenu::HighlightLocators	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x28c0	150		0	ambiguous	TAdvMenu::DoHeroKnob	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2958	100		0	ambiguous	TAdvMenu::DoTownKnob	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x29bc	106		0	ambiguous	TAdvMenu::SetElevationToggleImage	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2a28	76		0	ambiguous	TAdvMenu::UpdateSpellButton	gap 33 dc vs 4 retail [0x3f60..0x4200]
