# generator: homm3.analysis.dc_callgraph
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - a
# `callgraph-unique` row needs retail-corroborated
# promotion into a VA() claim.
unit	dc_offset	proposed_rva	candidates	grade	name	detail
adventuremapwindow	0x1284			no-signal	TAdvMenu::TAdvMenu	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x198c			no-signal	TAdvMenu::InitAdvMenu	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x1a40			no-signal	TAdvMenu::~TAdvMenu	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x1ab8			no-signal	TAdvMenu::WindowHandler	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2108			no-signal	TAdvMenu::UpdateHeroLocator	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x23bc			no-signal	TAdvMenu::UpdateHeroLocators	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x250c			no-signal	TAdvMenu::UpdateTownLocator	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2668			no-signal	TAdvMenu::UpdateTownLocators	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x27e0			no-signal	TAdvMenu::HighlightLocators	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x28c0			no-signal	TAdvMenu::DoHeroKnob	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2958			no-signal	TAdvMenu::DoTownKnob	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x29bc			no-signal	TAdvMenu::SetElevationToggleImage	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2a28			no-signal	TAdvMenu::UpdateSpellButton	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2a74			no-signal	TAdvMenu::SetSleepImage	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2b3c			no-signal	TAdvMenu::UpdateSleepButton	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2b7c			no-signal	TAdvMenu::UpdateQuestLogButton	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2c30			no-signal	TAdvMenu::CheckDimNextHeroBut	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2cb8			no-signal	operator new	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2cbc			no-signal	std::char_traits<char>::compare	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2cd4			no-signal	std::char_traits<char>::length	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2cec			no-signal	std::char_traits<char>::assign	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2cf4			no-signal	std::__stl_new	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2d0c			no-signal	std::__stl_delete	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2d24			no-signal	std::destroy	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2d28			no-signal	std::uninitialized_copy	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2d58			no-signal	message::message	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2d74			no-signal	TTextResource::GetText	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2d8c			no-signal	TTextResource::operator[]	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2da4			no-signal	min	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2dcc			no-signal	CHeroWindowEx::handle_message	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2de4			no-signal	widget::GetRealHeight	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2de8			no-signal	widget::GetRealWidth	gap 33 dc vs 4 retail [0x3f60..0x4200]
adventuremapwindow	0x2dec			no-signal	widget::sleep	gap 33 dc vs 4 retail [0x3f60..0x4200]
advmgr	0x6b24			no-signal	advManager::Open	gap 2 dc vs 3 retail [0x6df0..0x7ac0]
advmgr	0x74ec			no-signal	advManager::Close	gap 2 dc vs 3 retail [0x6df0..0x7ac0]
advmgr	0x79b0			no-signal	advManager::GetCursorSampleSet	gap 2 dc vs 1 retail [0x7ac0..0x7b80]
advmgr	0x7a04			no-signal	advManager::get_mouse_map_point	gap 2 dc vs 1 retail [0x7ac0..0x7b80]
advmgr	0x8644			no-signal	advManager::Main	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0x8b70			no-signal	advManager::ProcessKeyPress	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0x9330			no-signal	advManager::ProcessSelect	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0x9614			no-signal	advManager::ProcessAdvMenu	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0x9a94			no-signal	advManager::ProcessDeSelect	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xa168			no-signal	advManager::ProcessRadarSelect	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xa88c			no-signal	advManager::ProcessMapSelect	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xaf3c			no-signal	advManager::ProcessMapSelect2	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xb208			no-signal	set_town_help	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xb258			no-signal	set_hero_help	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xb2b8			no-signal	set_pyramid_help	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xb3bc			no-signal	get_creature_bank_help_text	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xb788			no-signal	SetShrineHelpText	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xb930			no-signal	SetTreeHelpText	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
