# generator: homm3.carve.dcxref
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-04
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
src_offset	src_name	src_module	dst_offset	dst_name	dst_module	pool_refs	bsr_calls
0x110	$E441	adventuremapwindow.obj	0x36dc	std::bitset<10,unsigned long>::bitset<10,unsigned long>	adventuremapwindow.obj	1	0
0x110	$E441	adventuremapwindow.obj	0x36fc	std::bitset<10,unsigned long>::operator<<	adventuremapwindow.obj	1	0
0x138	$E442	adventuremapwindow.obj	0x110	$E441	adventuremapwindow.obj	0	1
0x148	$E444	adventuremapwindow.obj	0x36dc	std::bitset<10,unsigned long>::bitset<10,unsigned long>	adventuremapwindow.obj	1	0
0x148	$E444	adventuremapwindow.obj	0x36fc	std::bitset<10,unsigned long>::operator<<	adventuremapwindow.obj	1	0
0x170	$E445	adventuremapwindow.obj	0x148	$E444	adventuremapwindow.obj	0	1
0x180	$E447	adventuremapwindow.obj	0x36dc	std::bitset<10,unsigned long>::bitset<10,unsigned long>	adventuremapwindow.obj	1	0
0x180	$E447	adventuremapwindow.obj	0x36fc	std::bitset<10,unsigned long>::operator<<	adventuremapwindow.obj	1	0
0x1a8	$E448	adventuremapwindow.obj	0x180	$E447	adventuremapwindow.obj	0	1
0x1b8	$E450	adventuremapwindow.obj	0x36dc	std::bitset<10,unsigned long>::bitset<10,unsigned long>	adventuremapwindow.obj	1	0
0x1b8	$E450	adventuremapwindow.obj	0x36fc	std::bitset<10,unsigned long>::operator<<	adventuremapwindow.obj	1	0
0x1e0	$E451	adventuremapwindow.obj	0x1b8	$E450	adventuremapwindow.obj	0	1
0x1f0	$E453	adventuremapwindow.obj	0x36dc	std::bitset<10,unsigned long>::bitset<10,unsigned long>	adventuremapwindow.obj	1	0
0x1f0	$E453	adventuremapwindow.obj	0x36fc	std::bitset<10,unsigned long>::operator<<	adventuremapwindow.obj	1	0
0x218	$E454	adventuremapwindow.obj	0x1f0	$E453	adventuremapwindow.obj	0	1
0x228	$E456	adventuremapwindow.obj	0x36dc	std::bitset<10,unsigned long>::bitset<10,unsigned long>	adventuremapwindow.obj	1	0
0x228	$E456	adventuremapwindow.obj	0x36fc	std::bitset<10,unsigned long>::operator<<	adventuremapwindow.obj	1	0
0x250	$E457	adventuremapwindow.obj	0x228	$E456	adventuremapwindow.obj	0	1
0x260	$E459	adventuremapwindow.obj	0x36dc	std::bitset<10,unsigned long>::bitset<10,unsigned long>	adventuremapwindow.obj	1	0
0x260	$E459	adventuremapwindow.obj	0x36fc	std::bitset<10,unsigned long>::operator<<	adventuremapwindow.obj	1	0
0x288	$E460	adventuremapwindow.obj	0x260	$E459	adventuremapwindow.obj	0	1
0x298	$E462	adventuremapwindow.obj	0x36dc	std::bitset<10,unsigned long>::bitset<10,unsigned long>	adventuremapwindow.obj	1	0
0x298	$E462	adventuremapwindow.obj	0x36fc	std::bitset<10,unsigned long>::operator<<	adventuremapwindow.obj	1	0
0x2c0	$E463	adventuremapwindow.obj	0x298	$E462	adventuremapwindow.obj	0	1
0x2d0	$E465	adventuremapwindow.obj	0x36dc	std::bitset<10,unsigned long>::bitset<10,unsigned long>	adventuremapwindow.obj	1	0
0x2d0	$E465	adventuremapwindow.obj	0x36fc	std::bitset<10,unsigned long>::operator<<	adventuremapwindow.obj	1	0
0x2f8	$E466	adventuremapwindow.obj	0x2d0	$E465	adventuremapwindow.obj	0	1
0x308	$E468	adventuremapwindow.obj	0x36dc	std::bitset<10,unsigned long>::bitset<10,unsigned long>	adventuremapwindow.obj	1	0
0x308	$E468	adventuremapwindow.obj	0x36fc	std::bitset<10,unsigned long>::operator<<	adventuremapwindow.obj	1	0
0x330	$E469	adventuremapwindow.obj	0x308	$E468	adventuremapwindow.obj	0	1
0x370	TAdventureMapWindow::SleepAllWidgets	adventuremapwindow.obj	0x2dec	widget::sleep	adventuremapwindow.obj	1	0
0x370	TAdventureMapWindow::SleepAllWidgets	adventuremapwindow.obj	0x35fc	std::vector<widget *,std::allocator<widget *> >::begin	adventuremapwindow.obj	1	0
0x370	TAdventureMapWindow::SleepAllWidgets	adventuremapwindow.obj	0x3600	std::vector<widget *,std::allocator<widget *> >::end	adventuremapwindow.obj	1	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0x11bc	TAdventureMapWindow::UpdateResourceDisplay	adventuremapwindow.obj	0	1
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0x2d8c	TTextResource::operator[]	adventuremapwindow.obj	1	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0x2e54	type_artifact::type_artifact	adventuremapwindow.obj	4	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0x2e60	hero::GetExperienceIncrement	adventuremapwindow.obj	1	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0x2ed4	game::GetCurrHero	adventuremapwindow.obj	1	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0x2f4c	game::GetNumMapLevels	adventuremapwindow.obj	1	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0x2f68	TCheatCode::TCheatCode	adventuremapwindow.obj	1	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0x2f84	TCheatCode::compare	adventuremapwindow.obj	1	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0x35a0	std::basic_string<char,std::char_traits<char>,std::allocator<char> >::operator=	adventuremapwindow.obj	1	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0x35d0	std::basic_string<char,std::char_traits<char>,std::allocator<char> >::c_str	adventuremapwindow.obj	1	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0xfd6c	advManager::Reseed	advmgr.obj	1	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0x18d38	advManager::UpdBottomView	advmgr.obj	2	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0x1a230	advManager::RedrawAdvScreen	advmgr.obj	1	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0x1e068	advManager::ViewPuzzle	advmgr.obj	1	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0x4ed4c	armyGroup::Add	armygrp.obj	2	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0x8e33c	game::SetVisibility	event_record.obj	1	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0xcc220	hero::HasArtifact	hero.obj	3	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0xcc26c	hero::IsWieldingArtifact	hero.obj	1	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0xcc348	hero::AddSpell	hero.obj	1	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0xd3de4	hero::GiveArtifact	hero.obj	4	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0xd3e88	hero::GiveExperience	hero.obj	1	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0xd4d60	hero::GetMobility	hero.obj	1	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0xe3780	CheckEndGame	kb.obj	1	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0x1213a0	ResourceManager::RemapGraphics	resourcemanager.obj	1	0
0x3b0	CheckAdvCheatCode	adventuremapwindow.obj	0x121524	ResourceManager::SaturateGraphics	resourcemanager.obj	1	0
0x89c	TAdventureMapWindow::TAdventureMapWindow	adventuremapwindow.obj	0x3274	CAdventurMapChatEdit::CAdventurMapChatEdit	adventuremapwindow.obj	1	0
0x89c	TAdventureMapWindow::TAdventureMapWindow	adventuremapwindow.obj	0x35fc	std::vector<widget *,std::allocator<widget *> >::begin	adventuremapwindow.obj	1	0
0x89c	TAdventureMapWindow::TAdventureMapWindow	adventuremapwindow.obj	0x3600	std::vector<widget *,std::allocator<widget *> >::end	adventuremapwindow.obj	1	0
0x89c	TAdventureMapWindow::TAdventureMapWindow	adventuremapwindow.obj	0x3604	std::vector<widget *,std::allocator<widget *> >::back	adventuremapwindow.obj	2	0
0x89c	TAdventureMapWindow::TAdventureMapWindow	adventuremapwindow.obj	0x361c	std::vector<widget *,std::allocator<widget *> >::push_back	adventuremapwindow.obj	6	0
0x89c	TAdventureMapWindow::TAdventureMapWindow	adventuremapwindow.obj	0x3c64	std::vector<widget *,std::allocator<widget *> >::reserve	adventuremapwindow.obj	1	0
0x89c	TAdventureMapWindow::TAdventureMapWindow	adventuremapwindow.obj	0x54378	border::border	border.obj	3	0
0x89c	TAdventureMapWindow::TAdventureMapWindow	adventuremapwindow.obj	0xe44f0	MemError	kb.obj	1	0
0x89c	TAdventureMapWindow::TAdventureMapWindow	adventuremapwindow.obj	0x120c54	TResourceDisplay::TResourceDisplay	resourcedisplay.obj	1	0
0x89c	TAdventureMapWindow::TAdventureMapWindow	adventuremapwindow.obj	0x164c80	textWidget::textWidget	textwdgt.obj	1	0
0x89c	TAdventureMapWindow::TAdventureMapWindow	adventuremapwindow.obj	0x1651d8	bitmapBackedTextWidget::bitmapBackedTextWidget	textwdgt.obj	1	0
0x89c	TAdventureMapWindow::TAdventureMapWindow	adventuremapwindow.obj	0x197138	heroWindow::heroWindow	window.obj	1	0
0x89c	TAdventureMapWindow::TAdventureMapWindow	adventuremapwindow.obj	0x197324	heroWindow::AddWidget	window.obj	1	0
0xb9c	TAdventureMapWindow::~TAdventureMapWindow	adventuremapwindow.obj	0x1190	TAdventureMapWindow::ClearBottomView	adventuremapwindow.obj	0	1
0xb9c	TAdventureMapWindow::~TAdventureMapWindow	adventuremapwindow.obj	0x1971d0	heroWindow::~heroWindow	window.obj	1	0
0xb9c	TAdventureMapWindow::~TAdventureMapWindow	adventuremapwindow.obj	0x197c8c	heroWindow::delete_widgets	window.obj	1	0
0xc1c	TAdventureMapWindow::draw_bottom_view	adventuremapwindow.obj	0x158ed0	TSubWindow::Draw	subwindow.obj	1	0
0xc1c	TAdventureMapWindow::draw_bottom_view	adventuremapwindow.obj	0x19b230	heroWindowManager::UpdateScreen	winmgr.obj	1	0
0xc5c	TAdventureMapWindow::set_bottom_view	adventuremapwindow.obj	0x1190	TAdventureMapWindow::ClearBottomView	adventuremapwindow.obj	0	1
0xd88	TAdventureMapWindow::ProcessRightSelect	adventuremapwindow.obj	0xc7c	TAdventureMapWindow::convertID2HelpID	adventuremapwindow.obj	0	1
0xd88	TAdventureMapWindow::ProcessRightSelect	adventuremapwindow.obj	0x194bc	advManager::HeroQuickView	advmgr.obj	1	0
0xd88	TAdventureMapWindow::ProcessRightSelect	adventuremapwindow.obj	0x19674	advManager::TownQuickView	advmgr.obj	1	0
0xd88	TAdventureMapWindow::ProcessRightSelect	adventuremapwindow.obj	0xbc010	game::GetLocalPlayer	game.obj	1	0
0xd88	TAdventureMapWindow::ProcessRightSelect	adventuremapwindow.obj	0xe5ed4	get_quickview_size	kb.obj	1	0
0xd88	TAdventureMapWindow::ProcessRightSelect	adventuremapwindow.obj	0xe5fbc	NormalDialog	kb.obj	1	0
0xd88	TAdventureMapWindow::ProcessRightSelect	adventuremapwindow.obj	0x1975a8	heroWindow::GetWidget	window.obj	2	0
0xed8	TAdventureMapWindow::ProcessHover	adventuremapwindow.obj	0xc7c	TAdventureMapWindow::convertID2HelpID	adventuremapwindow.obj	0	1
0xed8	TAdventureMapWindow::ProcessHover	adventuremapwindow.obj	0x2d8c	TTextResource::operator[]	adventuremapwindow.obj	1	0
0xed8	TAdventureMapWindow::ProcessHover	adventuremapwindow.obj	0x2eb0	game::GetHero	adventuremapwindow.obj	1	0
0xed8	TAdventureMapWindow::ProcessHover	adventuremapwindow.obj	0x2f24	game::GetTown	adventuremapwindow.obj	1	0
0xed8	TAdventureMapWindow::ProcessHover	adventuremapwindow.obj	0xbc010	game::GetLocalPlayer	game.obj	1	0
0xed8	TAdventureMapWindow::ProcessHover	adventuremapwindow.obj	0xfeb1c	mouseManager::SetPointer	mousemgr.obj	1	0
0xed8	TAdventureMapWindow::ProcessHover	adventuremapwindow.obj	0x168bb8	town::GetTypeName	town.obj	1	0
0xed8	TAdventureMapWindow::ProcessHover	adventuremapwindow.obj	0x197530	heroWindow::BroadcastMessage	window.obj	1	0
0xed8	TAdventureMapWindow::ProcessHover	adventuremapwindow.obj	0x197ad0	heroWindow::findWidget	window.obj	1	0
0xed8	TAdventureMapWindow::ProcessHover	adventuremapwindow.obj	0x19b230	heroWindowManager::UpdateScreen	winmgr.obj	1	0
0x113c	TAdventureMapWindow::UpdateSpellButton	adventuremapwindow.obj	0xa6114	playerData::IsLocalHuman	game.obj	1	0
