# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
name,size,members,statics,bases
AI,120,6,0,
AnimHeaderStruct,44,2,0,
BINK,788,77,0,
BINKIO,180,14,0,
BINKRECT,16,4,0,
BINKSND,184,15,0,
BINKSUMMARY,112,28,0,
BinkManager::BinkManagerStruct,48,12,0,
Bitmap16Bit,184,9,3,resource
Bitmap816,188,10,0,resource
Bitmap8Bit,844,6,0,resource
BlackBoxData,212,11,0,TreasureData
BlackBoxInfo,4,1,0,
Buffer,20,5,0,
CAdvPopup,88,3,0,CHeroWindowEx
CAdventurMapChatEdit,116,0,0,CGameChatEdit
CAllReadyToPlayMsg,20,0,0,CNetMsg
CAnimatedDlg,112,8,0,CTextDialog
CAutoArray<CDPlayAddressElement>,20,4,0,
CAutoArray<CDPlayConnection>,20,4,0,
CAutoArray<CDPlayGroup>,20,4,0,
CAutoArray<CDPlayPlayer>,20,4,0,
CAutoArray<CDPlaySession>,20,4,0,
CBadVersionMsg,120,2,0,CNetMsg
CBonusDlg,80,0,0,CSingleSelPopup
CChatEdit,112,0,0,textEntryWidget
CChatManager,60,16,0,
CChatManager::CChatStr,136,3,0,
CChatMsg,148,1,0,CNetMsg
CClickMsg,24,1,0,CNetMsg
CCombatInitMsg,2800,17,0,CNetMsg
CCombatMainMsg,40,5,0,CNetMsg
CCombatTypeMsg,24,1,0,CNetMsg
CDPlay,88,11,0,
CDPlayAddressElement,24,3,0,
CDPlayConnection,152,4,0,
CDPlayGroup,260,0,0,CDPlayPlayer
CDPlayHeroes,236,6,0,CDPlayLobby
CDPlayLobby,96,2,0,CDPlay
CDPlayMsg,8,2,0,
CDPlayPlayer,260,2,0,
CDPlaySession,268,11,0,
CDestroyPlayerMsg,24,1,0,CNetMsg
CDiffHeader,12,3,0,
CDiffMaker,16,4,0,
CEndPlacementPhaseMsg,20,0,0,CNetMsg
CFindFile,564,2,0,
CGameChatEdit,116,1,0,CChatEdit
CGameHeaderInfoEndMsg,20,0,0,CNetMsg
CGameHeaderInfoInitMsgEx,48,1,0,CGameHeaderInfoInitMsg
CGameHeaderInfoMsg,1428,2,0,CNetMsg
CGameTransferDlg,104,2,0,CTextDialog
CGameTransferSmack,20,7,0,
CGameTransmitConfirmEndMsg,20,0,0,CNetMsg
CGameTransmitEndMsg,40,5,0,CNetMsg
CGameTransmitInitMsg,36,5,0,CNetMsg
CGameTransmitMainMsg,28,2,0,CNetMsg
CGameTransmitReqMsg,24,1,0,CNetMsg
CGameXferAckMsg,20,0,0,CNetMsg
CGiftMsg,32,3,0,CNetMsg
CGiftRequestMsg,28,2,0,CNetMsg
CHSInputDlg,88,3,0,CHeroWindowEx
CHeroDlg,80,0,0,CSingleSelPopup
CHeroLevelUpdateMsg,60,4,0,CNetMsg
CHeroWindowEx,76,2,0,heroWindow
CHostWaitDlg,120,2,0,CAnimatedDlg
CHotSeatDlg,272,3,0,CHeroWindowEx
CHotSeatMan,172,2,0,
CHourGlass,1,1,0,
CLaunchingGameMsg,20,0,0,CNetMsg
CLevelPickWaitDlg,136,3,0,CAnimatedDlg
CLogFile,351,1,0,
CMCBuildBoat,28,2,0,CMapChange
CMCClaimGarrison,28,2,0,CMapChange
CMCClaimGenerator,28,2,0,CMapChange
CMCClaimMine,28,2,0,CMapChange
CMCClaimShipYard,28,2,0,CMapChange
CMCClaimTown,28,2,0,CMapChange
CMCDeadHero,28,2,0,CMapChange
CMCDeadPlayer,24,1,0,CMapChange
CMCEraseObject,24,1,0,CMapChange
CMCHideHero,24,1,0,CMapChange
CMCMoveHero,28,4,0,CMapChange
CMCRecruitHero,32,3,0,CMapChange
CMCTeleportHero,28,2,0,CMapChange
CMPInputDlg,96,5,0,CHeroWindowEx
CMapChange,20,0,0,CNetMsg
CMapChangeMsg,84,1,0,CNetMsg
CMapFileNameMsg,128,4,0,CNetMsg
CMapHeaderData,348,13,0,
CMapHeaderData::TPlayerSlotAttributes,40,11,0,
CMapHeaderRequestMsg,24,1,0,CNetMsg
CMessageKill,4,1,0,
CNetMsg,20,5,0,
CNetMsgHandler,12,2,0,
CNetMsgHandlerPause,16,1,0,CNetMsgHandler
CNetPlayerInfo,28,2,0,
CNewHostMsg,24,1,0,CNetMsg
CNewMapHeaderInfoMsg,392,1,0,CNetMsg
CNewPlayerMsg,68,2,0,CNetMsg
CNewSetupInfoMsg,456,1,0,CNetMsg
CNormalWinMsg,24,1,0,CNetMsg
CObject,12,5,0,ExtraInfoUnion
CObjectType,60,10,0,
CPingMsg,24,1,0,CNetMsg
CPingResponseMsg,24,1,0,CNetMsg
CPlayerActiveMsg,20,0,0,CNetMsg
CPlayerDeadMsg,24,1,0,CNetMsg
CPlayerDropMsg,24,1,0,CNetMsg
CPlayerDropUpdateMsg,24,1,0,CNetMsg
CPlayerLostMsg,36,2,0,CNetMsg
CPlayerWonMsg,60,2,0,CNetMsg
CRITICAL_SECTION,20,5,0,
CReadyToPlayMsg,20,0,0,CNetMsg
CRequestHeroFaceMsg,24,1,0,CNetMsg
CRequestHeroFaceReplyMsg,28,2,0,CNetMsg
CResetVisibilityMsg,32,3,0,CNetMsg
CSaveScreen,196,3,0,Bitmap16Bit
CScenarioInfoDlg,172,7,0,CAdvPopup
CScrollMsg,28,2,0,CNetMsg
CSequence,12,3,0,
CSessionLostMsg,20,0,0,CNetMsg
CSetAGRMsg,28,2,0,CNetMsg
CSetAsHostMsg,20,0,0,CNetMsg
CSetFilterMsg,24,1,0,CNetMsg
CSetVisibilityMsg,32,3,0,CNetMsg
CSortMapsMsg,28,2,0,CNetMsg
CSprite,64,9,0,resource
CSprite::SpriteDataReload::__unnamed,32,8,0,
CSpriteFrame,208,15,2,resource
CTeamAlignmentDlg,116,2,0,CSingleSelPopup
CTextDialog,80,1,0,TDialogBox
CTimer,16,5,0,
CTownDlg,80,0,0,CSingleSelPopup
CTownUpdateMsg,28,2,0,CNetMsg
CTradeRequestMsg,2300,2,0,CNetMsg
CTurnDuration,20,5,0,
CTurnDurationPause,1,0,0,
CTurnUpdateMsg,24,1,0,CNetMsg
CUpdatePlayerPosMsg,1940,2,0,CNetMsg
CWaitForReadyPlayersDlg,144,4,0,CAnimatedDlg
CWaitForRemoteBattleDlg,136,3,0,CAnimatedDlg
CustomMapArtifactInfo,4,3,0,
CustomResourceInfo,4,3,0,
CustomSpellScrollInfo,4,4,0,
DIJOYSTATE,80,9,0,
DPCAPS,40,10,0,
DPCHAT,12,4,0,
DPCOMPOUNDADDRESSELEMENT,24,3,0,
DPCREDENTIALS,20,8,0,
DPLAPPINFO,24,4,0,
DPLCONNECTION,40,7,0,
DPMSG_ADDGROUPTOGROUP,12,3,0,
DPMSG_ADDPLAYERTOGROUP,12,3,0,
DPMSG_CHAT,24,6,0,
DPMSG_CREATEPLAYERORGROUP,48,9,0,
DPMSG_DESTROYPLAYERORGROUP,52,10,0,
DPMSG_GENERIC,4,1,0,
DPMSG_SECUREMESSAGE,20,5,0,
DPMSG_SETPLAYERORGROUPDATA,20,5,0,
DPMSG_SETPLAYERORGROUPNAME,28,4,0,
DPMSG_SETSESSIONDESC,84,2,0,
DPMSG_STARTSESSION,8,2,0,
DPNAME,16,6,0,
DPSECURITYDESC,24,8,0,
DPSESSIONDESC,124,15,0,
DPSESSIONDESC2,80,16,0,
EventInfo,4,4,0,
ExtraInfoUnion,4,28,0,
File,268,3,0,
FountainOfFortuneInfo,4,3,0,
HDC__,4,1,0,
HINSTANCE__,4,1,0,
HWND__,4,1,0,
HeroDestination,16,4,0,type_point
HeroExtra,192,21,0,
IDirectDraw,4,0,0,IUnknown
IDirectDraw4,4,0,0,IUnknown
IDirectDrawPalette,4,0,0,IUnknown
IDirectDrawSurface,4,0,0,IUnknown
IDirectDrawSurface4,4,0,0,IUnknown
IDirectPlay2,4,0,0,IUnknown
IDirectPlay3,4,0,0,IDirectPlay2
IDirectPlayLobby,4,0,0,IUnknown
IDirectPlayLobby2,4,0,0,IDirectPlayLobby
IDirectSound,4,0,0,IUnknown
IDirectSoundBuffer,4,0,0,IUnknown
IDirectSoundNotify,4,0,0,IUnknown
IEnumSTATSTG,4,0,0,IUnknown
ISequentialStream,4,0,0,IUnknown
IStorage,4,0,0,IUnknown
IStream,4,0,0,ISequentialStream
IUnknown,4,0,0,
LODEntry,32,5,0,
LODFile,408,15,0,
LODHeader,92,4,0,
LeanToInfo,4,4,0,
LossConditionStruct,12,11,0,
MagicSpringInfo,4,3,0,
MapArtifactInfo,4,5,0,
MapIdInfo,4,5,0,
MemorySampleStructure,16,4,0,
MonsterData,44,3,0,
MonsterInfo,4,6,0,
MysticGardenInfo,4,4,0,
NewSMapHeader,372,2,0,CMapHeaderData
NewfullMap,120,12,0,
NewmapCell,36,24,0,ExtraInfoUnion
NewmapCell::TObjectCell,4,4,0,
PcxData,32,8,0,
ResolutionSwitch,8,1,0,
ResourceManager::GetBitmap16::__unnamed,12,3,0,
ResourceManager::GetBitmap816::__unnamed,12,3,0,
SAMPLE2,8,2,0,
SCampaign,28884,19,0,
SGameSetupOptions,436,13,0,
SLimitData,16,4,0,
SMapChange,16,7,0,
SMonFrameInfo,84,8,0,
SavedGameHeader,44,3,0,
ScholarInfo,4,4,0,
SeaChestInfo,4,2,0,
SecondarySkillData,8,2,0,
ShipyardInfo,4,4,0,
ShrineInfo,4,3,0,
Sign,16,2,0,
SkeletonInfo,4,4,0,
SmackTag,944,32,0,
SoundHeaderStruct,48,3,0,
SpriteDataHeader,16,4,0,
SpriteDefHeader,784,5,0,
TAdvMenu,96,2,0,CAdvPopup
TAdventureMapWindow,108,10,0,heroWindow
TAdventureOptionsWindow,92,1,0,CAdvPopup
TArtifactAllowedInSlotPred,1,0,0,std::binary_function<enum
TArtifactRequirement,8,2,0,
TArtifactTraits,20,5,0,
TAutoArrayPtr<char>,8,2,0,
TBlackMarket,28,1,0,
TCSLock,4,1,0,
TCampaignBrief,80,3,0,heroWindow
TCampaignMapTraits,16,4,0,
TCampaignMapTraits::TRegionTraits,24,6,0,
TCampaignWindow,88,5,0,heroWindow
TCastleWindow,136,5,0,CAdvPopup
TCheatCode,200,1,2,
TCombatOptionsWindow,76,2,0,heroWindow
TCombatResultsWindow,68,0,0,heroWindow
TCreatureStack,8,2,0,
TCreatureTypeTraits,96,22,0,
TCustomCampaignTraits,36,8,0,
TDialogBox,76,2,0,heroWindow
TDimensionDoorWindow,92,1,0,CAdvPopup
TDrawParts,16,4,0,
TFileVersionInfo,4,1,0,
TGameTypeWindow,72,1,0,heroWindow
TGarrisonWindow,104,0,0,type_garrison_base_window
TGenericResource,36,2,0,resource
THelpText,8,2,0,
THeroClassTraits,60,8,0,
THeroTraits,88,22,0,
THighScoreWindow,268,7,0,heroWindow
THillFortWindow,664,4,0,heroWindow
TLevelUpWindow,100,3,0,CAdvPopup
TMainMenu,76,2,0,heroWindow
TMultiPlayerWindow,252,26,0,CHeroWindowEx
TNormalDialogInfo,600,13,0,
TPalette16,1052,2,3,resource
TPalette24,796,1,0,resource
TPickANumber,28,3,0,
TPickRandomTownName,28,0,0,TPickANumber
TPuzzleWindow,292,4,0,CAdvPopup
TQuickHeroWindow,68,0,0,heroWindow
TQuickTownWindow,68,0,0,heroWindow
TRGBA,4,4,0,
TResourceDisplay,116,5,1,TSubWindow
TResourcePtr<TTextResource>,8,2,0,
TSeerData,16,12,0,
TSeerHut,24,6,0,TSeerData
TSeerPrimarySkillReward,8,2,0,
TSeerResourceReward,8,2,0,
TSingleSelectionWindow,2928,79,0,CAdvPopup
TSkuttleBoatWindow,92,1,0,CAdvPopup
TSpellEffectTraits,8,2,0,
TSpellTraits,132,14,0,
TSpellbookWindow,172,16,4,CAdvPopup
TSpellbookWindow::TSpellbookEntry,12,3,0,
