# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
module,processor,version
zutil.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
winmgr.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
wingraph.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
winfile.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
window.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
widget.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
viewwrld.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
viewarmywindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
victorylossconditions.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
university_window.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
uncompr.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
u2dvers.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
trees.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
tradpost.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
townmgr.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
towngatewindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
town.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
textwdgt.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
textresource.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
textntry.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
text.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
systemoptionswindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
swapmgr.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
subwindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
strip.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
spells.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
spelldefs.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
spellbookwindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
soundmgr.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
smackmgr.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
slider.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
singleselectionwindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
singleselectionpopups.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
seerhut.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
search.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
scenarioinfo.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
sample.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
sacrifice_window.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
ResSw.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
resourcemanager.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
resourcedisplay.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
resource.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
remote.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
recruit.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
quicktownwindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
quickinfowindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
quickherowindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
questlogwindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
puzzlewindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
playvideo.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
philai.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
path.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
palette.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
overview.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
newgame.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
multiplayerwindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
mousemgr.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
monframeinfo.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
misc.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
