# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
name,type,value
WitchHutInfo,0x2D31,12
MagicSpringInfo,0x2D31,15
FountainOfFortuneInfo,0x2D31,3
DONE,0x47C6,12
BAD,0x47C6,13
HALL_CAPITOL_ID,0x1C8D,13
cs_turn_fl,0x4962,10
cs_turn_fr,0x4962,8
war_school_sound,0x2D1D,41
eTargetUpperTower,0x204C,0
RS_TRADE_REQUEST_DONE,0x2CCD,1065
wolf_rider_generator_sound,0x2D1D,68
const_harpy_hag_generator,0x1C8D,38
cyclops_bank_sound,0x2D1D,7
RType_bitmap565,0x1774,19
RType_bitmap555,0x1774,20
eSpellDispelHelpful,0x1B61,78
eArtifactRibCage,0x1B5A,26
eRewardArtifact,0x7182,8
eArtifactBowOfElvenCherrywood,0x1B5A,60
eArtifactOrbOfVulnerability,0x1B5A,93
eRaceHuman,0x3DF3,7
mercury_mine_sound,0x2D1D,39
const_hellhound_generator,0x1C8D,32
const_gog_generator,0x1C8D,31
crystal_mine_sound,0x2D1D,47
eTerrainWater,0x1C1A,8
TERRAIN_VOLCANO,0x2D17,158
eArtifactCelestialNecklaceOfBliss,0x1B5A,33
eTerrainGrass,0x1C1A,2
RS_ARTIFACT_DROP,0x2CCD,1067
eTargetGate,0x204C,3
kNumCreatureAndSiegeWeaponTypes,0x1BAC,122
dwarf_generator_sound,0x2D1D,50
const_house_4,0x1C8D,29
const_ballista_works,0x1C8D,22
kNumSecSkills,0x1AD8,28
SULFUR,0x1B7A,3
STORED,0x479D,2
RS_SETUP_PING_RESPONSE,0x2CCD,1048
CRYSTAL,0x1B7A,4
const_average,0x5A26,3
eArtifactTunicOfTheCyclopsKing,0x1B5A,28
const_harpy_generator,0x1C8D,31
const_magog_generator,0x1C8D,38
eCreatureVampire,0x1BAC,62
eArtifactQuietEyeOfTheDragon,0x1B5A,37
eClassNecromancer,0x24E4,9
eRewardMana,0x7182,2
TABLE,0x479D,3
DICT4,0x47C6,2
eSpellEffectBless,0x1F15,36
HALL_VILLAGE_ID,0x1C8D,10
eArtifactFirstAidTent,0x1B5A,6
wight_generator_sound,0x2D1D,8
angel_generator_sound,0x2D1D,37
ADV_WALK_POINTER,0x2D19,4
eArtifactStillEyeOfTheDragon,0x1B5A,45
eArtifactBadgeOfCourage,0x1B5A,49
EVENT,0x2D17,26
arena_sound,0x2D1D,2
TERRAIN_BUSH,0x2D17,115
CR_TSDDIFF,0x555B,3
eSpellEffectFireblast,0x1F15,9
const_black_knight_generator,0x1C8D,35
const_black_dragon_generator,0x1C8D,43
hell_hound_generator_sound,0x2D1D,10
hydra_generator_sound,0x2D1D,22
eCreatureCentaur,0x1BAC,14
eSpellFear,0x1B61,57
TrainingGroundsInfo,0x2D31,5
RType_tileset,0x1774,69
eSpellEffectBacklash,0x1F15,3
RS_HERO_UPDATE,0x2CCD,1066
RS_BUILD_BOAT,0x2CCD,1057
eSpellEffectAntiMagic,0x1F15,5
UNDERGROUND_GATE,0x2D17,103
const_mage_generator,0x1C8D,33
RES_NEUTRAL_MORALE,0x1B7A,15
air_elemental_generator_sound,0x2D1D,46
eHeroKrellion,0x1D96,101
eHeroArlach,0x1D96,81
eHeroNagash,0x1D96,79
eHeroRugard,0x1D96,34
eHeroRyland,0x1D96,19
eHeroZydar,0x1D96,62
eHeroIsra,0x1D96,69
eHeroCyra,0x1D96,46
eHeroTazar,0x1D96,115
eHeroTiva,0x1D96,127
EYE_OF_MAGI,0x2D17,27
eCreatureWyvernMonarch,0x1BAC,109
TERRAIN_MOSS,0x2D17,132
eArtifactBreastplateOfBrimstone,0x1B5A,29
eSpellEffectCounterstroke,0x1F15,7
eEncodeRaw,0x1772,0
RS_GAME_HEADER_INFO,0x2CCD,1023
TERRAIN_LAKE,0x2D17,126
const_colossus,0x1C8D,26
round_to_nearest,0x1578,1
gnoll_generator_sound,0x2D1D,34
eCreatureLightCrossbowman,0x1BAC,2
TERRAIN_KELP,0x2D17,125
const_freelancers_guild,0x1C8D,21
eTownStronghold,0x1AB5,6
eSpellEffectChainLightning_Dust,0x1F15,38
MONSTER,0x2D17,54
kNumRoadTypes,0x356F,4
const_max_catagories,0x5A26,5
RS_LAUNCHING_GAME,0x2CCD,1045
eSpellEffectMagicBolt_Burst,0x1F15,64
RES_ARTIFACT,0x1B7A,8
genie_generator_sound,0x2D1D,25
eSpellProtectionFromFire,0x1B61,31
const_zealot_generator,0x1C8D,41
eSecSkillNecromancy,0x1AD8,12
const_grand_elf_generator,0x1C8D,39
demon_generator_sound,0x2D1D,7
faHiddenSystem,0x10BE,6
sanctuary_sound,0x2D1D,37
eHeroCatherine,0x1D96,128
RES_PRIMARY_SKILL_KNOWLEDGE,0x1B7A,33
eCreatureBallista,0x1BAC,119
TERRAIN_HILL,0x2D17,123
TERRAIN_HOLE,0x2D17,124
RS_TEAM_WON,0x2CCD,1077
ABANDONED,0x1B7A,7
medusa_bank_sound,0x2D1D,59
eCreatureUnicorn,0x1BAC,24
dragonfly_generator_sound,0x2D1D,23
const_infernal_troglodyte_horde,0x1C8D,19
eClassOverlord,0x24E4,10
SIEGE_DEFENSE_ID,0x1C8D,21
eRaceElf,0x3DF3,3
TERRAIN_SAND_PIT,0x2D17,149
skeleton_generator_sound,0x2D1D,63
RS_GAME_HEADER_INFO_INIT,0x2CCD,1024
eCreatureSwordsman,0x1BAC,6
harpy_generator_sound,0x2D1D,20
TERRAIN_VINE,0x2D17,156
RS_DEAD_PLAYER,0x2CCD,1061
eRewardSpell,0x7182,9
BTREE,0x479D,4
eArtifactGlyphOfGallantry,0x1B5A,51
cs_specdeath,0x4962,6
eHeroGretchin,0x1D96,100
eCreaturePegasus,0x1BAC,20
eHeroGalThran,0x1D96,71
kNumSpellSchools,0x1EEC,4
RType_invalid,0x1774,(LF_SHORT) -1
eHeroSeptienna,0x1D96,72
treefolk_generator_sound,0x2D1D,54
const_unicorn_generator,0x1C8D,35
START,0x47E1,0
const_storytelling_flora,0x1C8D,26
eSpellFireWall,0x1B61,13
TERRAIN_TREE,0x2D17,155
DEFENSE_CAGE_ID,0x1C8D,17
TERRAIN_TAR_PIT,0x2D17,154
DTREE,0x479D,5
DISTEXT,0x47E1,4
eCreatureEliteCentaur,0x1BAC,15
LIBRARY_ID,0x1C8D,22
eArtifactSwordOfHellfire,0x1B5A,11
TERRAIN_STUMP,0x2D17,153
RS_TURN_UPDATE,0x2CCD,1016
const_skeleton_horde,0x1C8D,18
eCreatureHarpy,0x1BAC,72
eSecSkillPathfinding,0x1AD8,0
eCreatureImp,0x1BAC,42
eCreatureRoc,0x1BAC,92
eCreatureOrc,0x1BAC,88
eCreatureGog,0x1BAC,44
CURSED_GROUND,0x2D17,21
eCreatureFirstAidTent,0x1BAC,120
eCreatureGriffin,0x1BAC,4
devil_generator_sound,0x2D1D,9
TERRAIN_ROCK,0x2D17,147
TERRAIN_REEF,0x2D17,161
RS_NORMAL_WIN,0x2CCD,1078
eCreaturePikeman,0x1BAC,0
cs_special_r,0x4962,18
eArtifactAmbassadorsSash,0x1B5A,68
RES_PRIMARY_SKILL_DEFENSE,0x1B7A,31
RType_spritedef,0x1774,65
eClassHeretic,0x24E4,7
eSpellEffectIceRay_Burst,0x1F15,46
RS_MAP_CHANGE_END,0x2CCD,1063
eCreatureWoodElf,0x1BAC,18
titan_generator_sound,0x2D1D,43
const_treefolk_generator,0x1C8D,34
RType_palette,0x1774,96
kNumSpellEffects,0x1F15,82
const_hellhound_horde,0x1C8D,24
eArtifactSpiritOfOppression,0x1B5A,84
eArtifactSlotShoulders,0x1EA0,1
eSexMale,0x3DF1,0
RType_bitmap1555,0x1774,21
const_archangel_generator,0x1C8D,43
RS_NEXT_SCREEN,0x2CCD,1033
eHeroGurnisson,0x1D96,97
const_artifact_defended,0x2DAB,6
IdolOfFortuneInfo,0x2D31,22
const_infernal_troglodyte_generator,0x1C8D,37
TREASURE_CHEST,0x2D17,101
const_ancient_behemoth_generator,0x1C8D,43
eHeroGem,0x1D96,27
eHeroAsh,0x1D96,61
eHeroYog,0x1D96,96
eHeroXsi,0x1D96,77
const_medusa_generator,0x1C8D,33
eHeroVoy,0x1D96,122
eHeroVey,0x1D96,105
const_chaos_hydra_generator,0x1C8D,43
DEAD_GUY,0x2D17,22
const_royal_griffin_generator,0x1C8D,39
const_brotherhood_of_the_sword,0x1C8D,22
eSpellEffectMisfortune,0x1F15,48
ADV_BOAT_POINTER,0x2D19,6
ADV_WAIT_POINTER,0x2D19,1
e_pool_1,0x2DB6,0
e_pool_2,0x2DB6,1
eSpellDeathRipple,0x1B61,24
const_dual_horned_demon_generator,0x1C8D,40
const_dragonfly_generator,0x1C8D,32
eSpellEffectDeathBlow,0x1F15,73
MERCURY,0x1B7A,1
RS_UPDATE_PLAYER_POS,0x2CCD,1039
const_obsidian_gargoyle_generator,0x1C8D,38
RS_RECRUIT_HERO,0x2CCD,1060
LIGHTHOUSE_ID,0x1C8D,17
eCreatureGreaterBasilisk,0x1BAC,107
eArtifactBallista,0x1B5A,4
const_select_tower_info,0x40FD,22
eHeroSephinroth,0x1D96,94
eCreatureCyclops,0x1BAC,94
eCreatureEvilEye,0x1BAC,75
anti_magic_garrison_sound,0x2D1D,25
BAD,0x479D,9
eCreatureCerberus,0x1BAC,47
const_normal_search,0x267F,0
RType_midi,0x1774,48
RType_data,0x1774,1
const_AI_alternate_search,0x267F,5
eArtifactCollarOfConjuring,0x1B5A,76
shore_sound,0x2D1D,69
RANDOM_ARTIFACT_4,0x2D17,69
const_blacksmith,0x1C8D,16
faHidden,0x10BE,2
eSpellMuckAndMire,0x1B61,54
eSpellEffectFrostRing,0x1F15,45
eTownNecropolis,0x1AB5,4
eArtifactOgresClubOfHavoc,0x1B5A,10
eSpellEffectResurrection,0x1F15,50
eCreatureCrusader,0x1BAC,7
hs_stand_n,0x3675,0
hs_stand_s,0x3675,4
hs_stand_e,0x3675,2
hs_stand_ne,0x3675,1
hs_stand_se,0x3675,3
eArtifactOrbOfDrivingRain,0x1B5A,82
bone_dragon_generator_sound,0x2D1D,11
ePriSkillAttack,0x2FBC,0
eArtifactShieldOfTheYawningDead,0x1B5A,14
const_defense_cage,0x1C8D,17
eArtifactRedDragonFlameTongue,0x1B5A,38
eSpellEffectDisease,0x1F15,69
const_minotaur_king_generator,0x1C8D,41
eSpellSacredBreath,0x1B61,25
eArtifactTomeOfFireMagic,0x1B5A,86
eTargetUpperWall,0x204C,1
eSpellFirestorm,0x1B61,26
eClassBeastmaster,0x24E4,14
RS_BACKPACK_DROP,0x2CCD,1068
hs_walk_ne,0x3675,6
hs_walk_n,0x3675,5
const_portal_of_summoning,0x1C8D,22
eSpellProtectionFromAir,0x1B61,30
CR_TSDNODIFF,0x555B,2
eTerrainRock,0x1C1A,9
eHeroThorgrim,0x1D96,20
eArtifactPendantOfCourage,0x1B5A,108
underground_gate_sound,0x2D1D,55
const_hobgoblin_horde,0x1C8D,19
RS_REQ_HEADER_CONFIRM,0x2CCD,1041
eTerrainSwamp,0x1C1A,4
eTerrainSand,0x1C1A,1
eTerrainSnow,0x1C1A,3
eCreatureGreenDragon,0x1BAC,26
RS_PLAYER_WON,0x2CCD,1019
eSpellEffectPoof,0x1F15,81
eSpellSummonFireElemental,0x1B61,66
const_scorpicore_generator,0x1C8D,42
eArtifactSlotMisc1,0x1EA0,9
eArtifactSlotMisc2,0x1EA0,10
eArtifactSlotMisc3,0x1EA0,11
eArtifactSlotMisc4,0x1EA0,12
eArtifactSlotTorso,0x1EA0,5
SELECT_TENT,0x40FD,4
const_ogre_mage_generator,0x1C8D,40
SELECT_NULL,0x40FD,0
eRewardResource,0x7182,5
eCreaturePowerLich,0x1BAC,65
kNumSpells,0x1B61,70
eRoadCobblestone,0x356F,3
eCreatureManticore,0x1BAC,80
eSpellTailWind,0x1B61,53
eSpellEffectParalyze,0x1F15,70
eSpellDecay,0x1B61,18
RES_MONSTER,0x1B7A,21
RS_SETUP_PING,0x2CCD,1047
POWER_SCHOOL,0x2D17,61
eSpellForgetfulness,0x1B61,61
golem_factory_sound,0x2D1D,12
const_weapon_array,0x1C8D,26
siren_sound,0x2D1D,62
eHeroSynca,0x1D96,86
eHeroOris,0x1D96,114
eHeroRissa,0x1D96,38
eHeroDessa,0x1D96,106
eHeroSorsha,0x1D96,5
const_tree_wants_nothing,0x2DCC,0
cavalier_generator_sound,0x2D1D,21
ADV_SKUTTLE_BOAT_POINTER,0x2D19,42
eCreatureFireElemental,0x1BAC,114
eArtifactLionsShieldOfCourage,0x1B5A,34
eArtifactCrownOfDragonTooth,0x1B5A,44
crossbowman_generator_sound,0x2D1D,1
ADV_EXCHANGE_POINTER,0x2D19,8
MAGIC_SPRING,0x2D17,48
const_rainbow,0x1C8D,21
RS_SET_VISIBILITY,0x2CCD,1021
eSpellLandMine,0x1B61,11
tavern_sound,0x2D1D,64
_ALIGN,0x13C4,8
kNumArtifacts,0x1B5A,127
eClassWizard,0x24E4,5
windmill_sound,0x2D1D,66
round_toward_neg_infinity,0x1578,3
eCreatureBlackLord,0x1BAC,67
ADV_SCROLL_SOUTH,0x2D19,36
eCreatureBattleDwarf,0x1BAC,17
eSpellEffectFear,0x1F15,15
eClassCleric,0x24E4,1
RType_combat_hero,0x1774,73
RS_PLAYER_ACTIVE,0x2CCD,1071
RS_PING_RESPONSE,0x2CCD,1073
cs_defend,0x4962,4
BORDER_TENT,0x2D17,10
eRaceDwarf,0x3DF3,1
ADV_SCROLL_NORTH,0x2D19,32
eArtifactPendantOfDeath,0x1B5A,104
eTerrainDirt,0x1C1A,0
eCreatureMedusaQueen,0x1BAC,77
eCreatureCavalier,0x1BAC,10
ore_mine_sound,0x2D1D,40
eSpellEffectBind,0x1F15,68
gem_mine_sound,0x2D1D,17
eArtifactSpyglass,0x1B5A,53
const_first_secondary_skill,0x1AD8,0
TERRAIN_SHRUB,0x2D17,150
eFortificationCastle,0x42E1,3
eArtifactRingOfInfiniteGems,0x1B5A,110
eCreatureZombie,0x1BAC,58
eCreatureDwarf,0x1BAC,16
eCreatureHydra,0x1BAC,110
MAGIC_SCHOOL,0x2D17,47
eSpellEffectCure,0x1F15,39
eSpellEffectDisruptiveRay_Burst,0x1F15,14
TERRAIN_RIVER_1,0x2D17,139
TERRAIN_RIVER_2,0x2D17,140
TERRAIN_RIVER_3,0x2D17,141
TERRAIN_RIVER_4,0x2D17,142
eSpellMagicBolt,0x1B61,15
const_tree_wants_gold,0x2DCC,1
eFortificationFort,0x42E1,1
cs_special_dr,0x4962,19
cs_special_ur,0x4962,17
UniversityInfo,0x2D31,24
SEA_CHEST,0x2D17,82
faNormal,0x10BE,128
eArtifactPendantOfSecondSight,0x1B5A,101
faSystem,0x10BE,4
RES_BAD_LUCK,0x1B7A,13
eMasteryAdvanced,0x1A78,2
eEncodeGeneralRLE,0x1772,1
ADV_SCROLL_EAST,0x2D19,34
eSpellCurse,0x1B61,42
eSpellCure,0x1B61,37
eSpellMirth,0x1B61,49
eSpellEffectNone,0x1F15,(LF_SHORT) -1
RS_CLAIM_TOWN,0x2CCD,1053
eTerrainNone,0x1C1A,(LF_SHORT) -1
RS_CLAIM_GENERATOR,0x2CCD,1054
WINDMILL,0x2D17,112
faTemporary,0x10BE,256
const_naga_sentinel_generator,0x1C8D,35
eArtifactTitansGladius,0x1B5A,12
eHeroIvor,0x1D96,21
eHeroNimbus,0x1D96,75
eHeroCharna,0x1D96,67
eHeroGier,0x1D96,0
eHeroAndra,0x1D96,126
eHeroKyrre,0x1D96,26
eHeroAstral,0x1D96,40
eHeroSaurug,0x1D96,111
eHeroKorbac,0x1D96,117
eSpellEffectDrainLife,0x1F15,74
ePriSkillKnowledge,0x2FBC,3
eTerrainLava,0x1C1A,7
eCreatureFamiliar,0x1BAC,43
eSecSkillMagicScholar,0x1AD8,18
eClassRanger,0x24E4,2
RANDOM_HERO,0x2D17,70
const_attack_west,0x40FD,11
const_attack_east,0x40FD,8
const_advanced_lizardman_generator,0x1C8D,38
kNumSiegeWeaponTypes,0x1BAC,4
const_river_of_blood,0x1C8D,26
GARRISON,0x2D17,33
const_village_hall,0x1C8D,10
troglodyte_generator_sound,0x2D1D,7
eCreatureBeholder,0x1BAC,74
eCreatureMinotaur,0x1BAC,78
MAGIC_PLAINS,0x2D17,46
eSpellProtectionFromWater,0x1B61,32
eClassKnight,0x24E4,0
cs_fidget,0x4962,1
eArtifactSurcoatOfCounterpoise,0x1B5A,58
eSpellEffectDeathCloud,0x1F15,72
kNumWallTargets,0x204C,8
const_sea_chest_artifact,0x2FBF,2
eArtifactCentaursAxe,0x1B5A,7
PILLAR_OF_FIRE,0x2D17,60
MercCampInfo,0x2D31,8
RS_CLAIM_GARRISON,0x2CCD,1055
eSpellSummonEarthElemental,0x1B61,67
const_efreet_generator,0x1C8D,35
DRY,0x479D,7
cs_turn_rf,0x4962,7
const_goblin_horde,0x1C8D,18
eRiverClear,0x3571,1
RType_hero,0x1774,68
eRoadNone,0x356F,0
RS_SETAGR,0x2CCD,1037
RANDOM_ARTIFACT_2,0x2D17,67
const_troglodyte_generator,0x1C8D,30
eSpellHypnotize,0x1B61,60
RType_bitmap16,0x1774,18
RType_interface,0x1774,71
const_tavern,0x1C8D,5
eRewardCreature,0x7182,10
RS_MAP_CHANGE,0x2CCD,1010
eRaceEfreet,0x3DF3,2
eRaceOgre,0x3DF3,11
TERRAIN_SAND_DUNE,0x2D17,148
CASTLE_GATE_ID,0x1C8D,22
const_fort,0x1C8D,7
const_sea_chest_gold,0x2FBF,1
const_roc_generator,0x1C8D,34
ADV_SCROLL_SOUTHEAST,0x2D19,35
eArtifactPendantOfLife,0x1B5A,103
eCreatureBlackDragon,0x1BAC,83
pit_fiend_generator_sound,0x2D1D,14
const_copper_gorgon_generator,0x1C8D,34
const_elite_centaur_generator,0x1C8D,37
BOAT,0x2D17,8
BUOY,0x2D17,11
eArtifactCatapult,0x1B5A,3
cursed_ground_sound,0x2D1D,48
const_gold_dragon_generator,0x1C8D,43
eSpellChainLightning,0x1B61,19
COPY,0x47E1,5
const_devil_generator,0x1C8D,36
eArtifactTitansCuirass,0x1B5A,30
const_genie_generator,0x1C8D,34
eCreaturePrimitiveLizardman,0x1BAC,100
const_castle,0x1C8D,9
monk_generator_sound,0x2D1D,32
eRewardLuck,0x7182,4
eHeroDesslock,0x1D96,2
DONE,0x479D,8
DIST,0x47E1,3
DICT0,0x47C6,6
CREATURE_GENERATOR_4,0x2D17,20
CREATURE_GENERATOR_1,0x2D17,17
eCreatureAdvancedLizardman,0x1BAC,101
hs_turn_e_ne,0x3675,13
hs_turn_e_se,0x3675,14
const_market,0x1C8D,14
eCreatureOgre,0x1BAC,90
eCreatureEfreet,0x1BAC,52
eCreatureWyvern,0x1BAC,108
eCreatureAngel,0x1BAC,12
eCreatureMedusa,0x1BAC,76
eCreatureNone,0x1BAC,(LF_SHORT) -1
eCreatureMage,0x1BAC,34
BORDER_GUARD,0x2D17,9
volcano_sound,0x2D1D,45
const_bone_dragon_generator,0x1C8D,36
const_tree_wants_gems,0x2DCC,2
FLAG,0x47C6,1
eArtifactTomeOfAirMagic,0x1B5A,87
eArtifactDiplomatsRing,0x1B5A,67
eSpellEffectSacredBreath,0x1F15,29
const_lighthouse,0x1C8D,17
RES_COLOR,0x1B7A,10
const_mystic_garden,0x1C8D,17
eCreatureOgreMage,0x1BAC,91
GOLD,0x1B7A,6
eClassWitch,0x24E4,15
GEMS,0x1B7A,5
eArtifactOrbOfTempestuousFire,0x1B5A,81
eCreatureInfernalTroglodyte,0x1BAC,71
RS_MAP_CHANGE_START,0x2CCD,1049
eRaceLizardman,0x3DF3,9
eRaceVampire,0x3DF3,13
eCreatureGoldGolem,0x1BAC,116
eSpellAge,0x1B61,75
RS_MAP_FILE_NAME,0x2CCD,1030
eSpellBless,0x1B61,41
eSpellDeathCloud,0x1B61,76
HERO,0x2D17,34
const_power_lich_generator,0x1C8D,41
const_familiar_horde,0x1C8D,19
FOUNTAIN_OF_FORTUNE,0x2D17,30
lich_generator_sound,0x2D1D,8
eArtifactSlotLeftRing,0x1EA0,7
eArtifactSentinelsShield,0x1B5A,18
const_ghost_dragon_generator,0x1C8D,43
const_obsidian_gargoyle_horde,0x1C8D,19
TreeOfKnowledgeInfo,0x2D31,18
eSpellEffectRegenerate,0x1F15,79
eArtifactCardsOfProphecy,0x1B5A,47
eHeroAyden,0x1D96,56
eHeroNymus,0x1D96,55
eHeroAine,0x1D96,47
eHeroNone,0x1D96,(LF_SHORT) -1
eHeroDace,0x1D96,82
eHeroTerek,0x1D96,107
eHeroPyre,0x1D96,54
eHeroSerena,0x1D96,42
eArtifactNecklaceOfDragonteeth,0x1B5A,43
TERRAIN_FROZEN_LAKE,0x2D17,121
eArtifactGreaterGnollsFlail,0x1B5A,9
HOLY_GRAIL,0x2D17,36
TERRAIN_MOUND,0x2D17,133
eCreatureSilverPegasus,0x1BAC,21
eCreatureArchangel,0x1BAC,13
eCreatureArchMage,0x1BAC,35
BRIMSTONE_STORMCLOUDS_ID,0x1C8D,21
eTownTower,0x1AB5,2
CLOVER_FIELD,0x2D17,14
eClassDeathKnight,0x24E4,8
LITH_ONEWAY_ENTRANCE,0x2D17,43
const_artifact_requires_leadership,0x2DAB,3
eCreatureBlackKnight,0x1BAC,66
TERRAIN_OUTCROPPING,0x2D17,136
eArtifactNecklaceOfSwiftness,0x1B5A,97
eCreatureGhostDragon,0x1BAC,69
LENS,0x479D,1
kNumSpellsAndCreatureEffects,0x1B61,80
RS_NEW_SETUP_INFO,0x2CCD,1026
naga_generator_sound,0x2D1D,60
mage_generator_sound,0x2D1D,25
defense_tower_sound,0x2D1D,41
eSpellEffectDeathStare,0x1F15,80
MINE,0x2D17,53
MP_IPX,0x2BFC,1
const_bronze_gorgon_generator,0x1C8D,41
eCreatureIronGolem,0x1BAC,33
eArtifactAmmoCart,0x1B5A,5
eCreatureStoneGargoyle,0x1BAC,30
const_stone_gargoyle_generator,0x1C8D,31
cs_attack_ur,0x4962,11
cs_attack_dr,0x4962,13
eArtifactCharmOfMana,0x1B5A,73
const_hobgoblin_wolf_rider_generator,0x1C8D,38
fire_elemental_generator_sound,0x2D1D,14
const_castle_gate,0x1C8D,22
const_skyship,0x1C8D,26
ADV_SCROLL_NORTHWEST,0x2D19,39
CASTLE_FORT_ID,0x1C8D,7
MARKETPLACE_SILO_ID,0x1C8D,15
eSpellSkuttleBoat,0x1B61,1
hs_turn_n_ne,0x3675,10
hs_turn_ne_n,0x3675,11
hs_turn_ne_e,0x3675,12
TERRAIN_STALAGMITE,0x2D17,152
