# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
offset,cb,kind,name,module,file,line,debug_start,debug_end,params,locals
0x19c600,6,global,zlibVersion@0,zutil.obj,E:\gamedcs\zlib113\zutil.cpp,40,0,2,0,0
0x19c608,12,global,zError@4,zutil.obj,E:\gamedcs\zlib113\zutil.cpp,64,0,8,1,0
0x19c614,22,global,zcalloc,zutil.obj,E:\gamedcs\zlib113\zutil.cpp,217,4,14,3,0
0x19c62c,36,global,zcfree,zutil.obj,E:\gamedcs\zlib113\zutil.cpp,223,4,12,2,0
0x19a52c,40,static,$E464,winmgr.obj,E:\gamedcs\terrain.h,70,4,32,0,0
0x19a554,16,static,$E465,winmgr.obj,E:\gamedcs\terrain.h,70,4,8,0,0
0x19a564,40,static,$E467,winmgr.obj,E:\gamedcs\terrain.h,71,4,32,0,0
0x19a58c,16,static,$E468,winmgr.obj,E:\gamedcs\terrain.h,71,4,8,0,0
0x19a59c,40,static,$E470,winmgr.obj,E:\gamedcs\terrain.h,72,4,32,0,0
0x19a5c4,16,static,$E471,winmgr.obj,E:\gamedcs\terrain.h,72,4,8,0,0
0x19a5d4,40,static,$E473,winmgr.obj,E:\gamedcs\terrain.h,73,4,32,0,0
0x19a5fc,16,static,$E474,winmgr.obj,E:\gamedcs\terrain.h,73,4,8,0,0
0x19a60c,40,static,$E476,winmgr.obj,E:\gamedcs\terrain.h,74,4,32,0,0
0x19a634,16,static,$E477,winmgr.obj,E:\gamedcs\terrain.h,74,4,8,0,0
0x19a644,40,static,$E479,winmgr.obj,E:\gamedcs\terrain.h,75,4,32,0,0
0x19a66c,16,static,$E480,winmgr.obj,E:\gamedcs\terrain.h,75,4,8,0,0
0x19a67c,40,static,$E482,winmgr.obj,E:\gamedcs\terrain.h,76,4,32,0,0
0x19a6a4,16,static,$E483,winmgr.obj,E:\gamedcs\terrain.h,76,4,8,0,0
0x19a6b4,40,static,$E485,winmgr.obj,E:\gamedcs\terrain.h,77,4,32,0,0
0x19a6dc,16,static,$E486,winmgr.obj,E:\gamedcs\terrain.h,77,4,8,0,0
0x19a6ec,40,static,$E488,winmgr.obj,E:\gamedcs\terrain.h,78,4,32,0,0
0x19a714,16,static,$E489,winmgr.obj,E:\gamedcs\terrain.h,78,4,8,0,0
0x19a724,40,static,$E491,winmgr.obj,E:\gamedcs\terrain.h,79,4,32,0,0
0x19a74c,64,static,$E492,winmgr.obj,E:\gamedcs\terrain.h,79,4,8,0,0
0x19a78c,36,static,$E506,winmgr.obj,E:\gamedcs\winmgr.cpp,54,4,28,0,0
0x19a7b0,16,static,$E507,winmgr.obj,E:\gamedcs\winmgr.cpp,54,4,8,0,0
0x19a7c0,26,static,$E509,winmgr.obj,E:\gamedcs\winmgr.cpp,56,4,18,0,0
0x19a7dc,16,static,$E510,winmgr.obj,E:\gamedcs\winmgr.cpp,56,4,8,0,0
0x19a7ec,84,global,heroWindowManager::heroWindowManager,winmgr.obj,E:\gamedcs\winmgr.cpp,66,8,76,1,0
0x19a840,282,global,heroWindowManager::Open,winmgr.obj,E:\gamedcs\winmgr.cpp,101,20,264,2,1
0x19a95c,98,global,heroWindowManager::Close,winmgr.obj,E:\gamedcs\winmgr.cpp,142,10,88,1,0
0x19a9c0,70,global,heroWindowManager::Main,winmgr.obj,E:\gamedcs\winmgr.cpp,181,10,60,2,0
0x19aa08,22,global,heroWindowManager::ConvertToHover,winmgr.obj,E:\gamedcs\winmgr.cpp,216,6,14,2,0
0x19aa20,68,global,heroWindowManager::BroadcastMessage,winmgr.obj,E:\gamedcs\winmgr.cpp,234,24,52,5,1
0x19aa64,432,global,heroWindowManager::AddWindow,winmgr.obj,E:\gamedcs\winmgr.cpp,267,20,416,4,0
0x19ac14,260,global,heroWindowManager::RemoveWindow,winmgr.obj,E:\gamedcs\winmgr.cpp,387,14,198,2,0
0x19ad18,476,global,heroWindowManager::DoDialog,winmgr.obj,E:\gamedcs\winmgr.cpp,461,24,388,4,2
0x19aef4,520,global,heroWindowManager::DoDialogDraw,winmgr.obj,E:\gamedcs\winmgr.cpp,645,32,428,5,2
0x19b0fc,242,global,heroWindowManager::DoQuickView,winmgr.obj,E:\gamedcs\winmgr.cpp,795,20,224,2,1
0x19b1f0,62,global,heroWindowManager::UpdateScreen,winmgr.obj,E:\gamedcs\winmgr.cpp,844,4,54,1,0
0x19b230,248,global,heroWindowManager::UpdateScreen,winmgr.obj,E:\gamedcs\winmgr.cpp,856,26,158,5,0
0x19b328,156,global,heroWindowManager::UpdateScreen,winmgr.obj,E:\gamedcs\winmgr.cpp,916,30,138,7,0
0x19b3c4,42,global,heroWindowManager::BlitToScreenWithPointer,winmgr.obj,E:\gamedcs\winmgr.cpp,964,6,34,5,1
0x19b3f0,56,global,heroWindowManager::BlitToScreenWithPointerX,winmgr.obj,E:\gamedcs\winmgr.cpp,986,14,46,7,1
0x19b428,102,global,heroWindowManager::FadeScreen,winmgr.obj,E:\gamedcs\winmgr.cpp,1007,16,90,4,0
0x19b490,44,global,heroWindowManager::ScreenShot,winmgr.obj,E:\gamedcs\winmgr.cpp,1051,6,36,1,1
