# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
class,offset,type,name
AI,0,0x358E,gameAttentionValue
AI,12,0x358E,turnAttentionValue
AI,24,0x1AA9,turnProductionResource
AI,56,0x358F,resource_value
AI,112,T_INT4(0074),average_resource_value
AI,116,T_REAL32(0040),turnValueOfAvgArtifact
AnimHeaderStruct,0,0x1CB4,filename
AnimHeaderStruct,40,T_INT4(0074),offset
BINK,0,T_ULONG(0022),Width
BINK,4,T_ULONG(0022),Height
BINK,8,T_ULONG(0022),Frames
BINK,12,T_ULONG(0022),FrameNum
BINK,16,T_ULONG(0022),FrameRate
BINK,20,T_ULONG(0022),FrameRateDiv
BINK,24,T_ULONG(0022),ReadError
BINK,28,T_ULONG(0022),OpenFlags
BINK,32,T_ULONG(0022),BinkType
BINK,36,T_ULONG(0022),Size
BINK,40,T_ULONG(0022),FrameSize
BINK,44,T_ULONG(0022),SndSize
BINK,48,0x5546,FrameRects
BINK,176,T_LONG(0012),NumRects
BINK,180,T_32PVOID(0403),YPlane
BINK,184,T_ULONG(0022),YWidth
BINK,188,T_ULONG(0022),YHeight
BINK,192,T_ULONG(0022),UVWidth
BINK,196,T_ULONG(0022),UVHeight
BINK,200,T_32PVOID(0403),MaskPlane
BINK,204,T_ULONG(0022),MaskPitch
BINK,208,T_ULONG(0022),MaskLength
BINK,212,T_ULONG(0022),LargestFrameSize
BINK,216,T_ULONG(0022),InternalFrames
BINK,220,T_LONG(0012),NumTracks
BINK,224,T_32PULONG(0422),TrackSizes
BINK,228,T_LONG(0012),Paused
BINK,232,T_32PVOID(0403),compframe
BINK,236,T_32PVOID(0403),preloadptr
BINK,240,T_32PULONG(0422),frameoffsets
BINK,244,BINKIO,bio
BINK,424,T_32PUCHAR(0420),ioptr
BINK,428,T_ULONG(0022),iosize
BINK,432,T_LONG(0012),trackindex
BINK,436,T_32PULONG(0422),tracktypes
BINK,440,T_32PLONG(0412),trackids
BINK,444,T_ULONG(0022),numrects
BINK,448,T_ULONG(0022),playedframes
BINK,452,T_ULONG(0022),firstframetime
BINK,456,T_ULONG(0022),startframetime
BINK,460,T_ULONG(0022),startblittime
BINK,464,T_ULONG(0022),startsynctime
BINK,468,T_ULONG(0022),startsyncframe
BINK,472,T_ULONG(0022),twoframestime
BINK,476,T_ULONG(0022),entireframetime
BINK,480,T_ULONG(0022),slowestframetime
BINK,484,T_ULONG(0022),slowestframe
BINK,488,T_ULONG(0022),slowest2frametime
BINK,492,T_ULONG(0022),slowest2frame
BINK,496,T_ULONG(0022),soundon
BINK,500,T_ULONG(0022),videoon
BINK,504,T_ULONG(0022),totalmem
BINK,508,T_ULONG(0022),timedecomp
BINK,512,T_ULONG(0022),timeblit
BINK,516,T_ULONG(0022),timeopen
BINK,520,T_ULONG(0022),fileframerate
BINK,524,T_ULONG(0022),fileframeratediv
BINK,528,T_ULONG(0022),threadcontrol
BINK,532,T_ULONG(0022),runtimeframes
BINK,536,T_ULONG(0022),runtimemoveamt
BINK,540,T_32PULONG(0422),rtframetimes
BINK,544,T_32PULONG(0422),rtdecomptimes
BINK,548,T_32PULONG(0422),rtblittimes
BINK,552,T_32PULONG(0422),rtreadtimes
BINK,556,T_ULONG(0022),highest1secrate
BINK,560,T_ULONG(0022),highest1secframe
BINK,564,T_ULONG(0022),lastdecompframe
BINK,568,T_ULONG(0022),sndbufsize
BINK,572,T_32PUCHAR(0420),sndbuf
BINK,576,T_32PUCHAR(0420),sndend
BINK,580,T_32PUCHAR(0420),sndwritepos
BINK,584,T_32PUCHAR(0420),sndreadpos
BINK,588,T_ULONG(0022),sndcomp
BINK,592,T_ULONG(0022),sndamt
BINK,596,T_ULONG(0022),sndreenter
BINK,600,T_ULONG(0022),sndconvert8
BINK,604,BINKSND,bsnd
BINKIO,0,0x1137,ReadHeader
BINKIO,4,0x113D,ReadFrame
BINKIO,8,0x1140,GetBufferSize
BINKIO,12,0x1143,SetInfo
BINKIO,16,0x1146,Idle
BINKIO,20,0x1149,Close
BINKIO,24,T_ULONG(0022),BytesRead
BINKIO,28,T_ULONG(0022),TotalTime
BINKIO,32,T_ULONG(0022),ForegroundTime
BINKIO,36,T_ULONG(0022),BufSize
BINKIO,40,T_ULONG(0022),BufHighUsed
BINKIO,44,T_ULONG(0022),CurBufSize
BINKIO,48,T_ULONG(0022),CurBufUsed
BINKIO,52,0x10F7,iodata
BINKRECT,0,T_LONG(0012),Left
BINKRECT,4,T_LONG(0012),Top
BINKRECT,8,T_LONG(0012),Width
BINKRECT,12,T_LONG(0012),Height
BINKSND,0,0x10F8,SetParam
BINKSND,4,0x10F8,Reset
BINKSND,8,0x10FE,Ready
BINKSND,12,0x1100,Lock
BINKSND,16,0x1103,Unlock
BINKSND,20,0x1106,Volume
BINKSND,24,0x1108,Pause
BINKSND,28,0x1108,Off
BINKSND,32,0x10F8,Close
BINKSND,36,T_ULONG(0022),BestSizeIn16
BINKSND,40,T_ULONG(0022),SoundDropOuts
BINKSND,44,T_ULONG(0022),freq
BINKSND,48,T_LONG(0012),bits
BINKSND,52,T_LONG(0012),chans
BINKSND,56,0x10F7,snddata
BINKSUMMARY,0,T_ULONG(0022),Width
BINKSUMMARY,4,T_ULONG(0022),Height
BINKSUMMARY,8,T_ULONG(0022),TotalTime
BINKSUMMARY,12,T_ULONG(0022),FileFrameRate
BINKSUMMARY,16,T_ULONG(0022),FileFrameRateDiv
BINKSUMMARY,20,T_ULONG(0022),FrameRate
BINKSUMMARY,24,T_ULONG(0022),FrameRateDiv
BINKSUMMARY,28,T_ULONG(0022),TotalOpenTime
BINKSUMMARY,32,T_ULONG(0022),TotalFrames
BINKSUMMARY,36,T_ULONG(0022),TotalPlayedFrames
BINKSUMMARY,40,T_ULONG(0022),SkippedFrames
BINKSUMMARY,44,T_ULONG(0022),SoundSkips
BINKSUMMARY,48,T_ULONG(0022),TotalBlitTime
BINKSUMMARY,52,T_ULONG(0022),TotalReadTime
BINKSUMMARY,56,T_ULONG(0022),TotalDecompTime
BINKSUMMARY,60,T_ULONG(0022),TotalBackReadTime
BINKSUMMARY,64,T_ULONG(0022),TotalReadSpeed
BINKSUMMARY,68,T_ULONG(0022),SlowestFrameTime
BINKSUMMARY,72,T_ULONG(0022),Slowest2FrameTime
BINKSUMMARY,76,T_ULONG(0022),SlowestFrameNum
BINKSUMMARY,80,T_ULONG(0022),Slowest2FrameNum
BINKSUMMARY,84,T_ULONG(0022),AverageDataRate
BINKSUMMARY,88,T_ULONG(0022),AverageFrameSize
BINKSUMMARY,92,T_ULONG(0022),HighestMemAmount
BINKSUMMARY,96,T_ULONG(0022),TotalIOMemory
BINKSUMMARY,100,T_ULONG(0022),HighestIOUsed
BINKSUMMARY,104,T_ULONG(0022),Highest1SecRate
BINKSUMMARY,108,T_ULONG(0022),Highest1SecFrame
BinkManager::BinkManagerStruct,0,0x5549,bink
BinkManager::BinkManagerStruct,4,0x5549,bink2
BinkManager::BinkManagerStruct,8,T_32PUSHORT(0421),screen
