# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
seg,offset,name
2,0x8a20,_GUID_PerfMasterGrooveLevel
3,0x13e00,?bShowedMessage@@3_NA
1,0xfb6f8,?distance_type@std@@YAPAHPBVTSeerHut@@@Z
1,0xc5d24,?iterator_category@std@@YA?AUrandom_access_iterator_tag@1@PBUTRumour@game@@@Z
1,0x1499b8,??_E?$CAutoArray@H@@UAAPAXI@Z
1,0x1499b8,??_G?$CAutoArray@H@@UAAPAXI@Z
1,0x3dc50,?consider_area_effect@type_AI_spellcaster@@IBAXAAUtype_spell_choice@@@Z
3,0xa860,??_C@_04EEHI@rocc?$AA@
3,0xb0b8,??_C@_1FE@PMIE@?$AAC?$AAo?$AAu?$AAl?$AAd?$AA?5?$AAn?$AAo?$AAt?$AA?5?$AAs?$AAe?$AAt?$AA?5?$AAd?$AAa?$AAt?$AAa?$AA?5?$AAf@
1,0xe91c0,?Find@LODFile@@AAAXIIPBD@Z
1,0x7d3c0,?get_total_time@SCampaign@@QBAHXZ
1,0x4f3cc,?Merge@armyGroup@@QAA_NPAV1@@Z
3,0x6a44,??_C@_0M@JONF@ObDtS03?4def?$AA@
1,0x23020,?Height@SLimitData@@QBAHXZ
1,0x64700,?__uninitialized_fill_n_aux@std@@YAPAUTObstacle@combatManager@@PAU23@IABU23@U__false_type@@@Z
2,0x5e1c,??_7TSwapWindow@@6B@
3,0x2b0f8,?dwThreadId@@3KA
1,0x94274,?DoEventMermaid@advManager@@AAAXPAVhero@@PAVNewmapCell@@_N@Z
1,0xc894c,?__uninitialized_fill_n_aux@std@@YAPAVhero@@PAV2@IABV2@U__false_type@@@Z
3,0x1f09c,??_C@_09OGNE@VWPuz?4def?$AA@
3,0x22084,?red_mask@Bitmap16Bit@@2IA
1,0x139a20,?GetFileName@TSingleSelectionWindow@@QAAPBDH@Z
1,0x383c,?begin@?$vector@PADV?$allocator@PAD@std@@@std@@QBAPBQADXZ
1,0x9a5b0,?GeneratorEvent@advManager@@QAAXPAVhero@@PAVNewmapCell@@Utype_point@@@Z
3,0x1dc50,??_C@_08IPDF@TBRmmag3?$AA@
3,0x234,__imp__timeSetEvent
1,0x38238,??1type_combat_artifact@@UAA@XZ
3,0x1db6c,??_C@_08BLDI@TBCsext3?$AA@
3,0x315c,??_C@_0P@EJLK@CampainMusic01?$AA@
1,0xc5780,?value_type@std@@YAPAVhero@@PBV2@@Z
1,0x11be94,?CompressMsg@CDPlayHeroes@@IAAPAVCNetMsg@@PAV2@@Z
1,0x27d88,?IsActive@army@@QBA_NXZ
3,0x1da94,??_C@_08EGEI@TBCscas3?$AA@
3,0x314c,??_C@_0P@EJHB@CampainMusic04?$AA@
3,0x7214,??_C@_01PJCK@?4?$AA@
1,0xbc5f0,?_M_advance@_Bit_iterator_base@std@@QAAXH@Z
1,0x63bb8,??E?$_Rb_tree_iterator@W4SpellID@@U?$_Const_traits@W4SpellID@@@std@@@std@@QAA?AU01@H@Z
3,0xa4c8,??_C@_04GDLN@hhnd?$AA@
1,0x3eea8,?get_prayer_value@type_AI_spellcaster@@IBAJPBVarmy@@Utype_enchant_data@@@Z
1,0x3f158,?get_slayer_value@type_AI_spellcaster@@IBAJPBVarmy@@Utype_enchant_data@@@Z
3,0xa3ec,??_C@_04FNIL@amag?$AA@
3,0x1af54,??_C@_09FJOM@sp09_?4def?$AA@
3,0x1af00,??_C@_09PEON@sp01_?4def?$AA@
3,0x1ddc4,??_C@_08EHEF@TBRmdw_3?$AA@
3,0x6978,??_C@_0M@LICI@ObBhL03?4pcx?$AA@
1,0x1f324,?DrawAdvObj@CSprite@@QBAXHHHHHPAVBitmap16Bit@@HH_N@Z
1,0x5ae54,??1NewSMapHeader@@QAA@XZ
1,0x74710,??0CSpriteFrame@@QAA@PBDHHPAEHW4TEncodingMethod@@HHHH@Z
3,0x1369c,?inDimensionDoor@@3_NA
1,0x114bdc,?get_mana@type_spellvalue@@QBAJXZ
1,0x11ac7c,?UpdateCost@recruitUnit@@QAAXXZ
1,0x15368c,?point_to_hex@combatManager@@SAJUtagPOINT@@@Z
3,0x1ce9c,??_C@_09CBNM@AB03_?4def?$AA@
3,0xa4dc,??_C@_04NGAH@cerb?$AA@
1,0xb9b24,?SetMapSize@game@@QAAXHH@Z
1,0x4274,?deallocate@?$allocator@PAVwidget@@@std@@SAXPAPAVwidget@@I@Z
3,0x6b64,??_C@_0M@CNNM@ObSwS03?4def?$AA@
3,0x6bb4,??_C@_0M@GNHN@ObRgS03?4def?$AA@
1,0xe742c,??0TNormalDialogInfo@@QAA@XZ
1,0xe7460,??1TNormalDialogInfo@@QAA@XZ
1,0x34c8,??1CAdvPopup@@UAA@XZ
3,0xa3d8,??_C@_04BIGN@mage?$AA@
2,0x28fc,??_7type_record_claim_town@@6B@
3,0x1b4d0,??_C@_0N@CPGN@Trade?5Window?$AA@
3,0xa57c,??_C@_04DPNF@advl?$AA@
1,0xf9418,?construct@std@@YAXPAVBlackBoxData@@ABV2@@Z
1,0x40348,?get_dispel_value@type_AI_spellcaster@@IBAJPBVarmy@@Utype_enchant_data@@@Z
1,0x41a74,?unimplemented@type_AI_spellcaster@@IBAJPBVarmy@@Utype_enchant_data@@@Z
3,0x5b48,??_C@_09NGNM@CH015?4DEF?$AA@
1,0x11adb4,??0recruitUnit@@QAA@PAVhero@@W4TCreatureType@@PAF121212@Z
1,0x1fbc8,?GetHflip@hero@@QAA_NXZ
1,0xf23c,?get_garrison_cursor@advManager@@AAA?AW4type_adventure_cursor@@PAVNewmapCell@@@Z
1,0x47270,?check_obstacle_attacks@army@@QAA_N_N@Z
3,0x2ca10,?giTCPType@@3HA
1,0x11fc3c,?OnPlayerDrop@CWaitForReadyPlayersDlg@@IAAHPAVCNetMsg@@AAUmessage@@@Z
3,0xa130,??_C@_04KIIN@pike?$AA@
1,0xc21d8,?destroy@std@@YAXPAUTownExtra@@0@Z
3,0xddcc,??_C@_0M@BKFN@pskil42?4def?$AA@
3,0x1b6e0,??_C@_0BA@OHBF@Town?5Size?5Names?$AA@
1,0x89de4,?RemoveIndex@?$tree@Vds_memsample@@@@QAA_NK_N@Z
1,0xfc8cc,?__uninitialized_fill_n@std@@YAPAVTTownEvent@@PAV2@IABV2@0@Z
1,0x1208a4,?_M_increment@?$_Deque_iterator_base@PAVCNetMsg@@U?$_Buf_size_traits@PAVCNetMsg@@$0A@@std@@@std@@QAAXXZ
3,0x0,__imp___itos
1,0x8f674,?begin@?$vector@PAVtype_event_record@@V?$allocator@PAVtype_event_record@@@std@@@std@@QBAPBQAVtype_event_record@@XZ
1,0xbf7ec,??1?$_STL_alloc_proxy@PAUtype_creature_bank@@U1@V?$allocator@Utype_creature_bank@@@std@@@std@@QAA@XZ
3,0x1e718,??_C@_08IHHO@TBSthal3?$AA@
3,0xd8,__imp___itoa
1,0x44d0,?__destroy@std@@YAXPAH00@Z
1,0x20800,?push_back@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAAXD@Z
1,0x28d80,?__destroy@std@@YAXPAJ00@Z
3,0xa8dc,??_C@_04BNPG@gnol?$AA@
3,0xa518,??_C@_04GAMO@pfnd?$AA@
1,0xc8354,?__copy_backward@std@@YAPAUtype_creature_bank@@PAU2@00Urandom_access_iterator_tag@1@PAH@Z
3,0x1ed88,??_C@_0M@IOOM@TPTav01?4def?$AA@
1,0x669fc,?GetMaxMana@hero@@QBAHXZ
1,0x8f4d8,?size@?$vector@PAVtype_event_record@@V?$allocator@PAVtype_event_record@@@std@@@std@@QBAIXZ
1,0xd4e68,?GetSpellSchoolLevel@hero@@QBA?AW4TSkillMastery@@W4TSpellSchool@@_N@Z
1,0x369dc,??0type_antimagic_artifact@@QAA@J@Z
3,0xb700,??_C@_0N@PIDK@Military?4wav?$AA@
1,0xc232c,?destroy@std@@YAXPAVtown@@0@Z
1,0x11ece4,?SetPercentage@CGameTransferSmack@@QAAXM@Z
3,0x1e790,??_C@_08HEOO@TBStext1?$AA@
1,0x13890,?DrawRiver@advManager@@QAAXHHHHH@Z
3,0x11060,??_C@_0N@FNOG@HPS011Cl?4PCX?$AA@
3,0x11050,??_C@_0N@FOAK@HPL010Cl?4PCX?$AA@
3,0x13924,??_C@_1CO@PBEA@?$AA?2?$AAC?$AAD?$AA?9?$AAR?$AAO?$AAM?$AA?2?$AAl?$AAo?$AAg?$AAo?$AAs?$AAf?$AAi?$AAn?$AAa?$AAl?$AA?4?$AAs@
1,0x147bf0,??0CScrollMsg@@QAA@HH@Z
3,0x1d468,??_C@_07IEJN@TOiefr2?$AA@
1,0x20b7c,??0?$_STL_alloc_proxy@PAUtype_dialog_resource@@U1@V?$allocator@Utype_dialog_resource@@@std@@@std@@QAA@ABV?$allocator@Utype_dialog_resource@@@1@ABQAUtype_dialog_resource@@@Z
3,0xa360,??_C@_04DJND@agrm?$AA@
3,0x11230,??_C@_0N@DJHK@HPL025Dr?4PCX?$AA@
3,0x11200,??_C@_0N@DKJG@HPS024Dr?4PCX?$AA@
3,0x6c18,??_C@_0M@BMMJ@ObLvS03?4def?$AA@
3,0xa4f0,??_C@_04BFNE@shdm?$AA@
1,0xd4768,?GetEagleEyeChance@hero@@QBAMXZ
3,0x1d390,??_C@_07OPNF@TOimar1?$AA@
1,0x2dff4,?mark_town@type_garrison_purchaser@@MBAXPAVtown@@@Z
1,0x9dc9c,?__destroy_aux@std@@YAXPAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@1@0U__false_type@@@Z
1,0x1495c8,??1CSaveGameEdit@@UAA@XZ
1,0x15c534,?Reset@swapManager@@QAAXXZ
3,0x1e628,??_C@_08IACD@TBDndw_6?$AA@
2,0x8bb0,_DLSID_ProductID
3,0x11a70,??_C@_0N@DNGJ@HPL091Wl?4PCX?$AA@
3,0x11a40,??_C@_0N@DOIF@HPS090Wl?4PCX?$AA@
3,0x11470,??_C@_0N@ILCI@HPL043Wz?4PCX?$AA@
3,0x13780,?giTestRead@@3HA
3,0x335a4,?cMoraleInfo@@3PAPBDA
1,0x16298c,??0textEntryWidget@@QAA@XZ
1,0x5e464,?SetupCombat@combatManager@@QAAXUtype_point@@PAVhero@@PAVarmyGroup@@JPAVtown@@12HHH_N@Z
3,0xab44,??_C@_06NPMB@Sprite?$AA@
3,0x2e228,?iLastBWOnScreenCheck@@3HA
3,0x1d434,??_C@_07NHBO@TOidvl1?$AA@
3,0x1f1d4,??_C@_0L@KIKG@jktext?4txt?$AA@
3,0xbc,__imp__GlobalMemoryStatus
1,0x3a7ec,?iterator_category@std@@YA?AUrandom_access_iterator_tag@1@PBUpathCell@@@Z
1,0x37e84,?set_rectangle@searchArray@@QAAXAAUtagRECT@@@Z
1,0x4d39c,?copy@std@@YAPAPAVarmy@@PAPAV2@00@Z
3,0x11320,??_C@_0N@LLNA@HPS033Al?4PCX?$AA@
3,0x11560,??_C@_0N@KNBN@HPS051Hr?4PCX?$AA@
3,0x11550,??_C@_0N@KOPB@HPL050Hr?4PCX?$AA@
3,0x11e70,??_C@_0N@LLJI@HPL123Wh?4PCX?$AA@
1,0x1296bc,?value_type@std@@YAPAUtype_artifact_offering@@PBU2@@Z
1,0x8a2bc,?CreateGroup@CDPlay@@UAAKPADPAXK_N@Z
3,0x11770,??_C@_0N@OHLB@HPL067Dk?4PCX?$AA@
