# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
proc,module,kind,sp_offset,type,name
zError@4,zutil.obj,param,sp+0x0,T_INT4(0074),err
zcalloc,zutil.obj,param,sp+0x14,T_32PVOID(0403),opaque
zcalloc,zutil.obj,param,sp+0x18,T_UINT4(0075),items
zcalloc,zutil.obj,param,sp+0x1c,T_UINT4(0075),size
zcfree,zutil.obj,param,sp+0x14,T_32PVOID(0403),opaque
zcfree,zutil.obj,param,sp+0x18,T_32PVOID(0403),ptr
heroWindowManager::heroWindowManager,winmgr.obj,param,sp+0x18,0x1011,this
heroWindowManager::Open,winmgr.obj,param,sp+0x48,0x1011,this
heroWindowManager::Open,winmgr.obj,param,sp+0x4c,T_INT4(0074),newPriority
heroWindowManager::Open,winmgr.obj,local,sp+0x1c,0x1015,tempRect
heroWindowManager::Close,winmgr.obj,param,sp+0x1c,0x1011,this
heroWindowManager::Main,winmgr.obj,param,sp+0x1c,0x1011,this
heroWindowManager::Main,winmgr.obj,param,sp+0x20,0x1017,msg
heroWindowManager::ConvertToHover,winmgr.obj,param,sp+0x14,0x1011,this
heroWindowManager::ConvertToHover,winmgr.obj,param,sp+0x18,0x1017,msg
heroWindowManager::BroadcastMessage,winmgr.obj,param,sp+0x50,0x1011,this
heroWindowManager::BroadcastMessage,winmgr.obj,param,sp+0x54,T_INT4(0074),msgId
heroWindowManager::BroadcastMessage,winmgr.obj,param,sp+0x58,T_INT4(0074),msgCodeX
heroWindowManager::BroadcastMessage,winmgr.obj,param,sp+0x5c,T_INT4(0074),msgCodeY
heroWindowManager::BroadcastMessage,winmgr.obj,param,sp+0x60,T_INT4(0074),msgExtra
heroWindowManager::BroadcastMessage,winmgr.obj,local,sp+0x10,0x1016,msg
heroWindowManager::AddWindow,winmgr.obj,param,sp+0x28,0x1011,this
heroWindowManager::AddWindow,winmgr.obj,param,sp+0x2c,0x101D,newWindow
heroWindowManager::AddWindow,winmgr.obj,param,sp+0x30,T_INT4(0074),newPriority
heroWindowManager::AddWindow,winmgr.obj,param,sp+0x34,T_UCHAR(0020),update
heroWindowManager::RemoveWindow,winmgr.obj,param,sp+0x20,0x1011,this
heroWindowManager::RemoveWindow,winmgr.obj,param,sp+0x24,0x101D,killWindow
heroWindowManager::DoDialog,winmgr.obj,param,sp+0x80,0x1011,this
heroWindowManager::DoDialog,winmgr.obj,param,sp+0x84,0x101D,dialogWindow
heroWindowManager::DoDialog,winmgr.obj,param,sp+0x88,0x1029,dialogFunction
heroWindowManager::DoDialog,winmgr.obj,param,sp+0x8c,T_INT4(0074),bFadeIn
heroWindowManager::DoDialog,winmgr.obj,local,sp+0x10,T_INT4(0074),endFlag
heroWindowManager::DoDialog,winmgr.obj,local,sp+0x14,0x1016,msg
heroWindowManager::DoDialogDraw,winmgr.obj,param,fp+0x6c,0x1011,this
heroWindowManager::DoDialogDraw,winmgr.obj,param,fp+0x70,0x101D,dialogWindow
heroWindowManager::DoDialogDraw,winmgr.obj,param,fp+0x74,0x1029,dialogFunction
heroWindowManager::DoDialogDraw,winmgr.obj,param,fp+0x78,0x1029,dialogDrawFunction
heroWindowManager::DoDialogDraw,winmgr.obj,param,fp+0x7c,T_INT4(0074),bFadeIn
heroWindowManager::DoDialogDraw,winmgr.obj,local,sp+0x10,T_INT4(0074),endFlag
heroWindowManager::DoDialogDraw,winmgr.obj,local,sp+0x14,0x1016,msg
heroWindowManager::DoQuickView,winmgr.obj,param,sp+0x7c,0x1011,this
heroWindowManager::DoQuickView,winmgr.obj,param,sp+0x80,0x101D,window
heroWindowManager::DoQuickView,winmgr.obj,local,sp+0x10,0x1016,msg
heroWindowManager::UpdateScreen,winmgr.obj,param,sp+0x20,0x1011,this
heroWindowManager::UpdateScreen,winmgr.obj,param,sp+0x38,0x1011,this
heroWindowManager::UpdateScreen,winmgr.obj,param,sp+0x3c,T_INT4(0074),x
heroWindowManager::UpdateScreen,winmgr.obj,param,sp+0x40,T_INT4(0074),y
heroWindowManager::UpdateScreen,winmgr.obj,param,sp+0x44,T_INT4(0074),width
heroWindowManager::UpdateScreen,winmgr.obj,param,sp+0x48,T_INT4(0074),height
heroWindowManager::UpdateScreen,winmgr.obj,param,sp+0x3c,0x1011,this
heroWindowManager::UpdateScreen,winmgr.obj,param,sp+0x40,T_INT4(0074),x
heroWindowManager::UpdateScreen,winmgr.obj,param,sp+0x44,T_INT4(0074),y
heroWindowManager::UpdateScreen,winmgr.obj,param,sp+0x48,T_INT4(0074),width
heroWindowManager::UpdateScreen,winmgr.obj,param,sp+0x4c,T_INT4(0074),height
heroWindowManager::UpdateScreen,winmgr.obj,param,sp+0x50,T_INT4(0074),dx
heroWindowManager::UpdateScreen,winmgr.obj,param,sp+0x54,T_INT4(0074),dy
heroWindowManager::BlitToScreenWithPointer,winmgr.obj,param,sp+0x24,0x1011,this
heroWindowManager::BlitToScreenWithPointer,winmgr.obj,param,sp+0x28,T_INT4(0074),x
heroWindowManager::BlitToScreenWithPointer,winmgr.obj,param,sp+0x2c,T_INT4(0074),y
heroWindowManager::BlitToScreenWithPointer,winmgr.obj,param,sp+0x30,T_INT4(0074),w
heroWindowManager::BlitToScreenWithPointer,winmgr.obj,param,sp+0x34,T_INT4(0074),h
heroWindowManager::BlitToScreenWithPointer,winmgr.obj,local,sp+0x10,0x1015,tempRect
heroWindowManager::BlitToScreenWithPointerX,winmgr.obj,param,sp+0x2c,0x1011,this
heroWindowManager::BlitToScreenWithPointerX,winmgr.obj,param,sp+0x30,T_INT4(0074),x
heroWindowManager::BlitToScreenWithPointerX,winmgr.obj,param,sp+0x34,T_INT4(0074),y
heroWindowManager::BlitToScreenWithPointerX,winmgr.obj,param,sp+0x38,T_INT4(0074),w
heroWindowManager::BlitToScreenWithPointerX,winmgr.obj,param,sp+0x3c,T_INT4(0074),h
heroWindowManager::BlitToScreenWithPointerX,winmgr.obj,param,sp+0x40,T_INT4(0074),dx
heroWindowManager::BlitToScreenWithPointerX,winmgr.obj,param,sp+0x44,T_INT4(0074),dy
heroWindowManager::BlitToScreenWithPointerX,winmgr.obj,local,sp+0x10,0x1015,sourceRect
heroWindowManager::FadeScreen,winmgr.obj,param,sp+0x20,0x1011,this
heroWindowManager::FadeScreen,winmgr.obj,param,sp+0x24,T_INT4(0074),inOut
heroWindowManager::FadeScreen,winmgr.obj,param,sp+0x28,T_INT4(0074),speed
heroWindowManager::FadeScreen,winmgr.obj,param,sp+0x2c,T_UCHAR(0020),expect_fadein
heroWindowManager::ScreenShot,winmgr.obj,param,sp+0x28,0x1011,this
heroWindowManager::ScreenShot,winmgr.obj,local,sp+0x10,0x1033,name
heroWindowManager::SaveFizzleSource,winmgr.obj,param,sp+0x28,0x1011,this
heroWindowManager::SaveFizzleSource,winmgr.obj,param,sp+0x2c,T_INT4(0074),startX
heroWindowManager::SaveFizzleSource,winmgr.obj,param,sp+0x30,T_INT4(0074),startY
heroWindowManager::SaveFizzleSource,winmgr.obj,param,sp+0x34,T_INT4(0074),width
heroWindowManager::SaveFizzleSource,winmgr.obj,param,sp+0x38,T_INT4(0074),height
heroWindowManager::SaveFizzleSourceX,winmgr.obj,param,sp+0x28,0x1011,this
heroWindowManager::SaveFizzleSourceX,winmgr.obj,param,sp+0x2c,T_INT4(0074),startX
heroWindowManager::SaveFizzleSourceX,winmgr.obj,param,sp+0x30,T_INT4(0074),startY
heroWindowManager::SaveFizzleSourceX,winmgr.obj,param,sp+0x34,T_INT4(0074),width
heroWindowManager::SaveFizzleSourceX,winmgr.obj,param,sp+0x38,T_INT4(0074),height
heroWindowManager::FizzleForward,winmgr.obj,param,fp+0x100,0x1011,this
heroWindowManager::FizzleForward,winmgr.obj,param,fp+0x104,T_INT4(0074),startX
heroWindowManager::FizzleForward,winmgr.obj,param,fp+0x108,T_INT4(0074),startY
