# GENERATED (ONE-SHOT): python3 scripts/archive/ghidra_recover_structs/recover_structs.py (ONE-SHOT, not a pipeline stage)
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - Ghidra decompiler inference.
# Standing: lead-generator only. Same grade as the Dreamcast dump - a
# recovered offset still needs retail-byte proof before it is a claim.
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# contents: one row per recovered offset; kind r/w/rw, !union = >1 width seen
class,offset,width,n_methods,kind
?$CAutoArray@VCDPlayAddressElement,0x0,4,3,rw
?$CAutoArray@VCDPlayAddressElement,0x4,4,1,r
?$CAutoArray@VCDPlayAddressElement,0x8,4,6,rw
?$CAutoArray@VCDPlayAddressElement,0xc,4,2,rw
?$CAutoArray@VCDPlayAddressElement,0x10,4,7,rw
?$money_get@DV?$istreambuf_iterator@DU?$char_traits@D@std,0x8,4,1,r
?$money_get@DV?$istreambuf_iterator@DU?$char_traits@D@std,0xc,4,1,r
?$money_get@GV?$istreambuf_iterator@GU?$char_traits@G@std,0x8,4,1,r
?$money_get@GV?$istreambuf_iterator@GU?$char_traits@G@std,0xc,4,1,r
Bitmap16Bit,0x0,4,3,rw
Bitmap16Bit,0x4,1,3,w
Bitmap16Bit,0x10,1,2,w
Bitmap16Bit,0x14,4,2,w
Bitmap16Bit,0x18,4,3,rw
Bitmap16Bit,0x1c,4,3,rw
Bitmap16Bit,0x20,4,2,w
Bitmap16Bit,0x24,4,9,rw
Bitmap16Bit,0x28,4,9,rw
Bitmap16Bit,0x2c,4,10,rw
Bitmap16Bit,0x30,4,10,rw
Bitmap16Bit,0x34,1,2,w
Bitmap24Bit,0x0,4,2,w
Bitmap24Bit,0x4,1,2,w
Bitmap24Bit,0x10,1,2,w
Bitmap24Bit,0x14,4,2,w
Bitmap24Bit,0x18,4,2,w
Bitmap24Bit,0x1c,4,3,rw
Bitmap24Bit,0x20,4,2,w
Bitmap24Bit,0x24,4,4,rw
Bitmap24Bit,0x28,4,2,w
Bitmap24Bit,0x2c,4,4,rw
Bitmap816,0x0,4,3,w
Bitmap816,0x4,1,2,w
Bitmap816,0x10,1,2,w
Bitmap816,0x14,4,2,w
Bitmap816,0x18,4,2,w
Bitmap816,0x1c,4,3,rw
Bitmap816,0x20,4,2,rw
Bitmap816,0x24,4,2,w
Bitmap816,0x28,4,2,w
Bitmap816,0x2c,4,2,w
Bitmap816,0x30,4,3,rw
Bitmap816,0x50,4,2,w
CAdvMgrNetMsgHandler,0x0,4,2,r
CAdvMgrNetMsgHandler,0x4,1,2,rw
CAdvMgrNetMsgHandler,0x8,4,3,rw
CAdvPopup,0x0,4,3,rw
CAdvPopup,0x4,4,1,w
CAdvPopup,0x8,4,1,w
CAdvPopup,0xc,4,1,w
CAdvPopup,0x10,4,1,w
CAdvPopup,0x14,4,1,w
CAdvPopup,0x18,4,1,w
CAdvPopup,0x1c,4,1,w
CAdvPopup,0x20,4,1,w
CAdvPopup,0x24,4,1,w
CAdvPopup,0x28,4,1,w
CAdvPopup,0x2c,4,1,w
CAdvPopup,0x30,1,1,w
CAdvPopup,0x34,4,2,rw
CAdvPopup,0x38,4,2,w
CAdvPopup,0x3c,4,2,w
CAdvPopup,0x40,4,1,w
CAdvPopup,0x44,4,2,rw
CAdvPopup,0x48,4,1,w
CAdvPopup,0x4c,4,1,w
CAdvPopup,0x50,4,1,w
CAdvPopup,0x54,4,1,w
CAdvPopup,0x58,4,1,w
CAdvPopup,0x5c,1,2,rw
CAdventurMapChatEdit,0x0,4,12,r
CAdventurMapChatEdit,0x4,4,7,r
CAdventurMapChatEdit,0x10,2,2,r
CAdventurMapChatEdit,0x16,1,2,rw
CAdventurMapChatEdit,0x17,1,1,rw
CAdventurMapChatEdit,0x18,2,4,rw
CAdventurMapChatEdit,0x1a,2,4,rw
CAdventurMapChatEdit,0x1c,2,3,rw
CAdventurMapChatEdit,0x1e,2,3,r
CAdventurMapChatEdit,0x2c,4,1,r
CAdventurMapChatEdit,0x34,4,5,r
CAdventurMapChatEdit,0x38,4,4,rw
CAdventurMapChatEdit,0x3c,4,1,r
CAdventurMapChatEdit,0x40,4,1,r
CAdventurMapChatEdit,0x44,4,1,r
CAdventurMapChatEdit,0x4c,4,1,r
CAdventurMapChatEdit,0x50,4,2,r
CAdventurMapChatEdit,0x54,4,3,rw
CAdventurMapChatEdit,0x58,2,2,rw
CAdventurMapChatEdit,0x5a,2,1,w
CAdventurMapChatEdit,0x5c,2,2,r
CAdventurMapChatEdit,0x5e,2,2,r
CAdventurMapChatEdit,0x60,2,1,r
CAdventurMapChatEdit,0x62,2,1,r
CAdventurMapChatEdit,0x68,2,1,r
CAdventurMapChatEdit,0x6a,2,1,r
CAdventurMapChatEdit,0x6d,1,2,r
CAdventurMapChatEdit,0x6e,1,1,w
CAdventurMapChatEdit,0x70,1,4,rw
CAutoArray<CDPlaySession>,0x0,4,1,rw
CAutoArray<CDPlaySession>,0x8,4,1,rw
CAutoArray<CDPlaySession>,0xc,4,1,w
CAutoArray<CDPlaySession>,0x10,4,1,rw
