# GENERATED (ONE-SHOT): python3 scripts/archive/ghidra_recover_structs/recover_structs.py (ONE-SHOT, not a pipeline stage)
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - Ghidra decompiler inference.
# Standing: lead-generator only. Same grade as the Dreamcast dump - a
# recovered offset still needs retail-byte proof before it is a claim.
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# contents: candidate vtable -> class bindings recovered from the vptr a class's own code installs at `this+0`. LEADS FOR REVIEW, NOT ADMISSIONS: nothing here has been written to config/retail-vtables.tsv. Read from_ctor first - a binding seen in a CONSTRUCTOR is the vptr store itself; one seen only in some other method may be a reference to a single-inheritance BASE class's vtable. `shared_with` is that same tell: two classes on one vtable means one of them is the base
vtable_rva,slots,candidate_class,from_ctor,evidence_method,census_state,census_class,agreement,shared_with
0x23de44,7,?$CAutoArray@VCDPlayAddressElement,no,0x9a020,named,?$CAutoArray@VCDPlayAddressElement,agree,CDPlayLobby
0x23b9c8,3,Bitmap16Bit,yes,0x4df70,named,Bitmap16Bit,agree,
0x23b9f4,3,Bitmap24Bit,yes,0x4ed50,named,Bitmap24Bit,agree,
0x23ba14,4,Bitmap816,no,0x4f800,named,Bitmap816,agree,
0x23a6a8,15,CAdvPopup,yes,0x1b040,named,CAdvPopup,agree,
0x242d8c,3,CAdventurMapChatEdit,no,0x1bbac0,unnamed,,new,
0x2400d8,7,CAutoArray<CDPlaySession>,no,0x112670,unnamed,,new,
0x240e30,25,CChatEdit,no,0x1541a0,unnamed,,new,
0x23dc28,62,CDPlay,no,0x96ce0,named,CDPlay,agree,
0x23de44,7,CDPlayLobby,no,0x99c60,named,?$CAutoArray@VCDPlayAddressElement,disagree,?$CAutoArray@VCDPlayAddressElement
0x243ce8,14,CHeroWindowEx,yes,0x1ff640,unnamed,,new,
0x240f24,7,CNetMsgHandler,no,0x158490,named,CNetMsgHandler,agree,
0x240f14,4,CNetMsgHandlerPause,no,0x157810,named,CNetMsgHandlerPause,agree,
0x23d6b0,3,CSprite,yes,0x7b920,named,CSprite,agree,
0x23d6bc,3,CSpriteFrame,no,0x7c2b0,named,CSpriteFrame,agree,
0x23db68,13,CTextDialog,yes,0x907e0,named,CTextDialog,agree,
