# generator: homm3.analysis.homm2_overlap
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-06
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
# homm2: HEROES2W.EXE sha256=bc8f362dd49216c9fbcee1eb2e0429b467082a93330dd84ff95757c0182fc8a3 (read-only sibling)
# homm2 repo: /home/sheep/Projects/homm2/homm2-decomp
key,h3_rva,h3_label,h3_provenance,h2_rva,h2_name,h2_unit,h2_fuzzy,grade
%sattk.82M,0x3d9f0,game_smove_82m_3d9f0,working-label,0x4aec8,army::loadresources,SOURCE/ARMY,100.0,string-anchor
%sext1.82M,0x3d9f0,game_smove_82m_3d9f0,working-label,0x4aec8,army::loadresources,SOURCE/ARMY,100.0,string-anchor
%sext2.82M,0x3d9f0,game_smove_82m_3d9f0,working-label,0x4aec8,army::loadresources,SOURCE/ARMY,100.0,string-anchor
%skill.82M,0x3d9f0,game_smove_82m_3d9f0,working-label,0x4aec8,army::loadresources,SOURCE/ARMY,100.0,string-anchor
%skill.82M,0x166c20,game_skill_82m_166c20,working-label,0x4aec8,army::loadresources,SOURCE/ARMY,100.0,string-anchor
%smove.82M,0x3d9f0,game_smove_82m_3d9f0,working-label,0x4aec8,army::loadresources,SOURCE/ARMY,100.0,string-anchor
%sshot.82M,0x3d9f0,game_smove_82m_3d9f0,working-label,0x4aec8,army::loadresources,SOURCE/ARMY,100.0,string-anchor
%swnce.82M,0x3d9f0,game_smove_82m_3d9f0,working-label,0x4aec8,army::loadresources,SOURCE/ARMY,100.0,string-anchor
ABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789,0x10b260,calls_timeGetTime_10b260,working-label,0xc49a0,setgamedefaults,BASE/Misc,96.7807,string-anchor
ABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789,0x10b4d0,game_player_10b4d0,working-label,0xc49a0,setgamedefaults,BASE/Misc,96.7807,string-anchor
DDERR_INCOMPATIBLEPRIMARY,0x2006e0,game_dderr_outofmemory_2006e0,working-label,0x35e4f,ddsd,SOURCE/wingraph,100.0,string-anchor
DDERR_INVALIDCLIPLIST,0x2006e0,game_dderr_outofmemory_2006e0,working-label,0x35e4f,ddsd,SOURCE/wingraph,100.0,string-anchor
DDERR_INVALIDPARAMS,0x2006e0,game_dderr_outofmemory_2006e0,working-label,0x35e4f,ddsd,SOURCE/wingraph,100.0,string-anchor
DDERR_INVALIDRECT,0x2006e0,game_dderr_outofmemory_2006e0,working-label,0x35e4f,ddsd,SOURCE/wingraph,100.0,string-anchor
DDERR_NOBLTHW,0x2006e0,game_dderr_outofmemory_2006e0,working-label,0x35e4f,ddsd,SOURCE/wingraph,100.0,string-anchor
DDERR_NODDROPSHW,0x2006e0,game_dderr_outofmemory_2006e0,working-label,0x35e4f,ddsd,SOURCE/wingraph,100.0,string-anchor
DDERR_NOEXCLUSIVEMODE,0x2006e0,game_dderr_outofmemory_2006e0,working-label,0x35e4f,ddsd,SOURCE/wingraph,100.0,string-anchor
DDERR_NOPALETTEHW,0x2006e0,game_dderr_outofmemory_2006e0,working-label,0x35e4f,ddsd,SOURCE/wingraph,100.0,string-anchor
DDERR_NORASTEROPHW,0x2006e0,game_dderr_outofmemory_2006e0,working-label,0x35e4f,ddsd,SOURCE/wingraph,100.0,string-anchor
DDERR_NOSTRETCHHW,0x2006e0,game_dderr_outofmemory_2006e0,working-label,0x35e4f,ddsd,SOURCE/wingraph,100.0,string-anchor
DDERR_OUTOFMEMORY,0x2006e0,game_dderr_outofmemory_2006e0,working-label,0x35e4f,ddsd,SOURCE/wingraph,100.0,string-anchor
DDERR_UNSUPPORTED,0x2006e0,game_dderr_outofmemory_2006e0,working-label,0x35e4f,ddsd,SOURCE/wingraph,100.0,string-anchor
DIGSOUND.82M,0xec90,game_digsound_82m_ec90,working-label,0x5a07c,advmanager::processsearch,SOURCE/ADVMGR,100.0,string-anchor
DirectPlay Error:,0x1556e0,calls_MessageBeep_1556e0,working-label,0x1fecd,dpsd,SOURCE/dpnetwin,100.0,string-anchor
Error type unknown,0x2006e0,game_dderr_outofmemory_2006e0,working-label,0x1fecd,dpsd,SOURCE/dpnetwin,100.0,string-anchor
Error type unknown,0x2006e0,game_dderr_outofmemory_2006e0,working-label,0x35e4f,ddsd,SOURCE/wingraph,100.0,string-anchor
Initialization failed!,0xed650,calls_LoadMenuA_ed650,working-label,0x96e98,oldmain,SOURCE/KB,98.03895,string-anchor
Initialization failed!,0xee3e0,calls_MessageBoxA_ee3e0,working-label,0x96e98,oldmain,SOURCE/KB,98.03895,string-anchor
Initialization failed!,0x1556e0,calls_MessageBeep_1556e0,working-label,0x96e98,oldmain,SOURCE/KB,98.03895,string-anchor
RMT%sRC.BIN,0x10b750,game_rmt_src_bin_10b750,working-label,0xc5450,readprefs,BASE/Misc,100.0,string-anchor
RMT%sRD.BIN,0x10b750,game_rmt_src_bin_10b750,working-label,0xc5450,readprefs,BASE/Misc,100.0,string-anchor
RMT%sSC.BIN,0x10b750,game_rmt_src_bin_10b750,working-label,0xc5450,readprefs,BASE/Misc,100.0,string-anchor
Unable to initialize resources - possible disk problem.,0xed650,calls_LoadMenuA_ed650,working-label,0xd1620,executive::initsystem,BASE/EXEC,100.0,string-anchor
Unexpected Program Termination,0xf3690,game_unexpected_program_termi_f3690,working-label,0x9e0f2,shutdown,SOURCE/KB,100.0,string-anchor
advManager,0x6fd0,advManager_vslot00,working-label,0x5665f,advmanager::open,SOURCE/ADVMGR,100.0,string-anchor
buildtwn.82M,0x1d6a80,game_buildtwn_82m_1d6a80,working-label,0x1595d,townmanager::main,SOURCE/TOWNMGR,99.44677,string-anchor
buildtwn.82M,0x1d6a80,game_buildtwn_82m_1d6a80,working-label,0x18bd2,townmanager::buildobj,SOURCE/TOWNMGR,100.0,string-anchor
buildtwn.82M,0x1d82b0,game_buildtwn_82m_1d82b0,working-label,0x1595d,townmanager::main,SOURCE/TOWNMGR,99.44677,string-anchor
buildtwn.82M,0x1d82b0,game_buildtwn_82m_1d82b0,working-label,0x18bd2,townmanager::buildobj,SOURCE/TOWNMGR,100.0,string-anchor
combatManager,0x62a20,combatManager_vslot00,working-label,0x90aa0,combatmanager::open,SOURCE/CMBTMGR,100.0,string-anchor
creature,0x1599e0,game_sprite_1599e0,working-label,0x4dcba,army::dohydraattack,SOURCE/ARMY,96.03481,string-anchor
goodluck.82m,0x3f900,army_range_attack,working-label,0x4f93e,army::checkluck,SOURCE/ARMY,100.0,string-anchor
goodluck.82m,0x3f900,army_range_attack,working-label,0xafa56,advmanager::eventsound,SOURCE/EVENTS,100.0,string-anchor
heroWindowManager,0x2021b0,game_herowindowmanager_2021b0,working-label,0xcaad0,herowindowmanager::open,BASE/WINMGR,100.0,string-anchor
inputManager,0xec4d0,inputManager_vslot00,working-label,0xce230,inputmanager::open,BASE/INPUTMGR,100.0,string-anchor
nwherolv.82m,0xda720,game_dxp_da720,working-label,0x6d83f,hero::checklevel,SOURCE/HERO,99.8382,string-anchor
recruitManager,0x14fea0,game_s_s_14fea0,working-label,0x8b49c,recruitunit::open,SOURCE/RECRUIT,99.98788,string-anchor
soundManager,0x1997d0,game_device_1997d0,working-label,0xcc560,soundmanager::open,BASE/soundmgr,100.0,string-anchor
swapManager,0x1ae750,game_tradesel_pcx_1ae750,working-label,0x54502,swapmanager::open,SOURCE/SWAPMGR,100.0,string-anchor
townManager,0x1c63c0,calls_timeGetTime_1c63c0,working-label,0x14109,townmanager::open,SOURCE/TOWNMGR,100.0,string-anchor
combatmanager::resetlimitcreature,0x93710,combatManager_ResetLimitCreature,src-VA,0x327e,combatmanager::resetlimitcreature,SOURCE/DRAWING,100.0,h2-source-template
combatmanager::updategrid,0x93930,combatManager_UpdateGrid,src-VA,0x3621,combatmanager::updategrid,SOURCE/DRAWING,100.0,h2-source-template
combatmanager::viewarmy,0x68860,combatManager_ViewArmy,src-VA,0xc784,combatmanager::viewarmy,SOURCE/VIEW,100.0,h2-source-template
process1windowsmessage,0xf7fb0,?Process1WindowsMessage@@YIXXZ,src-VA+base,0x1c7b8,process1windowsmessage,SOURCE/kbwin,100.0,h2-source-template
appcommand,0xf8060,AppCommand,src-VA,0x1c9c7,appcommand,SOURCE/kbwin,100.0,h2-source-template
updatedfltmenu,0xf8140,UpdateDfltMenu,src-VA,0x1cb5e,updatedfltmenu,SOURCE/kbwin,100.0,h2-source-template
kbchangemenu,0xf8180,?KBChangeMenu@@YIXPAX@Z,src-VA+base,0x1cc35,kbchangemenu,SOURCE/kbwin,100.0,h2-source-template
setnodialogmenus,0xf81e0,?SetNoDialogMenus@@YIXH@Z,src-VA+base,0x1ce3d,setnodialogmenus,SOURCE/kbwin,100.0,h2-source-template
combatmanager::getcommand,0x76490,combatManager_GetCommand,src-VA,0x2c8ff,combatmanager::getcommand,SOURCE/COMMAND,100.0,h2-source-template
combatmanager::rightclick,0x769c0,combatManager_RightClick,src-VA,0x2ce19,combatmanager::rightclick,SOURCE/COMMAND,100.0,h2-source-template
town::town,0x1bde80,town_town_1bde80,src-VA,0x32c00,town::town,SOURCE/TOWN,100.0,h2-source-template
town::hasgarrison,0x1bdfe0,town_HasGarrison,src-VA,0x32c65,town::hasgarrison,SOURCE/TOWN,100.0,h2-source-template
town::givespells,0x1be030,town_GiveSpells,src-VA,0x32cb9,town::givespells,SOURCE/TOWN,100.0,h2-source-template
town::view,0x1be210,town_View,src-VA,0x32e74,town::view,SOURCE/TOWN,100.0,h2-source-template
town::buildbuilding,0x1bede0,town_BuildBuilding,src-VA,0x330a1,town::buildbuilding,SOURCE/TOWN,100.0,h2-source-template
town::canbuilddock,0x1bf4e0,?CanBuildDock@town@@QAEEXZ,src-VA+base,0x332df,town::canbuilddock,SOURCE/TOWN,100.0,h2-source-template
town::calcnumlevelarchers,0x1bf4f0,?CalcNumLevelArchers@town@@QAEXPAH0@Z,src-VA+base,0x33315,town::calcnumlevelarchers,SOURCE/TOWN,100.0,h2-source-template
hexcell::hexcell,0xe7150,??0hexcell@@QAE@XZ,src-VA+base,0x4a3c0,hexcell::hexcell,SOURCE/HEXCELL,100.0,h2-source-template
army::walk,0x3f0b0,army_Walk,src-VA,0x4bc55,army::walk,SOURCE/ARMY,99.723465,h2-source-template
army::walkto,0x41fa0,army_WalkTo,src-VA,0x4f41e,army::walkto,SOURCE/ARMY,100.0,h2-source-template
army::walkto,0x41fa0,army_WalkTo,src-VA,0x4f443,army::walkto,SOURCE/ARMY,100.0,h2-source-template
army::damage,0x44090,army_Damage,src-VA,0x5012e,army::damage,SOURCE/ARMY,100.0,h2-source-template
army::cancelspelltype,0x444d0,army_CancelSpellType,src-VA,0x51ef8,army::cancelspelltype,SOURCE/ARMY,100.0,h2-source-template
army::cancelindividualspell,0x44510,army_CancelIndividualSpell,src-VA,0x52007,army::cancelindividualspell,SOURCE/ARMY,100.0,h2-source-template
army::setspellinfluence,0x448f0,army_SetSpellInfluence,src-VA,0x5217f,army::setspellinfluence,SOURCE/ARMY,100.0,h2-source-template
advmanager::advmanager,0x6df0,advManager_advManager,src-VA,0x56350,advmanager::advmanager,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::doadvcommand,0x7b80,advManager_DoAdvCommand,src-VA,0x5751b,advmanager::doadvcommand,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::updatescreen,0xf270,advManager_UpdateScreen,src-VA,0x5b094,advmanager::updatescreen,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::completedraw,0xf3f0,advManager_CompleteDraw,src-VA,0x5b2ae,advmanager::completedraw,SOURCE/ADVMGR,99.59437,h2-source-template
advmanager::completedraw,0xf3f0,advManager_CompleteDraw,src-VA,0x5b799,advmanager::completedraw,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::updbottomview,0x15de0,advManager_UpdBottomView,src-VA,0x60b97,advmanager::updbottomview,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::updbottomviewnewturn,0x15fb0,advManager_UpdBottomViewNewTurn,src-VA,0x613b0,advmanager::updbottomviewnewturn,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::updbottomviewresmsg,0x16160,advManager_UpdBottomViewResMsg,src-VA,0x61716,advmanager::updbottomviewresmsg,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::redrawadvscreen,0x17420,advManager_RedrawAdvScreen,src-VA,0x63dd6,advmanager::redrawadvscreen,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::deactivatecurrtown,0x17570,?DeactivateCurrTown@advManager@@QAEXE@Z,src-VA+base,0x63ef5,advmanager::deactivatecurrtown,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::deactivatecurrhero,0x175a0,?DeactivateCurrHero@advManager@@QAEXE@Z,src-VA+base,0x63f14,advmanager::deactivatecurrhero,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::mobilizecurrhero,0x175e0,advManager_MobilizeCurrHero,src-VA,0x63f3b,advmanager::mobilizecurrhero,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::demobilizecurrhero,0x17680,advManager_DemobilizeCurrHero,src-VA,0x63f95,advmanager::demobilizecurrhero,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::settowncontext,0x17830,advManager_SetTownContext,src-VA,0x64101,advmanager::settowncontext,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::setherocontext,0x17b20,advManager_SetHeroContext,src-VA,0x64318,advmanager::setherocontext,SOURCE/ADVMGR,100.0,h2-source-template
savegame,0x18160,SaveGame,src-VA,0x64e9f,savegame,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::setenvironmentorigin,0x183d0,advManager_SetEnvironmentOrigin,src-VA,0x6668e,advmanager::setenvironmentorigin,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::getsoundid,0x18620,advManager_GetSoundId,src-VA,0x66a2f,advmanager::getsoundid,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::showroute,0x18dd0,advManager_ShowRoute,src-VA,0x68247,advmanager::showroute,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::hideroute,0x192b0,advManager_HideRoute,src-VA,0x68720,advmanager::hideroute,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::checkdimhero,0x19300,advManager_CheckDimHero,src-VA,0x68827,advmanager::checkdimhero,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::checkdimnextherobut,0x19450,advManager_CheckDimNextHeroBut,src-VA,0x688b4,advmanager::checkdimnextherobut,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::seedto,0x194a0,advManager_SeedTo,src-VA,0x6891f,advmanager::seedto,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::forcenewhover,0x19570,advManager_ForceNewHover,src-VA,0x68a57,advmanager::forcenewhover,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::trimloopingsounds,0x1a1e0,advManager_TrimLoopingSounds,src-VA,0x695f7,advmanager::trimloopingsounds,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::disablebuttons,0x1a2e0,advManager_DisableButtons,src-VA,0x697cc,advmanager::disablebuttons,SOURCE/ADVMGR,100.0,h2-source-template
advmanager::enablebuttons,0x1a3a0,advManager_EnableButtons,src-VA,0x698a1,advmanager::enablebuttons,SOURCE/ADVMGR,100.0,h2-source-template
hero::hero,0xd85f0,hero_hero_d85f0,src-VA,0x6c3a0,hero::hero,SOURCE/HERO,100.0,h2-source-template
hero::hasartifact,0xd91b0,?HasArtifact@hero@@QAEEH@Z,src-VA+base,0x6c4cd,hero::hasartifact,SOURCE/HERO,100.0,h2-source-template
hero::deallocate,0xd9ec0,hero_Deallocate,src-VA,0x6cee8,hero::deallocate,SOURCE/HERO,100.0,h2-source-template
hero::getexperience,0xda3a0,hero_GetExperience,src-VA,0x6d46f,hero::getexperience,SOURCE/HERO,100.0,h2-source-template
hero::creaturetypecount,0xe2340,?CreatureTypeCount@hero@@QAEHH@Z,src-VA+base,0x70404,hero::creaturetypecount,SOURCE/HERO,100.0,h2-source-template
hero::getnthss,0xe23a0,?GetNthSS@hero@@QAEHH@Z,src-VA+base,0x704cc,hero::getnthss,SOURCE/HERO,100.0,h2-source-template
playerdata::nexthero,0xbaa40,playerData_NextHero,src-VA,0x70d1a,playerdata::nexthero,SOURCE/GAME,100.0,h2-source-template
playerdata::hasmobilehero,0xbab90,?HasMobileHero@playerData@@QAEEXZ,src-VA+base,0x70e47,playerdata::hasmobilehero,SOURCE/GAME,100.0,h2-source-template
getnumobelisks,0xbaba0,GetNumObelisks,src-VA,0x70eac,getnumobelisks,SOURCE/GAME,100.0,h2-source-template
playerdata::numofgivenartifact,0xbabd0,playerData_NumOfGivenArtifact,src-VA,0x70fda,playerdata::numofgivenartifact,SOURCE/GAME,100.0,h2-source-template
game::minetypesowned,0xbae70,game_MineTypesOwned,src-VA,0x71071,game::minetypesowned,SOURCE/GAME,100.0,h2-source-template
computeualoc,0xbaed0,ComputeUALoc,src-VA,0x710f3,computeualoc,SOURCE/GAME,100.0,h2-source-template
game::setuppuzzlepieces,0xbaf00,game_SetupPuzzlePieces,src-VA,0x71500,game::setuppuzzlepieces,SOURCE/GAME,100.0,h2-source-template
game::getworldmapdata,0xbb160,?GetWorldMapData@game@@QAEPAVNewfullMap@@XZ,src-VA+base,0x71861,game::getworldmapdata,SOURCE/GAME,100.0,h2-source-template
game::getnewheroid,0xbb5e0,game_GetNewHeroId,src-VA,0x71a6d,game::getnewheroid,SOURCE/GAME,100.0,h2-source-template
game::gettownid,0xbb870,game_GetTownId,src-VA,0x71c80,game::gettownid,SOURCE/GAME,100.0,h2-source-template
game::claimtown,0xc61e0,game_ClaimTown,src-VA,0x78fea,game::claimtown,SOURCE/GAME,100.0,h2-source-template
game::claimmine,0xc66e0,game_ClaimMine,src-VA,0x79394,game::claimmine,SOURCE/GAME,100.0,h2-source-template
game::convertobject,0xc9990,game_ConvertObject,src-VA,0x7efb9,game::convertobject,SOURCE/GAME,99.32827,h2-source-template
game::getrandomartifactid,0xc94d0,game_GetRandomArtifactId,src-VA,0x7fcd0,game::getrandomartifactid,SOURCE/GAME,100.0,h2-source-template
game::processrandomobjects,0xc9dd0,game_ProcessRandomObjects,src-VA,0x8041e,game::processrandomobjects,SOURCE/GAME,99.7626,h2-source-template
