# generator: homm3.analysis.homm2_overlap
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-06
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
# homm2 pol: HEROES2W.EXE sha256=bc8f362dd49216c9fbcee1eb2e0429b467082a93330dd84ff95757c0182fc8a3 @ /home/sheep/Projects/homm2/homm2-decomp
# homm2 buka: HMM2PL.exe sha256=bc7e9c9320aa3e5c1ffca6d2bfa530ecedb5a3bca1b91c959501c15ad72c329a @ /home/sheep/Projects/homm2/homm2-buka
name,h2_rva,h2_unit,h2_size,h2_fuzzy,h3_dc_offset,h3_dc_module,h3_retail_rva,in_nh3api,h2_branch,h2_arity,h2_fuzzy_pol
advmanager::advmanager,0x1000,SOURCE/ADVMGR,754,100.0,0x66f4,advmgr.obj,0x6df0,,both,0,100.0
advmanager::castspell,0xea8c,SOURCE/ADVMGR,803,100.0,0x21a2c,advspells.obj,,,both,1,100.0
advmanager::checkadjacentmon,0x351c5,SOURCE/CURSOR,342,100.0,0x7bbbc,cursor.obj,,,both,1,100.0
advmanager::checkcastspell,0xeffa,SOURCE/ADVMGR,139,100.0,0x2194c,advspells.obj,,,both,0,100.0
advmanager::checkdimhero,0x1246b,SOURCE/ADVMGR,107,100.0,0x1c580,advmgr.obj,0x19300,,both,0,100.0
advmanager::checkdimnextherobut,0x124d6,SOURCE/ADVMGR,93,100.0,0x1c5ec,advmgr.obj,0x19450,,both,0,100.0
advmanager::checkloadsample,0x108a1,SOURCE/ADVMGR,90,100.0,0x1b520,advmgr.obj,,,both,1,100.0
advmanager::checkscreenscroll,0x1283f,SOURCE/ADVMGR,366,100.0,0x1cb08,advmgr.obj,,,both,0,100.0
advmanager::clearbottomview,0xac4c,SOURCE/ADVMGR,294,100.0,0x18c2c,advmgr.obj,,,both,0,100.0
advmanager::close,0x1c47,SOURCE/ADVMGR,952,100.0,0x74ec,advmgr.obj,,,both,0,100.0
advmanager::combatmonsterevent,0x4403b,SOURCE/EVENTS,1334,100.0,0x9af34,events.obj,,,both,,100.0
advmanager::completedraw,0x5718,SOURCE/ADVMGR,1186,100.0,0x10788,advmgr.obj,0xf3f0,,both,1/4,99.59437
advmanager::deactivatecurrhero,0xdfde,SOURCE/ADVMGR,28,100.0,0x1a3f0,advmgr.obj,0x175a0,,both,0,100.0
advmanager::deactivatecurrtown,0xdfca,SOURCE/ADVMGR,20,100.0,0x1a3b0,advmgr.obj,0x17570,,both,0,100.0
advmanager::demobilizecurrhero,0xe03c,SOURCE/ADVMGR,330,100.0,0x1a520,advmgr.obj,0x17680,,both,0,100.0
advmanager::dimensiondoor,0x11313,SOURCE/ADVMGR,514,100.0,0x2225c,advspells.obj,,,both,0,100.0
advmanager::disablebuttons,0x132d4,SOURCE/ADVMGR,200,100.0,0x1d9e0,advmgr.obj,0x1a2e0,,both,0,100.0
advmanager::doadvcommand,0x20d7,SOURCE/ADVMGR,1437,100.0,0x7a8c,advmgr.obj,0x7b80,,both,0,100.0
advmanager::doaievent,0x44d73,SOURCE/EVENTS,11116,100.0,0x9b670,events.obj,,,both,4,97.667564
advmanager::docombat,0x48c95,SOURCE/EVENTS,1511,100.0,0x9b970,events.obj,,,both,,100.0
advmanager::doevent,0x3b640,SOURCE/EVENTS,24521,100.0,0x99abc,events.obj,0xaaaa0,,both,3,96.77422
advmanager::donetcombat,0x48b04,SOURCE/EVENTS,401,100.0,0x9b788,events.obj,,,both,1,100.0
advmanager::dowhirlpool,0x44b68,SOURCE/EVENTS,280,100.0,0x9b448,events.obj,,,both,1,100.0
advmanager::drawcursor,0x334da,SOURCE/CURSOR,1501,100.0,0x79b0c,cursor.obj,,,both,0,100.0
advmanager::drawcursorshadow,0x33ab7,SOURCE/CURSOR,807,100.0,0x79ea8,cursor.obj,,,both,0,99.990524
advmanager::enablebuttons,0x1339c,SOURCE/ADVMGR,200,100.0,0x1dafc,advmgr.obj,0x1a3a0,,both,0,100.0
advmanager::eraseobj,0x41609,SOURCE/EVENTS,2308,100.0,0x99bac,events.obj,0xaabb0,,both,3,98.88016
advmanager::eventsound,0x42f2d,SOURCE/EVENTS,1043,100.0,0x906c0,events.obj,0xab410,,both,,100.0
advmanager::findadjacentmonster,0x136da,SOURCE/ADVMGR,890,100.0,0x1dc24,advmgr.obj,0x1a460,,both,,97.53086
advmanager::fizzlecenter,0x44c80,SOURCE/EVENTS,243,100.0,0x9b564,events.obj,0xacbb0,,both,1,100.0
advmanager::forcenewhover,0x12648,SOURCE/ADVMGR,79,100.0,0x1c750,advmgr.obj,0x19570,,both,0,100.0
advmanager::getcell,0x8427,SOURCE/ADVMGR,133,100.0,0x14b08,advmgr.obj,,,both,2,91.42857
