# generator: homm3.analysis.h2_twins
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-06
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
# homm2 pol: HEROES2W.EXE sha256=bc8f362dd49216c9fbcee1eb2e0429b467082a93330dd84ff95757c0182fc8a3 @ /home/sheep/Projects/homm2/homm2-decomp
# homm2 buka: HMM2PL.exe sha256=bc7e9c9320aa3e5c1ffca6d2bfa530ecedb5a3bca1b91c959501c15ad72c329a @ /home/sheep/Projects/homm2/homm2-buka
# calibration: loo_top1=487/499 stress_top1=274/401 strong_fp=5 margin_med=0.40
h2_name,h2_method,h2_branch,h2_rva,h2_unit,h2_arity,dc_class,proposed_dc_name,proposed_dc_offset,proposed_dc_module,dc_params,score,name_score,arity_delta,callee_shared,callee_h2_count,callee_dc_count,margin,grade,detail
advmanager::processmapchange,ProcessMapChange,both,0x35ad8,SOURCE/CURSOR,1,advmanager,advManager::ProcessMapChangeNew,0x7c6bc,cursor.obj,2,0.650,0.750,0,0,15,0,0.330,twin-strong,"margin 0.33, no-callee-signal"
advmanager::systemoptions,SystemOptions,both,0x149c0,SOURCE/ADVMGR,0,advmanager,advManager::DoSystemOptions,0x1e5e8,advmgr.obj,1,0.618,0.667,0,1,11,1,0.252,twin-strong,margin 0.25
army::doattack,DoAttack,both,0x1bddb,SOURCE/ARMY,1,army,army::do_attack,0x46fb0,army.obj,2,0.800,1.000,0,0,10,0,0.400,twin-strong,"margin 0.40, no-callee-signal, overloads=2"
army::leavenobody,LeaveNoBody,both,0x1f149,SOURCE/ARMY,0,army,army::LeavesNoBody,0x4ca60,army.obj,1,0.500,0.500,0,0,0,0,0.300,twin-strong,"margin 0.30, no-callee-signal"
combatmanager::getnextarmy,GetNextArmy,both,0x287bf,SOURCE/CMBTMGR,1,combatmanager,combatManager::NextArmy,0x5f518,cmbtmgr.obj,2,0.667,0.667,0,1,3,1,0.267,twin-strong,margin 0.27
combatmanager::setcombatviewarmysmalllevel,SetCombatViewArmySmallLevel,both,0x31f2a,SOURCE/COMMAND,1,combatmanager,combatManager::SetCombatViewArmy,0x70398,command.obj,2,0.600,0.667,0,0,2,0,0.314,twin-strong,"margin 0.31, no-callee-signal"
combatmanager::viewballista,ViewBallista,both,0x32475,SOURCE/COMMAND,1,combatmanager,combatManager::ViewCastleBallista,0x70714,command.obj,2,0.600,0.667,0,0,2,0,0.280,twin-strong,"margin 0.28, no-callee-signal"
mousemanager::checkupdatemousepos,CheckUpdateMousePos,both,0xba3e0,BASE/MOUSEMGR,0,mousemanager,mouseManager::CheckUpdate,0xff484,mousemgr.obj,1,0.500,0.500,0,0,0,0,0.180,twin-strong,"margin 0.18, no-callee-signal"
mousemanager::newupdate,NewUpdate,both,0xb9b40,BASE/MOUSEMGR,1,mousemanager,mouseManager::Update,0xfec54,mousemgr.obj,2,0.500,0.500,0,0,0,2,0.200,twin-strong,"margin 0.20, no-callee-signal"
soundmanager::midisetvolume,MIDISetVolume,pol,0xd3fd0,BASE/Midi,0,soundmanager,soundManager::SetMusicVolume,0x14b07c,soundmgr.obj,1,0.600,0.500,0,1,1,2,0.400,twin-strong,margin 0.40
textwidget::setcolorindex,SetColorIndex,both,0xc3500,BASE/TEXTWDGT,1,textwidget,textWidget::SetColor,0x1652f4,textwdgt.obj,2,0.600,0.667,0,0,0,0,0.500,twin-strong,"margin 0.50, no-callee-signal"
townmanager::dotavern,DoTavern,both,0xaa903,SOURCE/TOWNMGR,0,townmanager,townManager::DoTownTavern,0x17b154,townmgr.obj,1,0.600,0.667,0,0,5,0,0.200,twin-strong,"margin 0.20, no-callee-signal"
advmanager::drawadventureborder,DrawAdventureBorder,both,0x135a6,SOURCE/ADVMGR,0,advmanager,advManager::DrawAdventureMapGems,0x10640,advmgr.obj,1,0.440,0.400,0,0,0,0,0.120,twin-candidate,"margin 0.12, no-callee-signal"
advmanager::giverandomartifact,GiveRandomArtifact,both,0x4347b,SOURCE/EVENTS,1,advmanager,advManager::GiveArtifact,0x90814,events.obj,4,0.400,0.667,2,0,1,0,0.200,twin-candidate,"margin 0.20, no-callee-signal"
advmanager::skeletonevent,SkeletonEvent,both,0x4368d,SOURCE/EVENTS,5,advmanager,advManager::DoEventSkeleton,0x95650,events.obj,4,0.400,0.667,-2,0,2,0,0.050,twin-candidate,"margin 0.05, no-callee-signal"
army::specialattack,SpecialAttack,both,0x1a1d9,SOURCE/ARMY,0,army,army::check_special_attack,0x461a0,army.obj,2,0.500,0.667,1,0,15,0,0.100,twin-candidate,"margin 0.10, no-callee-signal"
combatmanager::effectspellcreatecreature,EffectSpellCreateCreature,both,0x96f02,SOURCE/SPELLAI,2,combatmanager,combatManager::MarkCreatureEffect,0x4cc74,army.obj,3,0.440,0.400,0,0,1,0,0.040,twin-candidate,"margin 0.04, no-callee-signal"
combatmanager::getclosestarmy,GetClosestArmy,both,0x17d6e,SOURCE/AI,,combatmanager,combatManager::get_current_army,0x27efc,ai.obj,1,0.300,0.500,,0,0,0,0.150,twin-candidate,"margin 0.15, no-arity, no-callee-signal, overloads=2"
combatmanager::getstrength,GetStrength,both,0x17e9c,SOURCE/AI,2,combatmanager,combatManager::get_wall_strength,0x27edc,ai.obj,2,0.500,0.667,-1,0,1,0,0.100,twin-candidate,"margin 0.10, no-callee-signal"
combatmanager::modifydamageforartifacts,ModifyDamageForArtifacts,both,0xa0aec,SOURCE/SPELLS,,combatmanager,combatManager::ModifySpellDamageForSpells,0x156dc4,spells.obj,4,0.300,0.500,,0,1,0,0.060,twin-candidate,"margin 0.06, no-arity, no-callee-signal"
combatmanager::raweffectspellinfluence,RawEffectSpellInfluence,both,0x9716f,SOURCE/SPELLAI,2,combatmanager,combatManager::LoadSpellEffect,0x15802c,spells.obj,2,0.340,0.400,-1,0,2,0,0.020,twin-candidate,"margin 0.02, no-callee-signal"
