# generator: homm3.analysis.homm2_overlap
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-06
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
# homm2 pol: HEROES2W.EXE sha256=bc8f362dd49216c9fbcee1eb2e0429b467082a93330dd84ff95757c0182fc8a3 @ /home/sheep/Projects/homm2/homm2-decomp
# homm2 buka: HMM2PL.exe sha256=bc7e9c9320aa3e5c1ffca6d2bfa530ecedb5a3bca1b91c959501c15ad72c329a @ /home/sheep/Projects/homm2/homm2-buka
stem,h2_unit,h2_exact,h2_fns,h2_fuzzy,h3_dc_fns
advmgr,SOURCE/ADVMGR,69,92,99.40,347
ai,SOURCE/AI,7,19,97.17,239
army,SOURCE/ARMY,32,45,99.41,202
armygrp,SOURCE/ARMYGRP,12,13,100.00,67
basemgr,BASE/BASEMGR,1,1,100.00,1
border,BASE/BORDER,5,8,84.39,43
button,BASE/BUTTON,7,11,90.14,36
castle,SOURCE/Castle,1,2,99.72,24
cmbtmgr,SOURCE/CMBTMGR,29,39,98.97,202
command,SOURCE/COMMAND,29,36,99.57,98
cursor,SOURCE/CURSOR,12,18,99.67,39
drawing,SOURCE/DRAWING,10,13,99.63,75
events,SOURCE/EVENTS,35,42,99.74,295
exec,BASE/EXEC,9,10,99.96,28
findpath,SOURCE/FINDPATH,7,12,97.92,51
fly,SOURCE/FLY,3,4,99.86,7
font,BASE/FONT,5,10,83.01,18
game,SOURCE/GAME,68,99,99.11,970
hero,SOURCE/HERO,34,41,99.80,164
hexcell,SOURCE/HEXCELL,7,8,98.81,3
hiscore,SOURCE/HISCORE,4,5,99.94,52
iconwdgt,BASE/ICONWDGT,8,9,88.89,20
inputmgr,BASE/INPUTMGR,12,15,99.93,43
kb,SOURCE/KB,56,71,99.68,141
kbwin,SOURCE/kbwin,15,16,99.96,34
mapcell,EDITOR/mapcell,9,11,99.58,618
misc,BASE/Misc,29,46,98.05,61
mousemgr,BASE/MOUSEMGR,14,17,99.55,23
newgame,SOURCE/Newgame,11,16,99.09,30
overview,SOURCE/Overview,4,7,99.64,42
palette,BASE/PALETTE,5,6,83.33,39
path,SOURCE/PATH,9,12,98.05,9
philai,SOURCE/PHILAI,59,86,99.49,154
recruit,SOURCE/RECRUIT,7,8,100.00,44
remote,SOURCE/REMOTE,10,13,99.44,260
resource,BASE/RESOURCE,3,3,100.00,3
sample,BASE/SAMPLE,6,8,75.00,2
search,SOURCE/SEARCH,0,2,93.28,34
smackmgr,SOURCE/SMACKMGR,7,8,99.98,21
soundmgr,BASE/soundmgr,34,34,100.00,45
spells,SOURCE/SPELLS,15,37,98.43,106
strip,SOURCE/STRIP,8,8,100.00,28
swapmgr,SOURCE/SWAPMGR,12,13,100.00,66
textntry,BASE/Textntry,7,9,88.76,21
textwdgt,BASE/TEXTWDGT,7,10,89.54,22
town,SOURCE/TOWN,8,9,99.86,81
townmgr,SOURCE/TOWNMGR,24,33,99.33,161
tradpost,SOURCE/tradpost,4,6,99.76,91
viewwrld,SOURCE/Viewwrld,4,5,99.50,46
widget,BASE/WIDGET,5,7,94.96,13
window,BASE/WINDOW,15,15,100.00,56
wingraph,SOURCE/wingraph,30,32,99.97,55
winmgr,BASE/WINMGR,17,21,98.85,54
