# every stored comment (HD-pressing addresses); kind r=repeatable, n=normal.
hd_va,kind,text
0x401429,n,update
0x40142a,n,newPriority
0x40142b,n,this
0x40143d,n,allocation_size
0x40146b,n,char *
0x40146c,n,char
0x40146e,n,int
0x401473,n,int
0x401478,n,int
0x40147d,n,int
0x4014d6,n,a3
0x4014e8,n,ptr
0x4014f4,n,this
0x4014f6,n,update
0x401515,n,a13
0x401520,n,a13
0x40152b,n,a13
0x40152c,n,a13
0x40152d,n,a13
0x40152e,n,winType
0x401530,n,winHeight
0x401537,n,winWidth
0x40153e,n,winY
0x40153f,n,winX
0x40157a,n,allocation_size
0x4015c9,n,ptr
0x4015f0,n,allocation_size
0x401605,n,style
0x401607,n,id
0x401608,n,h
0x40160d,n,w
0x401612,n,y
0x401614,n,x
0x401616,n,this
0x40162a,n,a4
0x40162b,n,count
0x40162d,n,pos
0x40162e,n,this
0x40163c,n,allocation_size
0x401657,n,style
0x401659,n,id
0x40165b,n,h
0x401660,n,w
0x401665,n,y
0x401667,n,x
0x40166c,n,this
0x401680,n,a4
0x401681,n,count
0x401683,n,pos
0x401684,n,this
0x401692,n,allocation_size
0x4016ad,n,style
0x4016af,n,id
0x4016b1,n,h
0x4016b6,n,w
0x4016bb,n,y
0x4016c0,n,x
0x4016c5,n,this
0x4016d9,n,a4
0x4016da,n,count
0x4016dc,n,pos
0x4016dd,n,this
0x4016e8,n,allocation_size
0x4016fd,n,style
0x4016ff,n,hotkey
0x401700,n,end
0x401701,n,selected
0x401703,n,normal
0x401709,n,id
0x40170b,n,h
0x40170d,n,w
0x40170f,n,y
0x401714,n,x
0x401719,n,this
0x401729,n,this
0x40172c,n,a2
0x401733,n,a5
0x401734,n,a4
0x401736,n,key
0x401749,n,a4
0x40174a,n,count
0x40174c,n,pos
0x40174d,n,this
0x401757,n,allocation_size
0x40176c,n,style
0x40176e,n,hotkey
0x40176f,n,end
0x401770,n,selected
0x401772,n,normal
0x401778,n,id
0x40177a,n,h
0x40177c,n,w
0x40177e,n,y
0x401783,n,x
0x401788,n,this
0x401798,n,this
0x40179b,n,a2
0x4017a2,n,a5
0x4017a3,n,a4
0x4017a5,n,key
0x4017b8,n,a4
0x4017b9,n,count
0x4017bb,n,pos
0x4017bc,n,this
0x4017c6,n,allocation_size
0x4017db,n,style
0x4017dd,n,hotkey
0x4017de,n,end
0x4017df,n,selected
0x4017e1,n,normal
0x4017e7,n,id
0x4017e9,n,h
0x4017eb,n,w
0x4017ed,n,y
0x4017f2,n,x
0x4017f7,n,this
0x401807,n,this
0x40180a,n,a2
0x401811,n,a5
0x401812,n,a4
0x401814,n,key
0x401827,n,a4
0x401828,n,count
0x40182a,n,pos
0x40182b,n,this
0x401835,n,allocation_size
0x40184a,n,style
0x40184c,n,hotkey
0x40184d,n,end
0x40184e,n,selected
0x401850,n,normal
0x401856,n,id
0x401858,n,h
0x40185a,n,w
0x40185c,n,y
0x401861,n,x
0x401866,n,this
0x401876,n,this
0x401879,n,a2
0x401880,n,a5
0x401881,n,a4
0x401883,n,key
0x401896,n,a4
0x401897,n,count
0x401899,n,pos
0x40189a,n,this
0x4018a4,n,allocation_size
0x4018b9,n,style
