# NH3API v2.1 IDB functions; hd_va is the HD pressing; retail_rva only where the hdmap
# masked-identity bridge lands (crossbuild-verified correspondence, name still external).
hd_va,name,readable,prototype,retail_rva
0x401000,init_adventuremapwindow_cpp_401000,,,
0x401060,init_adventuremapwindow_cpp_401060,,,
0x4010c0,init_adventuremapwindow_cpp_4010C0,,,
0x401130,init_adventuremapwindow_cpp_401130,,,
0x401190,init_adventuremapwindow_cpp_401190,,,
0x4011f0,init_adventuremapwindow_cpp_4011F0,,,
0x401250,init_adventuremapwindow_cpp_401250,,,
0x4012b0,init_adventuremapwindow_cpp_4012B0,,,
0x401310,init_adventuremapwindow_cpp_401310,,,
0x401370,init_adventuremapwindow_cpp_401370,,,
0x4013d0,zlib_4013D0,,,
0x401400,?Open@TAdventureMapWindow@@UAAHH_N@Z,TAdventureMapWindow_Open,"int (__thiscall ?Open@TAdventureMapWindow@@UAAHH_N@Z)(TAdventureMapWindow* this, int newPriority, bool update)",
0x4014d0,?Close@TAdventureMapWindow@@UAAX_N@Z,TAdventureMapWindow_Close,"void (__thiscall ?Close@TAdventureMapWindow@@UAAX_N@Z)(TAdventureMapWindow* this, bool update)",
0x401510,??0TAdventureMapWindow@@QAA@XZ,TAdventureMapWindow_ctor,TAdventureMapWindow* (__thiscall ??0TAdventureMapWindow@@QAA@XZ)(TAdventureMapWindow* this),0x1510
0x4021d0,?GetRealHeight@widget@@UBAHXZ,widget_GetRealHeight,int (__thiscall ?GetRealHeight@widget@@UBAHXZ)(widget* this),
0x4021e0,?GetRealWidth@widget@@UBAHXZ,widget_GetRealWidth,int (__thiscall ?GetRealWidth@widget@@UBAHXZ)(widget* this),
0x4021f0,?OnKeyPress@CGameChatEdit@@UAAHAAUmessage@@@Z,CGameChatEdit_OnKeyPress,"int (__thiscall ?OnKeyPress@CGameChatEdit@@UAAHAAUmessage@@@Z)(CGameChatEdit* this, message* msg)",
0x402240,?OnEscape@CGameChatEdit@@UAAHUmessage@@@Z,CGameChatEdit_OnEscape,"int (__thiscall ?OnEscape@CGameChatEdit@@UAAHUmessage@@@Z)(CGameChatEdit* this, message msg)",
