# every name in the IDB (HD-pressing addresses).
hd_va,kind,name,readable
0x401000,user,init_adventuremapwindow_cpp_401000,
0x401060,user,init_adventuremapwindow_cpp_401060,
0x4010c0,user,init_adventuremapwindow_cpp_4010C0,
0x401130,user,init_adventuremapwindow_cpp_401130,
0x401190,user,init_adventuremapwindow_cpp_401190,
0x4011f0,user,init_adventuremapwindow_cpp_4011F0,
0x401250,user,init_adventuremapwindow_cpp_401250,
0x4012b0,user,init_adventuremapwindow_cpp_4012B0,
0x401310,user,init_adventuremapwindow_cpp_401310,
0x401370,user,init_adventuremapwindow_cpp_401370,
0x4013d0,user,zlib_4013D0,
0x401400,mangled,?Open@TAdventureMapWindow@@UAAHH_N@Z,TAdventureMapWindow_Open
0x4014d0,mangled,?Close@TAdventureMapWindow@@UAAX_N@Z,TAdventureMapWindow_Close
0x401510,mangled,??0TAdventureMapWindow@@QAA@XZ,TAdventureMapWindow_ctor
0x4021d0,mangled,?GetRealHeight@widget@@UBAHXZ,widget_GetRealHeight
0x4021e0,mangled,?GetRealWidth@widget@@UBAHXZ,widget_GetRealWidth
0x4021f0,mangled,?OnKeyPress@CGameChatEdit@@UAAHAAUmessage@@@Z,CGameChatEdit_OnKeyPress
0x402240,mangled,?OnEscape@CGameChatEdit@@UAAHUmessage@@@Z,CGameChatEdit_OnEscape
0x402280,mangled,?SendChatCleanup@CGameChatEdit@@UAAXXZ,CGameChatEdit_SendChatCleanup
0x4022b0,mangled,?Activate@CGameChatEdit@@UAAXXZ,CGameChatEdit_Activate
0x4022e0,mangled,?SendChat@CAdventurMapChatEdit@@UAAXPBDH@Z,CAdventurMapChatEdit_SendChat
0x402450,user,CheckAdvCheatCode,
0x402a30,mangled,?encode@TCheatCode@@AAAXPBD@Z,TCheatCode_encode
0x402ae0,mangled,??_GTAdventureMapWindow@@UAAPAXI@Z,op_GTAdventureMapWindow
0x402b10,mangled,??1TAdventureMapWindow@@UAA@XZ,TAdventureMapWindow_dtor
0x402b90,mangled,?animate_bottom_view@TAdventureMapWindow@@QAAX_N@Z,TAdventureMapWindow_animate_bottom_view
0x402bc0,mangled,?draw_bottom_view@TAdventureMapWindow@@QAAX_N@Z,TAdventureMapWindow_draw_bottom_view
0x402c10,mangled,?set_bottom_view@TAdventureMapWindow@@QAAXPAVtype_bottom_view_window@@@Z,TAdventureMapWindow_set_bottom_view
0x402c50,mangled,?convertID2HelpID@TAdventureMapWindow@@ABAHH@Z,TAdventureMapWindow_convertID2HelpID
0x402d55,user,def_402C82,
0x402de0,user,case_off_00402DE0,
0x402e28,user,case_byte_00402E28,
0x402e4c,user,jpt_402D9A,
0x402e70,mangled,?ProcessRightSelect@TAdventureMapWindow@@QAA_NABUmessage@@@Z,TAdventureMapWindow_ProcessRightSelect
0x402ea7,user,b402FDC_case15_19_39_43,
0x402f15,user,b402FDC_case32_36,
0x402f69,user,b402FDC_caseOther,
0x402fdc,user,jpt_402EA0,
0x403010,mangled,?ProcessHover@TAdventureMapWindow@@QAA_NHH@Z,TAdventureMapWindow_ProcessHover
0x403188,user,def_403093,
0x4031f8,user,jpt_403093,
0x403220,mangled,?DoHeroKnob@TAdventureMapWindow@@QAAX_N@Z,TAdventureMapWindow_DoHeroKnob
0x403280,mangled,?DoTownKnob@TAdventureMapWindow@@QAAX_N@Z,TAdventureMapWindow_DoTownKnob
0x4032e0,mangled,?UpdateHeroLocators@TAdventureMapWindow@@QAAXH_N0@Z,TAdventureMapWindow_UpdateHeroLocators
0x403420,mangled,?UpdateTownLocators@TAdventureMapWindow@@QAAXH_N0@Z,TAdventureMapWindow_UpdateTownLocators
0x403560,mangled,?UpdateHeroLocator@TAdventureMapWindow@@QAAXH_N0@Z,TAdventureMapWindow_UpdateHeroLocator
0x4037a0,mangled,?UpdateTownLocator@TAdventureMapWindow@@QAAXH_N0@Z,TAdventureMapWindow_UpdateTownLocator
0x4038c0,mangled,?HighlightLocators@TAdventureMapWindow@@QAAX_N@Z,TAdventureMapWindow_HighlightLocators
0x4039b0,mangled,?UpdateQuestLogButton@TAdventureMapWindow@@QAAX_N@Z,TAdventureMapWindow_UpdateQuestLogButton
0x403ba0,mangled,?UpdateSleepButton@TAdventureMapWindow@@QAAXPBVhero@@@Z,TAdventureMapWindow_UpdateSleepButton
0x403bf0,mangled,?UpdateSpellButton@TAdventureMapWindow@@QAAXPBVhero@@@Z,TAdventureMapWindow_UpdateSpellButton
0x403c40,mangled,?SetElevationToggleImage@TAdventureMapWindow@@QAA_NH@Z,TAdventureMapWindow_SetElevationToggleImage
0x403cc0,mangled,?SetSleepImage@TAdventureMapWindow@@QAAXH@Z,TAdventureMapWindow_SetSleepImage
0x403ee0,mangled,?ClearBottomView@TAdventureMapWindow@@QAAXXZ,TAdventureMapWindow_ClearBottomView
0x403f00,mangled,?UpdateResourceDisplay@TAdventureMapWindow@@QAAX_N0@Z,TAdventureMapWindow_UpdateResourceDisplay
0x403f20,mangled,?DrawChatText@TAdventureMapWindow@@QAAX_N@Z,TAdventureMapWindow_DrawChatText
0x403f60,mangled,?UpdateButtons@TAdventureMapWindow@@QAAX_N0@Z,TAdventureMapWindow_UpdateButtons
0x4040b0,user,TAdventureMapWindow::sleep,
0x4040f0,mangled,??1?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@XZ,std_D_DU_char_traits_basic_string_dtor
0x404130,mangled,?_Tidy@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEX_N@Z,std_D_DU_char_traits_basic_string_Tidy
