# ??_7 vtable names (HD-pressing addresses).
hd_va,name,class
0x63a578,??_7CAdventurMapChatEdit@@6B@,CAdventurMapChatEdit
0x63a5e4,??_7TAdventureMapWindow@@6B@,TAdventureMapWindow
0x63a610,??_7TAdventureOptionsWindow@@6B@,TAdventureOptionsWindow
0x63a678,??_7advManager@@6B@,advManager
0x63a684,??_7CAdvMgrNetMsgHandler@@6B@,CAdvMgrNetMsgHandler
0x63a6a8,??_7CAdvPopup@@6B@,CAdvPopup
0x63b670,??_7type_town_threat_checker@@6B@,type_town_threat_checker
0x63b67c,??_7type_garrison_purchaser@@6B@,type_garrison_purchaser
0x63b6b0,??_7type_artifact_effect@@6B@,type_artifact_effect
0x63b6b8,??_7type_scouting_artifact@@6B@,type_scouting_artifact
0x63b6c0,??_7type_combat_artifact@@6B@,type_combat_artifact
0x63b6c8,??_7type_might_artifact@@6B@,type_might_artifact
0x63b6d0,??_7type_power_artifact@@6B@,type_power_artifact
0x63b6d8,??_7type_knowledge_artifact@@6B@,type_knowledge_artifact
0x63b6e4,??_7type_necromancy_artifact@@6B@,type_necromancy_artifact
0x63b6ec,??_7type_movement_artifact@@6B@,type_movement_artifact
0x63b6f4,??_7type_spellcaster_artifact@@6B@,type_spellcaster_artifact
0x63b6fc,??_7type_morale_artifact@@6B@,type_morale_artifact
0x63b704,??_7type_luck_artifact@@6B@,type_luck_artifact
0x63b70c,??_7type_duration_artifact@@6B@,type_duration_artifact
0x63b714,??_7type_school_artifact@@6B@,type_school_artifact
0x63b71c,??_7type_antimagic_artifact@@6B@,type_antimagic_artifact
0x63b724,??_7type_antimorale_artifact@@6B@,type_antimorale_artifact
0x63b72c,??_7type_antiluck_artifact@@6B@,type_antiluck_artifact
0x63b734,??_7type_tome_artifact@@6B@,type_tome_artifact
0x63b73c,??_7type_income_artifact@@6B@,type_income_artifact
0x63b744,??_7type_creature_growth_artifact@@6B@,type_creature_growth_artifact
0x63b74c,??_7type_spell_artifact@@6B@,type_spell_artifact
0x63b754,??_7type_shooter_bonus_artifact@@6B@,type_shooter_bonus_artifact
0x63b75c,??_7type_angelic_alliance_artifact@@6B@,type_angelic_alliance_artifact
0x63b764,??_7type_undead_king_cloak_artifact@@6B@,type_undead_king_cloak_artifact
0x63b770,??_7type_statue_of_legion_artifact@@6B@,type_statue_of_legion_artifact
0x63b778,??_7type_elixir_of_life_artifact@@6B@,type_elixir_of_life_artifact
0x63b7d8,??_7type_AI_spellcaster@@6B@,type_AI_spellcaster
0x63b8f8,??_7TSplitWindow@@6B@,TSplitWindow
0x63b9bc,??_7baseManager@@6B@,baseManager
0x63b9c8,??_7Bitmap16Bit@@6B@,Bitmap16Bit
0x63b9f4,??_7Bitmap24Bit@@6B@,Bitmap24Bit
0x63ba14,??_7Bitmap816@@6B@,Bitmap816
0x63ba24,??_7border@@6B@,border
0x63ba5c,??_7coloredBorderFrame@@6B@,coloredBorderFrame
0x63ba94,??_7bitmapBorder@@6B@,bitmapBorder
0x63bacc,??_7bitmapBorder16@@6B@,bitmapBorder16
0x63bb04,??_7type_bottom_view_window@@6B@,type_bottom_view_window
0x63bb54,??_7button@@6B@,button
0x63bb88,??_7textButton@@6B@,textButton
0x63bbbc,??_7type_func_button@@6B@,type_func_button
0x63bc08,??_7TCampaignMenu@@6B@,TCampaignMenu
0x63bc2c,??_7TCampaignBrief@@6B@,TCampaignBrief
0x63bca4,??_7TCampaignWindow@@6B@,TCampaignWindow
0x63d3e8,??_7combatManager@@6B@,combatManager
0x63d440,??_7TCombatHeroSubWindow@@6B@,TCombatHeroSubWindow
0x63d46c,??_7TCombatResultsWindow@@6B@,TCombatResultsWindow
0x63d4bc,??_7CCombatChatEdit@@6B@,CCombatChatEdit
0x63d6b0,??_7CSprite@@6B@,CSprite
0x63d6bc,??_7CSpriteFrame@@6B@,CSpriteFrame
0x63db40,??_7TDialogBox@@6B@,TDialogBox
0x63db68,??_7CTextDialog@@6B@,CTextDialog
0x63dbd8,??_7TSkuttleBoatWindow@@6B@,TSkuttleBoatWindow
0x63dc28,??_7CDPlay@@6B@,CDPlay
0x63dd20,??_7CDPlayLobby@@6B@,CDPlayLobby
0x63de44,??_7?$CAutoArray@VCDPlayAddressElement@@@@6B@,?$CAutoArray@VCDPlayAddressElement
0x63de74,??_7type_event_record@@6B@,type_event_record
0x63de8c,??_7type_record_move_hero@@6B@,type_record_move_hero
0x63dea4,??_7type_record_teleport@@6B@,type_record_teleport
0x63debc,??_7type_record_claim_mine@@6B@,type_record_claim_mine
0x63ded4,??_7type_record_claim_town@@6B@,type_record_claim_town
0x63deec,??_7type_record_hide_boat@@6B@,type_record_hide_boat
0x63df04,??_7type_record_show_boat@@6B@,type_record_show_boat
0x63df1c,??_7type_record_erase@@6B@,type_record_erase
0x63df34,??_7type_record_hide_hero@@6B@,type_record_hide_hero
0x63df4c,??_7type_record_show_hero@@6B@,type_record_show_hero
0x63df64,??_7type_record_player_death@@6B@,type_record_player_death
0x63df7c,??_7type_record_shroud@@6B@,type_record_shroud
0x63e5f4,??_7font@@6B@,font
0x63eae8,??_7THeroScreenWindow@@6B@,THeroScreenWindow
0x63eb8c,??_7highScoreManager@@6B@,highScoreManager
0x63eb98,??_7THighScoreWindow@@6B@,THighScoreWindow
0x63ebf4,??_7CHighScoreEdit@@6B@,CHighScoreEdit
0x63ec48,??_7iconWidget@@6B@,iconWidget
0x63fe10,??_7inputManager@@6B@,inputManager
0x63fe68,??_7soundManager@@6B@,soundManager
0x63fe74,??_7TLevelUpWindow@@6B@,TLevelUpWindow
0x63ff60,??_7TMainMenu@@6B@,TMainMenu
0x640038,??_7mouseManager@@6B@,mouseManager
0x6400e8,??_7?$CAutoArray@VCDPlaySession@@@@6B@,?$CAutoArray@VCDPlaySession
0x6401e8,??_7CHotSeatDlg@@6B@,CHotSeatDlg
0x640280,??_7t_complex_net_message@@6B@,t_complex_net_message
0x640378,??_7TPalette16@@6B@,TPalette16
0x640384,??_7TPalette24@@6B@,TPalette24
0x640610,??_7TPuzzleWindow@@6B@,TPuzzleWindow
0x640658,??_7TQuestLogWindow@@6B@,TQuestLogWindow
0x6406b8,??_7TQuickHeroWindow@@6B@,TQuickHeroWindow
0x6406dc,??_7TQuickCreatureWindow@@6B@,TQuickCreatureWindow
0x640704,??_7TQuickTownWindow@@6B@,TQuickTownWindow
0x6409dc,??_7type_random_map@@6B@,type_random_map
0x640a84,??_7type_object@@6B@,type_object
0x640a94,??_7type_monster@@6B@,type_monster
0x640b74,??_7type_treasure_def@@6B@,type_treasure_def
0x640b80,??_7type_artifact_def@@6B@,type_artifact_def
0x640b8c,??_7type_black_box_creature_def@@6B@,type_black_box_creature_def
0x640b98,??_7type_black_box_experience_def@@6B@,type_black_box_experience_def
0x640ba4,??_7type_black_box_gold_def@@6B@,type_black_box_gold_def
