# generator: homm3.analysis.link_order
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-25
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
rva	size	unit	current_label	provenance
0x2a30	161	adventuremapwindow		
0x2ae0	33	adventuremapwindow		
0x2e70	405	adventuremapwindow		
0x3010	522	adventuremapwindow		
0x39b0	490	adventuremapwindow		
0x3cc0	533	adventuremapwindow		
0x5680	16	adventureoptionswindow		
0x5690	33	adventureoptionswindow		
0x6480	1439	advmgr		
0x77b0	33	advmgr		
0x7b10	111	advmgr		
0x8770	49	advmgr		
0xabe0	893	advmgr		
0xd670	595	advmgr		
0xec80	10	advmgr		
0xf240	43	advmgr		
0xfca0	122	advmgr		
0x192b0	68	advmgr		
0x19c80	369	advmgr		
0x1f380	39	ai		
0x20cf0	38	ai		
0x20f00	251	ai		
0x21590	225	ai		
0x28580	289	ai_player		
0x286b0	33	ai_player		
0x286e0	38	ai_player		
0x29d50	1017	ai_player		
0x2b520	139	ai_player		
0x2b5b0	190	ai_player		
0x2b670	273	ai_player		
0x2b790	98	ai_player		
0x2b800	162	ai_player		
0x2b8b0	304	ai_player		
0x2b9e0	69	ai_player		
0x2ba30	36	ai_player		
0x2c040	21	ai_player		
0x2c060	195	ai_player		
0x2c130	326	ai_player		
0x36bf0	58	ai_tactical		
0x37a00	1786	ai_tactical		
0x3c620	477	ai_tactical		
0x3d5c0	358	army		
0x3ea00	103	army		
0x3ea70	477	army		
0x3ec50	436	army		
0x3ee10	450	army		
0x3efe0	207	army		
0x3f0b0	518	army		
0x40140	31	army		
0x40160	422	army		
0x40310	491	army		
0x409c0	505	army		
0x41cb0	702	army		
0x41f70	38	army		
0x43320	1300	army		
0x43e30	257	army		
0x456d0	356	army		
0x45840	102	army		
0x45a60	621	army		
0x45cd0	56	army		
0x45d30	393	army		
0x45ec0	268	army		
0x46940	766	army		
0x46c40	481	army		
0x47120	522	army		
0x47330	156	army		
0x473d0	317	army		
0x47510	424	army		
0x476c0	954	army		
0x47a80	1065	army		
0x47fe0	638	army		
0x487f0	67	army		
0x49df0	33	armygrp		
0x4a460	85	armygrp		
0x4c1c0	965	armygrp		
0x4fdb0	59	bitmap816		
0x4fdf0	59	bitmap816		
0x4fe30	9	bitmap816		
0x4ff50	11	border		
0x4ff60	461	border		
0x50130	109	border		
0x501a0	33	border		
0x501d0	11	border		
0x501e0	91	border		
0x50240	130	border		
0x502d0	140	border		
0x50360	33	border		
0x50550	306	border		
0x50690	140	border		
0x50720	33	border		
0x510f0	33	bottomviewsubwindow		
0x515c0	16	bottomviewsubwindow		
0x515d0	33	bottomviewsubwindow		
0x51600	229	bottomviewsubwindow		
0x516f0	33	bottomviewsubwindow		
0x51720	48	bottomviewsubwindow		
0x51750	20	bottomviewsubwindow		
0x51770	33	bottomviewsubwindow		
0x51a00	33	bottomviewsubwindow		
0x52140	33	bottomviewsubwindow		
0x52ad0	33	bottomviewsubwindow		
0x531a0	33	bottomviewsubwindow		
0x53640	33	bottomviewsubwindow		
0x56a10	16	button		
