# generator: homm3.analysis.link_order
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-25
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
rva	size	relation	owner_or_bracket	candidates	label
0x2450	1491	in-span	adventuremapwindow	adventuremapwindow	?CheckAdvCheatCode@@YIXAAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z
0x2a30	161	in-span	adventuremapwindow	adventuremapwindow	?encode@TCheatCode@@AAEXPBD@Z
0x2ae0	33	in-span	adventuremapwindow	adventuremapwindow	??_GTAdventureMapWindow@@UAEPAXI@Z
0x2b10	119	in-span	adventuremapwindow	adventuremapwindow	??1TAdventureMapWindow@@UAE@XZ
0x2b90	36	in-span	adventuremapwindow	adventuremapwindow	?animate_bottom_view@TAdventureMapWindow@@QAEXE@Z
0x2bc0	78	in-span	adventuremapwindow	adventuremapwindow	?draw_bottom_view@TAdventureMapWindow@@QAEXE@Z
0x2c10	60	in-span	adventuremapwindow	adventuremapwindow	?set_bottom_view@TAdventureMapWindow@@QAEXPAVtype_bottom_view_window@@@Z
0x2c50	536	in-span	adventuremapwindow	adventuremapwindow	?convertID2HelpID@TAdventureMapWindow@@QBEHH@Z
0x2e70	405	in-span	adventuremapwindow	adventuremapwindow	?ProcessRightSelect@TAdventureMapWindow@@QAEEPBVmessage@@@Z
0x3010	522	in-span	adventuremapwindow	adventuremapwindow	?ProcessHover@TAdventureMapWindow@@QAEEHH@Z
0x3220	89	in-span	adventuremapwindow	adventuremapwindow	?DoHeroKnob@TAdventureMapWindow@@QAEXE@Z
0x3280	89	in-span	adventuremapwindow	adventuremapwindow	?DoTownKnob@TAdventureMapWindow@@QAEXE@Z
0x32e0	308	in-span	adventuremapwindow	adventuremapwindow	?UpdateHeroLocators@TAdventureMapWindow@@QAEXHEE@Z
0x3420	305	in-span	adventuremapwindow	adventuremapwindow	?UpdateTownLocators@TAdventureMapWindow@@QAEXHEE@Z
0x3560	574	in-span	adventuremapwindow	adventuremapwindow	?UpdateHeroLocator@TAdventureMapWindow@@QAEXHEE@Z
0x37a0	279	in-span	adventuremapwindow	adventuremapwindow	?UpdateTownLocator@TAdventureMapWindow@@QAEXHEE@Z
0x38c0	236	in-span	adventuremapwindow	adventuremapwindow	?HighlightLocators@TAdventureMapWindow@@QAEXE@Z
0x39b0	490	in-span	adventuremapwindow	adventuremapwindow	?UpdateQuestLogButton@TAdventureMapWindow@@QAEXE@Z
0x3ba0	71	in-span	adventuremapwindow	adventuremapwindow	?UpdateSleepButton@TAdventureMapWindow@@QAEXPBVhero@@@Z
0x3bf0	76	in-span	adventuremapwindow	adventuremapwindow	?UpdateSpellButton@TAdventureMapWindow@@QAEXPBVhero@@@Z
0x3c40	120	in-span	adventuremapwindow	adventuremapwindow	?SetElevationToggleImage@TAdventureMapWindow@@QAEEH@Z
0x3cc0	533	in-span	adventuremapwindow	adventuremapwindow	?SetSleepImage@TAdventureMapWindow@@QAEXH@Z
0x3ee0	31	in-span	adventuremapwindow	adventuremapwindow	?ClearBottomView@TAdventureMapWindow@@QAEXXZ
0x3f00	30	in-span	adventuremapwindow	adventuremapwindow	?UpdateResourceDisplay@TAdventureMapWindow@@QAEXEE@Z
0x3f20	63	in-span	adventuremapwindow	adventuremapwindow	?DrawChatText@TAdventureMapWindow@@QAEXE@Z
0x3f60	324	in-span	adventuremapwindow	adventuremapwindow	?UpdateButtons@TAdventureMapWindow@@QAEXEE@Z
0x40b0	56	bracketed	adventuremapwindow..adventureoptionswindow	adventuremapwindow,adventureoptionswindow	TAdventureMapWindow_vslot08
0x4140	3	bracketed	adventuremapwindow..adventureoptionswindow	adventuremapwindow,adventureoptionswindow	sample_vslot03
0x4150	161	bracketed	adventuremapwindow..adventureoptionswindow	adventuremapwindow,adventureoptionswindow	game_22e0_sub01_4150
0x4200	521	bracketed	adventuremapwindow..adventureoptionswindow	adventuremapwindow,adventureoptionswindow	button_set_hotkey
0x4410	200	bracketed	adventuremapwindow..adventureoptionswindow	adventuremapwindow,adventureoptionswindow	game_invalid_bitset_n_positio_4410
0x44e0	345	bracketed	adventuremapwindow..adventureoptionswindow	adventuremapwindow,adventureoptionswindow	game_4640_sub00_44e0
0x4640	29	bracketed	adventuremapwindow..adventureoptionswindow	adventuremapwindow,adventureoptionswindow	game_4640
0x4660	33	bracketed	adventuremapwindow..adventureoptionswindow	adventuremapwindow,adventureoptionswindow	game_4660
0x4690	75	bracketed	adventuremapwindow..adventureoptionswindow	adventuremapwindow,adventureoptionswindow	game_4660_sub00_4690
0x46e0	29	bracketed	adventuremapwindow..adventureoptionswindow	adventuremapwindow,adventureoptionswindow	game_46e0
0x4700	343	bracketed	adventuremapwindow..adventureoptionswindow	adventuremapwindow,adventureoptionswindow	game_46e0_sub00_4700
0x4860	528	bracketed	adventuremapwindow..adventureoptionswindow	adventuremapwindow,adventureoptionswindow	game_4410_sub00_4860
0x4a70	20	bracketed	adventuremapwindow..adventureoptionswindow	adventuremapwindow,adventureoptionswindow	game_44e0_sub00_4a70
0x4a90	290	bracketed	adventuremapwindow..adventureoptionswindow	adventuremapwindow,adventureoptionswindow	game_4410_sub01_4a90
0x4bc0	6	bracketed	adventuremapwindow..adventureoptionswindow	adventuremapwindow,adventureoptionswindow	game_4860_sub00_4bc0
0x4c29	33	bracketed	adventuremapwindow..adventureoptionswindow	adventuremapwindow,adventureoptionswindow	game_4c29
0x4c50	136	bracketed	adventuremapwindow..adventureoptionswindow	adventuremapwindow,adventureoptionswindow	game_4bd0_sub00_4c50
0x4ce0	216	bracketed	adventuremapwindow..adventureoptionswindow	adventuremapwindow,adventureoptionswindow	game_44e0_sub01_4ce0
0x4dc0	9	bracketed	adventuremapwindow..adventureoptionswindow	adventuremapwindow,adventureoptionswindow	game_1510_sub02_4dc0
0x4df0	1	bracketed	adventuremapwindow..adventureoptionswindow	adventuremapwindow,adventureoptionswindow	border_vslot10
0x51d0	1194	in-span	adventureoptionswindow	adventureoptionswindow	??0TAdventureOptionsWindow@@QAE@XZ
0x5680	16	in-span	adventureoptionswindow	adventureoptionswindow	?handle_message@CHeroWindowEx@@UAEHAAVmessage@@@Z
0x5690	33	in-span	adventureoptionswindow	adventureoptionswindow	??_GTAdventureOptionsWindow@@UAEPAXI@Z
0x56c0	107	in-span	adventureoptionswindow	adventureoptionswindow	??1TAdventureOptionsWindow@@UAE@XZ
0x5730	508	in-span	adventureoptionswindow	adventureoptionswindow	?WindowHandler@TAdventureOptionsWindow@@UAEHPAVmessage@@@Z
0x5d20	96	bracketed	adventureoptionswindow..advmgr	adventureoptionswindow,advmgr	game_crgen1_txt_5d20
0x5d80	48	bracketed	adventureoptionswindow..advmgr	adventureoptionswindow,advmgr	ExtraInfoUnion_get_creature_bank
0x5de0	13	in-span	advmgr	advmgr	?get_black_box@ExtraInfoUnion@@QBEPAVBlackBoxData@@XZ
0x5df0	32	in-span	advmgr	advmgr	?get_creature_bank@ExtraInfoUnion@@QBEAAUtype_creature_bank@@XZ
0x5e10	28	in-span	advmgr	advmgr	?get_university@ExtraInfoUnion@@QBEPAUtype_university@@XZ
0x5e30	1611	in-span	advmgr	advmgr	?HandleNetMsg@CAdvMgrNetMsgHandler@@MAEPAVCNetMsg@@PAV2@@Z
0x6480	1439	in-span	advmgr	advmgr	hero_hero
0x6a20	455	in-span	advmgr	advmgr	?HandleGiftMsg@CAdvMgrNetMsgHandler@@IAEXPAVCNetMsg@@@Z
0x6bf0	506	in-span	advmgr	advmgr	?HandleTradeRequestMsg@CAdvMgrNetMsgHandler@@MAEXPAVCNetMsg@@@Z
0x6df0	479	in-span	advmgr	advmgr	??0advManager@@QAE@XZ
0x6fd0	2006	in-span	advmgr	advmgr	?Open@advManager@@UAEHH@Z
0x77b0	33	in-span	advmgr	advmgr	??_GCAdvMgrNetMsgHandler@@UAEPAXI@Z
0x77e0	721	in-span	advmgr	advmgr	?Close@advManager@@UAEXXZ
0x7ac0	68	in-span	advmgr	advmgr	?InMapArea@advManager@@QAEHHH@Z
0x7b10	111	in-span	advmgr	advmgr	?get_map_center@advManager@@QBE?AUtype_point@@XZ
0x7b80	3056	in-span	advmgr	advmgr	?DoAdvCommand@advManager@@QAEPAVNewmapCell@@PAUtype_point@@@Z
0x8770	49	in-span	advmgr	advmgr	?cell@NewfullMap@@QAEPAVNewmapCell@@HHH@Z
0x87b0	1159	in-span	advmgr	advmgr	?Main@advManager@@UAEHAAVmessage@@@Z
