# generator: homm3.analysis.link_order
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-25
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
after_unit	before_unit	gap_start	gap_end	bytes	fns	candidate_owners
adventuremapwindow	adventureoptionswindow	0x40a4	0x51d0	4396	33	
adventureoptionswindow	advmgr	0x592c	0x5de0	1204	14	
advmgr	advspells	0x1b0da	0x1c2f0	4630	30	
advspells	ai	0x1c482	0x1eac0	9790	20	
ai	ai_combat	0x224d9	0x23c80	6055	25	
ai_combat	ai_player	0x276bf	0x280e0	2593	17	
ai_player	ai_tactical	0x2a2a7	0x35830	46473	131	
ai_tactical	army	0x3cb08	0x3d540	2616	16	
army	armygrp	0x48d1b	0x496a0	2437	19	
armygrp	artifact	0x4c606	0x4cd50	1866	10	
artifact	basemgr	0x4d338	0x4d530	504	7	
basemgr	binkmanager	0x4d575	0x4da50	1243	4	
binkmanager	bitmap16	0x4da9d	0x4e100	1635	7	
bitmap16	bitmap816	0x4e129	0x4f9d0	6311	26	bitmap24,bitmap8
bitmap816	border	0x4fec0	0x4ff10	80	2	
border	bottomviewsubwindow	0x50854	0x50d50	1276	13	
bottomviewsubwindow	button	0x53961	0x55ef0	9615	67	
button	campaignbrief	0x56e94	0x5afb0	16668	37	
campaignbrief	campaignmap	0x5b13f	0x5dee0	11681	33	
campaignmap	campaignwindow	0x5e1f0	0x5ea40	2128	16	
campaignwindow	castle	0x5f55c	0x610e0	7044	28	
castle	cmbtmgr	0x6118c	0x62760	5588	20	
cmbtmgr	combatcontrolsubwindow	0x6a511	0x6b610	4351	22	
combatcontrolsubwindow	combatoptionswindow	0x6dc2b	0x6e3b0	1925	14	
combatoptionswindow	combatresultswindow	0x6feda	0x702d0	1014	11	
combatresultswindow	combatwindow	0x71c14	0x72010	1020	11	
combatwindow	command	0x732e2	0x74bf0	6414	24	
command	creature_bank	0x7a2cd	0x7aad0	2051	16	
creature_bank	creaturetype	0x7ab2e	0x7b120	1522	3	
creaturetype	csequence	0x7b211	0x7b840	1583	4	
csequence	csprite	0x7b8c6	0x7b920	90	2	
csprite	cspriteframe	0x7c23c	0x7c2b0	116	4	
cspriteframe	cursor	0x7d09c	0x7ffe0	12100	21	
cursor	customcampaign	0x7fffa	0x8b200	45574	166	
customcampaign	dialogbox	0x8b2d7	0x8fdc0	19177	88	dc_input,dc_precompiledheaders
dialogbox	diff	0x90b67	0x90f60	1017	11	
diff	dimensiondoorwindow	0x912ff	0x916f0	1009	11	
dimensiondoorwindow	drawing	0x91edc	0x93710	6196	16	
drawing	event_record	0x96c4d	0x9da70	28195	167	ds_engine,dxplay
event_record	exec	0x9dab1	0xb0a10	77663	150	events
exec	findpath	0xb0f35	0xb1330	1019	11	
findpath	fly	0xb3f61	0xb46c0	1887	14	
fly	font	0xb5012	0xb5070	94	2	
font	game	0xb5b90	0xb8550	10688	57	
game	gametypewindow	0xd2b20	0xd54c0	10656	43	
gametypewindow	hero	0xd5b60	0xd7470	6416	47	genericresource,global
hero	herodefs	0xe64be	0xe67a0	738	8	
herodefs	hexcell	0xe6cd8	0xe7150	1144	11	
hexcell	hillfortwindow	0xe71fd	0xe7e10	3091	13	
hillfortwindow	hiscore	0xe8bb9	0xe8fb0	1015	11	
hiscore	iconwdgt	0xe9e41	0xea720	2271	5	
iconwdgt	initialize	0xeb33d	0xebb10	2003	12	
initialize	inputmgr	0xebce9	0xec0e0	1015	11	
inputmgr	kbwin	0xeccca	0xf7a30	44390	77	kb
kbwin	levelupwindow	0xf8490	0xf8880	1008	11	
levelupwindow	lodfile	0xf9bc0	0xfa610	2640	14	
lodfile	mainmenu	0xfa655	0xfb2a0	3147	18	
mainmenu	mapcell	0xfbb94	0xfbf90	1020	11	
mapcell	misc	0x105d12	0x10b1d0	21694	80	
misc	monframeinfo	0x10c7e2	0x10c810	46	1	
monframeinfo	mousemgr	0x10cb26	0x10cb50	42	1	
mousemgr	multiplayerwindow	0x10da57	0x1123d0	18809	51	
multiplayerwindow	newgame	0x112534	0x1132b0	3452	36	
newgame	overview	0x113320	0x11e330	45072	154	
overview	palette	0x11e66a	0x122940	17110	21	
palette	path	0x12294b	0x1239d0	4229	27	
path	philai	0x123edf	0x127aa0	15297	47	
philai	puzzlewindow	0x127af6	0x12c1e0	18154	65	playvideo
puzzlewindow	questlogwindow	0x12cf0b	0x12e1e0	4821	14	
questlogwindow	quickherowindow	0x12e42d	0x12ead0	1699	13	
quickherowindow	quickinfowindow	0x12f43b	0x12f8c0	1157	12	
quickinfowindow	quicktownwindow	0x12fd2b	0x130120	1013	11	
quicktownwindow	recruit	0x130d3d	0x14e750	121363	302	
recruit	remote	0x15174b	0x153220	6869	27	
remote	resource	0x157f71	0x158720	1967	13	
resource	resourcedisplay	0x1587a7	0x158ba0	1017	11	
resourcedisplay	resourcemanager	0x1590c4	0x1590f0	44	1	
resourcemanager	sacrifice_window	0x15c12a	0x15fce0	15286	90	ressw
sacrifice_window	sample	0x166758	0x166da0	1608	5	
sample	scenarioinfo	0x166e89	0x169800	10615	17	
scenarioinfo	search	0x1699b2	0x16a0d0	1822	12	
search	seerhut	0x16a352	0x16d3e0	12430	42	
seerhut	singleselectionpopups	0x17460c	0x175a10	5124	25	
singleselectionpopups	singleselectionwindow	0x175a20	0x177c90	8816	44	
singleselectionwindow	slider	0x177cdd	0x196050	123763	204	
slider	smackmgr	0x197185	0x1971b0	43	1	
smackmgr	soundmgr	0x197cf4	0x1994b0	6076	23	
soundmgr	spellbookwindow	0x19b295	0x19c8f0	5723	26	
spellbookwindow	spelldefs	0x19c9a0	0x19e060	5824	6	
spelldefs	spells	0x19e4af	0x1a3700	21073	29	
spells	strip	0x1a939c	0x1a9d20	2436	15	
strip	subwindow	0x1aa31e	0x1aa340	34	1	
subwindow	swapmgr	0x1aa68a	0x1b1380	27894	34	
swapmgr	systemoptionswindow	0x1b139c	0x1b1790	1012	11	
systemoptionswindow	text	0x1b375e	0x1b90f0	22930	94	
text	textntry	0x1b9109	0x1ba920	6167	38	
textntry	textresource	0x1bbab4	0x1bbba0	236	3	
textresource	textwdgt	0x1bc1ef	0x1bc3b0	449	4	
textwdgt	town	0x1bc86c	0x1bd700	3732	15	
town	towngatewindow	0x1c14b9	0x1c2370	3767	14	
towngatewindow	townmgr	0x1c23ff	0x1c3310	3857	20	
townmgr	tradpost	0x1df1ff	0x1e1650	9297	13	
tradpost	u2dvers	0x1ecd1b	0x1eeda0	8325	14	
u2dvers	university_window	0x1ef065	0x1f0dc0	7515	18	
university_window	victorylossconditions	0x1f11ad	0x1f15a0	1011	11	
victorylossconditions	viewarmywindow	0x1f2f70	0x1f3360	1008	11	
