# generator: homm3.analysis.link_order
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-07
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
position	unit	first_rva	end_rva	gap_to_next
0	adventuremapwindow	0x1510	0x40a4	7484
1	advmgr	0x5de0	0x1b0da	14822
2	ai	0x1eac0	0x224d9	6055
3	ai_combat	0x23c80	0x27323	4333
4	ai_player	0x28410	0x2a2a7	46505
5	ai_tactical	0x35850	0x3cb08	2616
6	army	0x3d540	0x48d1b	2437
7	armygrp	0x496a0	0x4c606	3882
8	basemgr	0x4d530	0x4d575	3387
9	bitmap16	0x4e2b0	0x4e5e3	5101
10	bitmap816	0x4f9d0	0x4fec0	144
11	border	0x4ff50	0x50854	6556
12	bottomviewsubwindow	0x521f0	0x52ac4	13356
13	button	0x55ef0	0x56e94	16668
14	campaignbrief	0x5afb0	0x5b13f	24481
15	castle	0x610e0	0x61129	5687
16	cmbtmgr	0x62760	0x6a45c	42900
17	command	0x74bf0	0x7a2cd	6179
18	csprite	0x7baf0	0x7c23c	500
19	cspriteframe	0x7c430	0x7c557	83401
20	dialogbox	0x90b20	0x90b4c	11204
21	drawing	0x93710	0x9683a	26918
22	event_record	0x9d160	0x9d630	2880
23	events	0x9e170	0xacc94	14796
24	exec	0xb0660	0xb0f35	347
25	findpath	0xb1090	0xb3f61	1215
26	fly	0xb4420	0xb447f	3217
27	font	0xb5110	0xb5b90	10688
28	game	0xb8550	0xceca8	34760
29	hero	0xd7470	0xe6771	47
30	herodefs	0xe67a0	0xe714f	1
31	hexcell	0xe7150	0xe71fd	13747
32	iconwdgt	0xea7b0	0xeb33d	2003
33	initialize	0xebb10	0xebce9	1015
34	inputmgr	0xec0e0	0xeccca	1990
35	kb	0xed490	0xf7a04	44
36	kbwin	0xf7a30	0xf8490	8576
37	lodfile	0xfa610	0xfac34	4956
38	mapcell	0xfbf90	0x105d12	21694
39	misc	0x10b1d0	0x10c792	126
40	monframeinfo	0x10c810	0x10cb26	42
41	mousemgr	0x10cb50	0x10da57	85737
42	palette	0x122940	0x1235dc	1012
43	path	0x1239d0	0x123edf	1649
44	philai	0x124550	0x12bc57	142073
45	recruit	0x14e750	0x150934	13260
46	remote	0x153d00	0x157e21	2303
47	resource	0x158720	0x1587a7	1017
48	resourcedisplay	0x158ba0	0x1590c4	12252
49	resourcemanager	0x15c0a0	0x15c12a	44150
50	sample	0x166da0	0x166e89	12871
51	search	0x16a0d0	0x16a352	179758
52	slider	0x196180	0x1961d9	4055
53	smackmgr	0x1971b0	0x197cf4	6764
54	soundmgr	0x199760	0x19b07a	58086
55	spells	0x1a9360	0x1a939c	2436
56	strip	0x1a9d20	0x1aa31e	242
57	subwindow	0x1aa410	0x1aa68a	66646
58	textntry	0x1baae0	0x1bac44	4492
59	textresource	0x1bbdd0	0x1bc1ef	449
60	textwdgt	0x1bc3b0	0x1bc75a	5926
61	town	0x1bde80	0x1c14b9	71047
62	townmgr	0x1d2a40	0x1d2d75	114731
63	u2dvers	0x1eeda0	0x1ef065	9531
64	victorylossconditions	0x1f15a0	0x1f2f70	46032
65	widget	0x1fe340	0x1fe9c3	45
66	window	0x1fe9f0	0x1ff955	459
67	winfile	0x1ffb20	0x1ffdc2	5918
68	wingraph	0x2014e0	0x2019fa	2422
69	winmgr	0x202370	0x202cb3	0
