# generator: homm3.analysis.link_order
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-08
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
unit	first_rva	end_rva	span	anchors	residents	fns_in_span	claimed	unclaimed
adventuremapwindow	0x1510	0x40a4	11156	24	1	34	24	10
advmgr	0x5de0	0x1b0da	86778	54	0	112	54	58
ai	0x1eac0	0x224d9	14873	29	0	33	29	4
ai_combat	0x23c80	0x27747	15047	36	1	36	36	0
ai_player	0x28410	0x2a2a7	7831	10	2	15	10	5
ai_tactical	0x35830	0x3cb08	29400	85	0	88	85	3
army	0x3d540	0x48d1b	47067	71	0	93	71	22
armygrp	0x496a0	0x4c606	12134	35	0	36	35	1
basemgr	0x4d530	0x4d575	69	1	0	1	1	0
bitmap16	0x4e2b0	0x4e5e3	819	4	0	4	4	0
bitmap816	0x4f9d0	0x4fec0	1264	2	0	10	2	8
border	0x4ff50	0x50854	2308	11	0	22	11	11
bottomviewsubwindow	0x521f0	0x52ac4	2260	1	0	1	1	0
button	0x55ef0	0x56e94	4004	12	0	15	12	3
campaignbrief	0x5afb0	0x5b13f	399	1	0	1	1	0
castle	0x610e0	0x61129	73	1	0	1	1	0
cmbtmgr	0x62760	0x6a45c	31996	34	0	72	34	38
command	0x74bf0	0x7a2cd	22237	11	0	28	11	17
csprite	0x7baf0	0x7c23c	1868	4	0	22	4	18
cspriteframe	0x7c430	0x7c557	295	2	0	2	2	0
dialogbox	0x90b20	0x90b4c	44	1	0	1	1	0
drawing	0x93710	0x9683a	12586	13	0	23	13	10
event_record	0x9d160	0x9d630	1232	2	0	2	2	0
events	0x9e170	0xacc94	60196	24	0	92	24	68
exec	0xb0a10	0xb0f35	1317	5	0	8	5	3
findpath	0xb1370	0xb3f61	11249	17	0	18	17	1
font	0xb5110	0xb5b90	2688	11	0	13	11	2
game	0xb8550	0xceca8	91992	65	0	176	65	111
hero	0xd7470	0xe64be	61518	88	0	130	88	42
herodefs	0xe67a0	0xe6cd8	1336	3	0	3	3	0
hexcell	0xe7150	0xe71fd	173	3	0	3	3	0
iconwdgt	0xea7b0	0xeb33d	2957	8	0	10	8	2
initialize	0xebb10	0xebce9	473	3	0	3	3	0
inputmgr	0xec0e0	0xeccca	3050	10	0	12	10	2
kb	0xed490	0xf7a04	42356	11	0	57	11	46
kbwin	0xf7a30	0xf8490	2656	12	0	12	12	0
lodfile	0xfa590	0xfac34	1700	8	0	8	8	0
mainmenu	0xfb2a0	0xfbb94	2292	5	0	5	5	0
mapcell	0xfbf90	0x105d12	40322	65	0	78	65	13
misc	0x10b1d0	0x10c792	5570	7	0	15	7	8
monframeinfo	0x10c810	0x10cb26	790	2	0	2	2	0
mousemgr	0x10cb50	0x10da57	3847	13	0	15	13	2
palette	0x122940	0x1235dc	3228	16	0	17	16	1
path	0x1239d0	0x123edf	1295	8	0	8	8	0
philai	0x124550	0x12bc57	30471	10	0	81	10	71
recruit	0x14e750	0x15174b	12283	8	0	16	8	8
remote	0x153d00	0x157e21	16673	18	0	96	18	78
resource	0x158720	0x1587a7	135	2	0	3	2	1
resourcedisplay	0x158ba0	0x1590c4	1316	4	0	5	4	1
resourcemanager	0x15c0a0	0x15c12a	138	1	0	1	1	0
sample	0x166da0	0x166e89	233	2	0	3	2	1
search	0x16a0d0	0x16a352	642	1	0	1	1	0
slider	0x196180	0x1961d9	89	1	0	1	1	0
smackmgr	0x1971b0	0x197cf4	2884	14	0	14	14	0
soundmgr	0x1994b0	0x19b07a	7114	19	0	27	19	8
spells	0x1a9360	0x1a939c	60	1	0	1	1	0
strip	0x1a9d20	0x1aa31e	1534	5	0	5	5	0
subwindow	0x1aa410	0x1aa68a	634	6	0	6	6	0
textntry	0x1baae0	0x1bac44	356	3	0	3	3	0
textresource	0x1bbdd0	0x1bc1ef	1055	2	0	6	2	4
textwdgt	0x1bc3b0	0x1bc75a	938	2	0	6	2	4
town	0x1bde80	0x1c14b9	13881	33	0	46	33	13
townmgr	0x1d2a40	0x1d2d75	821	1	0	1	1	0
u2dvers	0x1eeda0	0x1ef065	709	3	0	3	3	0
victorylossconditions	0x1f15a0	0x1f2f70	6608	17	0	19	17	2
widget	0x1fe340	0x1fe9c3	1667	11	0	12	11	1
window	0x1fe9f0	0x1ff955	3941	23	0	31	23	8
winfile	0x1ffb20	0x1ffdc2	674	14	0	14	14	0
wingraph	0x2014e0	0x2019fa	1306	4	0	6	4	2
winmgr	0x202370	0x202cb3	2371	6	0	8	6	2
