# GENERATED: python3 -m homm3.carve dcmap - Dreamcast CodeView names transferred by link order.
# generator: homm3.carve.dcmap
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-04
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
# The Dreamcast build is ANOTHER PRESSING (RoE sources, SH4 code): no address or byte
# evidence crosses over - only link order does. role=linkorder rows are NEW names,
# confidence linkorder-candidate (order evidence only); anchor/corroborates rows are the
# correlation skeleton over already-named entries.
rva,size,role,name,signature,dc_module,dc_offset,dc_cb,source
0x1510,3253,anchor-global,TAdventureMapWindow::TAdventureMapWindow,void TAdventureMapWindow::TAdventureMapWindow(),adventuremapwindow.obj,0x89c,768,E:\gamedcs\adventuremapwindow.cpp:318
0x2b10,119,anchor-global,TAdventureMapWindow::~TAdventureMapWindow,void TAdventureMapWindow::~TAdventureMapWindow(),adventuremapwindow.obj,0xb9c,84,E:\gamedcs\adventuremapwindow.cpp:489
0x2b90,36,anchor-global,TAdventureMapWindow::animate_bottom_view,void TAdventureMapWindow::animate_bottom_view(unsigned char in_background),adventuremapwindow.obj,0xbf0,42,E:\gamedcs\adventuremapwindow.cpp:505
0x2bc0,78,anchor-global,TAdventureMapWindow::draw_bottom_view,void TAdventureMapWindow::draw_bottom_view(unsigned char update),adventuremapwindow.obj,0xc1c,64,E:\gamedcs\adventuremapwindow.cpp:514
0x2c10,60,anchor-global,TAdventureMapWindow::set_bottom_view,void TAdventureMapWindow::set_bottom_view(type_bottom_view_window* new_view),adventuremapwindow.obj,0xc5c,30,E:\gamedcs\adventuremapwindow.cpp:526
0x2c50,536,anchor-global,TAdventureMapWindow::convertID2HelpID,int TAdventureMapWindow::convertID2HelpID(int id),adventuremapwindow.obj,0xc7c,268,E:\gamedcs\adventuremapwindow.cpp:532
0x2e70,405,anchor-global,TAdventureMapWindow::ProcessRightSelect,unsigned char TAdventureMapWindow::ProcessRightSelect(const message* msg),adventuremapwindow.obj,0xd88,334,E:\gamedcs\adventuremapwindow.cpp:609
0x3010,522,anchor-global,TAdventureMapWindow::ProcessHover,"unsigned char TAdventureMapWindow::ProcessHover(int hx, int hy)",adventuremapwindow.obj,0xed8,516,E:\gamedcs\adventuremapwindow.cpp:678
0x3220,89,anchor-global,TAdventureMapWindow::DoHeroKnob,void TAdventureMapWindow::DoHeroKnob(),adventuremapwindow.obj,0x10dc,4,E:\gamedcs\adventuremapwindow.cpp:805
0x3280,89,anchor-global,TAdventureMapWindow::DoTownKnob,void TAdventureMapWindow::DoTownKnob(),adventuremapwindow.obj,0x10e0,4,E:\gamedcs\adventuremapwindow.cpp:827
0x32e0,308,anchor-global,TAdventureMapWindow::UpdateHeroLocators,void TAdventureMapWindow::UpdateHeroLocators(),adventuremapwindow.obj,0x10e4,4,E:\gamedcs\adventuremapwindow.cpp:853
0x3420,305,anchor-global,TAdventureMapWindow::UpdateTownLocators,void TAdventureMapWindow::UpdateTownLocators(),adventuremapwindow.obj,0x10e8,4,E:\gamedcs\adventuremapwindow.cpp:914
0x3560,574,anchor-global,TAdventureMapWindow::UpdateHeroLocator,void TAdventureMapWindow::UpdateHeroLocator(),adventuremapwindow.obj,0x10ec,4,E:\gamedcs\adventuremapwindow.cpp:972
0x37a0,279,anchor-global,TAdventureMapWindow::UpdateTownLocator,void TAdventureMapWindow::UpdateTownLocator(),adventuremapwindow.obj,0x10f0,4,E:\gamedcs\adventuremapwindow.cpp:1043
0x38c0,236,anchor-global,TAdventureMapWindow::HighlightLocators,void TAdventureMapWindow::HighlightLocators(),adventuremapwindow.obj,0x10f4,64,E:\gamedcs\adventuremapwindow.cpp:1080
0x39b0,490,anchor-global,TAdventureMapWindow::UpdateQuestLogButton,void TAdventureMapWindow::UpdateQuestLogButton(),adventuremapwindow.obj,0x1134,4,E:\gamedcs\adventuremapwindow.cpp:1119
0x3ba0,71,anchor-global,TAdventureMapWindow::UpdateSleepButton,void TAdventureMapWindow::UpdateSleepButton(),adventuremapwindow.obj,0x1138,4,E:\gamedcs\adventuremapwindow.cpp:1153
0x3bf0,76,anchor-global,TAdventureMapWindow::UpdateSpellButton,void TAdventureMapWindow::UpdateSpellButton(const hero* this_hero),adventuremapwindow.obj,0x113c,76,E:\gamedcs\adventuremapwindow.cpp:1171
0x3c40,120,anchor-global,TAdventureMapWindow::SetElevationToggleImage,unsigned char TAdventureMapWindow::SetElevationToggleImage(int level),adventuremapwindow.obj,0x1188,4,E:\gamedcs\adventuremapwindow.cpp:1190
0x3cc0,533,anchor-global,TAdventureMapWindow::SetSleepImage,void TAdventureMapWindow::SetSleepImage(),adventuremapwindow.obj,0x118c,4,E:\gamedcs\adventuremapwindow.cpp:1216
0x3ee0,31,anchor-global,TAdventureMapWindow::ClearBottomView,void TAdventureMapWindow::ClearBottomView(),adventuremapwindow.obj,0x1190,44,E:\gamedcs\adventuremapwindow.cpp:1244
0x3f00,30,anchor-global,TAdventureMapWindow::UpdateResourceDisplay,"void TAdventureMapWindow::UpdateResourceDisplay(unsigned char draw, unsigned char update)",adventuremapwindow.obj,0x11bc,56,E:\gamedcs\adventuremapwindow.cpp:1253
0x3f20,63,anchor-global,TAdventureMapWindow::DrawChatText,void TAdventureMapWindow::DrawChatText(unsigned char update),adventuremapwindow.obj,0x11f4,68,E:\gamedcs\adventuremapwindow.cpp:1265
0x3f60,324,anchor-global,TAdventureMapWindow::UpdateButtons,void TAdventureMapWindow::UpdateButtons(),adventuremapwindow.obj,0x125c,40,E:\gamedcs\adventuremapwindow.cpp:1284
0x4200,521,anchor-global,button::set_hotkey,void button::set_hotkey(int code),adventuremapwindow.obj,0x2e10,32,E:\gamedcs\button.h:104
0x5de0,13,anchor-global,ExtraInfoUnion::get_black_box,BlackBoxData* ExtraInfoUnion::get_black_box(),advmgr.obj,0x5864,34,E:\gamedcs\advmgr.cpp:392
0x5df0,32,anchor-bracket,ExtraInfoUnion::get_creature_bank,type_creature_bank* ExtraInfoUnion::get_creature_bank(),advmgr.obj,0x5888,52,E:\gamedcs\advmgr.cpp:400
0x5e10,28,anchor-global,ExtraInfoUnion::get_university,type_university* ExtraInfoUnion::get_university(),advmgr.obj,0x58bc,52,E:\gamedcs\advmgr.cpp:408
0x6df0,479,anchor-global,advManager::advManager,void advManager::advManager(),advmgr.obj,0x66f4,1072,E:\gamedcs\advmgr.cpp:734
0x7ac0,68,anchor-global,advManager::InMapArea,"int advManager::InMapArea(int x, int y)",advmgr.obj,0x793c,116,E:\gamedcs\advmgr.cpp:1217
0x7b80,3056,anchor-global,advManager::DoAdvCommand,NewmapCell* advManager::DoAdvCommand(type_point* trigger_point),advmgr.obj,0x7a8c,3000,E:\gamedcs\advmgr.cpp:1253
0xb0e0,100,anchor-global,advManager::DrawRolloverText,void advManager::DrawRolloverText(char* text),advmgr.obj,0xc094,166,E:\gamedcs\advmgr.cpp:3130
0xb150,8860,anchor-global,advManager::SetRolloverText,"void advManager::SetRolloverText(NewmapCell* testCell, int rx, int ry)",advmgr.obj,0xc13c,11328,E:\gamedcs\advmgr.cpp:3146
0xe280,211,anchor-global,advManager::get_normal_cursor,type_adventure_cursor advManager::get_normal_cursor(NewmapCell* currCell),advmgr.obj,0xf2c0,232,E:\gamedcs\advmgr.cpp:4530
0xf270,125,anchor-global,advManager::UpdateScreen,"void advManager::UpdateScreen(int bAllowIntermediateMouse, int bForceDraw)",advmgr.obj,0x10520,288,E:\gamedcs\advmgr.cpp:4983
0xf2f0,248,linkorder,advManager::DrawAdventureMapGems,void advManager::DrawAdventureMapGems(),advmgr.obj,0x10640,328,E:\gamedcs\advmgr.cpp:5002
0xf3f0,1149,linkorder,advManager::CompleteDraw,"void advManager::CompleteDraw(int start_x, int start_y, int z, unsigned char bForceDraw, unsigned char bUpdateBottomView)",advmgr.obj,0x10788,1300,E:\gamedcs\advmgr.cpp:5026
0xf870,67,linkorder,advManager::CompleteDraw,void advManager::CompleteDraw(unsigned char bForceDraw),advmgr.obj,0x10c9c,86,E:\gamedcs\advmgr.cpp:5223
0xf8c0,613,anchor-global,advManager::GetCloudLookup,"int advManager::GetCloudLookup(int srcX, int srcY, int z)",advmgr.obj,0x10cf4,972,E:\gamedcs\advmgr.cpp:5505
0xfb30,359,linkorder,advManager::ScanForHeroOrBoat,"unsigned char advManager::ScanForHeroOrBoat(int srcX, int srcY, int z, unsigned short type, []* parts)",advmgr.obj,0x110c0,374,E:\gamedcs\advmgr.cpp:5573
0xfca0,122,anchor-global,hasFlag,unsigned char hasFlag(int objType),advmgr.obj,0x11238,100,E:\gamedcs\advmgr.cpp:5614
0xfd20,270,anchor-global,GetFlaggedObjectOwner,int GetFlaggedObjectOwner(NewmapCell* thisCell),advmgr.obj,0x1129c,392,E:\gamedcs\advmgr.cpp:5634
0x15d60,120,anchor-global,advManager::OverrideBottomView,"void advManager::OverrideBottomView(advManager::EBottomViewType view, int time)",advmgr.obj,0x18c84,180,E:\gamedcs\advmgr.cpp:8822
0x15de0,320,anchor-global,advManager::UpdBottomView,"void advManager::UpdBottomView(unsigned char force_update, unsigned char bDrawWindow, unsigned char bUpdate)",advmgr.obj,0x18d38,528,E:\gamedcs\advmgr.cpp:8864
0x15f20,135,linkorder,advManager::UpdBottomViewEnemyTurn,unsigned char advManager::UpdBottomViewEnemyTurn(unsigned char force_update),advmgr.obj,0x18f48,124,E:\gamedcs\advmgr.cpp:8935
0x15fb0,176,linkorder,advManager::UpdBottomViewNewTurn,unsigned char advManager::UpdBottomViewNewTurn(unsigned char force_update),advmgr.obj,0x18fc4,212,E:\gamedcs\advmgr.cpp:8950
0x16060,247,anchor-global,advManager::BVResMsg,"void advManager::BVResMsg(const char* cMsg, int iResType, int iResQty)",advmgr.obj,0x19098,98,E:\gamedcs\advmgr.cpp:8968
