# generator: python3 -m homm3.vc6.genab run
# date: 2026-08-09
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - regenerate, never hand-edit
# sp3-c2: 12.00.8447 sha256 a0cc45f83fd0ed009aa4f43df5598105a1049ad9675de0b1089be7cce7d3c153 size 737329 (pinned toolchain)
# rtm-c2: 12.00.8168.0 sha256 45187b0b6288240f73272a7c61e6329c50048a76e57db3bb87b6f0229e09e27d size 737329 (staged ../orig/vc6-rtm/C2.DLL)
# metric: align = _align.distance (unpaired register-visible masked slots), flow = _flow.distance (branch-shape); verdict grades at align+flow==0 - REGISTER-VISIBLE+BRANCH-SHAPE, weaker than byte-exact (absolute addresses masked)
# retail_producer: delinked = build/objdiff/target/<unit>.c.obj (same disassembler both sides); capstone = image producer (cross-producer skew inflates distances)
fn	unit	rva	size	sp3_align	sp3_flow	rtm_align	rtm_flow	sp3_vs_rtm	retail_producer	verdict	note
?FindPath@army@@QAEHHHEE@Z	path	0x1239d0	0x96	0	0	0	0	0	delinked	SP3-matches	
?GetAdjacentCellIndex@army@@QBEHHH@Z	path	0x123d90	0x57	0	0	0	0	0	delinked	SP3-matches	
?ValidAttack@army@@QAEHHHHHPAH@Z	path	0x123bb0	0x1df	70	59	70	59	0	delinked	neither	RTM output identical to SP3 - not a generation wall
?AppWndProc@@YGJPAUHWND__@@IIJ@Z	kbwin	0xf7c00	0x394	29	0	29	0	0	delinked	neither	RTM output identical to SP3 - not a generation wall
?check_shipyard_square@@YIEPAVtown@@JJ@Z	town	0x1c0c90	0x89	0	0	0	0	0	delinked	SP3-matches	
?get_legion_bonus@town@@QAEJJ@Z	town	0x1bf810	0xe2	21	3	21	3	0	delinked	neither	RTM output identical to SP3 - not a generation wall
?VideoRealignBuffers@@YIXXZ	smackmgr	0x1971f0	0xd9	6	0	6	0	0	delinked	neither	RTM output identical to SP3 - not a generation wall
?VideoClose@@YIXXZ	smackmgr	0x1975f0	0xe1	2	20	2	20	0	delinked	neither	RTM output identical to SP3 - not a generation wall
?DoCompAI@combatManager@@QAEXH@Z	ai	0x221f0	0xd0	1	0	1	0	0	delinked	neither	RTM output identical to SP3 - not a generation wall
?move_toward@combatManager@@QAEEPBVarmy@@JPBJE@Z	ai	0x1f580	0x304	0	0	0	0	0	delinked	SP3-matches	
?cast_enchantment@type_AI_combat_data@@QAEXAAUtype_spell_choice@@AAV1@@Z	ai_combat	0x25b10	0xb4	0	0	0	0	0	delinked	SP3-matches	
?get_ranged_attack_value@type_AI_combat_parameters@@QAEJPBVarmy@@0@Z	ai_tactical	0x35cb0	0x10e	0	0	0	0	0	delinked	SP3-matches	
?Main@button@@UAEHPAVmessage@@@Z	button	0x56190	0x6cf	245	48	245	48	0	delinked	neither	RTM output identical to SP3 - not a generation wall
?StartMP3@soundManager@@QAEXPBDHE@Z	soundmgr	0x19acb0	0x355	2	0	2	0	0	delinked	neither	RTM output identical to SP3 - not a generation wall
?CenterWindow@heroWindow@@QAEXHH@Z	window	0x1ff240	0x162	79	0	79	0	0	delinked	neither	RTM output identical to SP3 - not a generation wall
??0TPickANumber@@QAE@HH@Z	misc	0x10c6e0	0x55	37	0	37	0	0	delinked	neither	RTM output identical to SP3 - not a generation wall
?NextRandomFrame@iconWidget@@QAEXXZ	iconwdgt	0xeb060	0x1eb	172	4	172	4	0	delinked	neither	RTM output identical to SP3 - not a generation wall
?NextRandomSiegeEngineFrame@iconWidget@@QAEXXZ	iconwdgt	0xeb250	0xed	59	0	59	0	0	delinked	neither	RTM output identical to SP3 - not a generation wall
?GiveSpells@town@@QAEXPAVhero@@@Z	town	0x1be030	0x1d3	18	35	20	34	7	delinked	neither	RTM farther (54 vs 53)
?initialize_spells@town@@QAEXPBVTownExtra@@@Z	town	0x1be600	0x32a	148	38	156	44	24	delinked	neither	RTM farther (200 vs 186)
?SetMenus@@YIXPAUHMENU__@@H@Z	kbwin	0xf8220	0xb2	6	0	8	2	4	delinked	neither	RTM farther (10 vs 6)
