# generator: homm3.vc6.argv
# date: 2026-08-09
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - regenerate, never hand-edit
# subject: CL.EXE sha256=d9220fdfaf355c81f26e7b03c5dc628ec72ff81c99dc38ed98b1ad4bdbbb309c (driver 12.00.8168)
# spec table: .rdata file 0x7550..0x8450, 192 records of 0x14 bytes (base VA 0x407550, referenced from .text 0x20b1/0x20c3)
# compound-prefix table: .rdata file 0x74e8 (EH, G, O, Z)
# slot4 = requires-one-of list (D4007) or handler:<.text VA> for '@' patterns
# columns: file_off	pattern	expansion1	expansion2	expansion3	slot4
0x7550	Bbb2	2M=*	.	.	.
0x7564	Bk:>#	D=Bk,=bil:*,m=*:*	.	.	.
0x7578	BK:>#	D=Bk,=bil:*,=bd:1,=bd:P,m=*:*	.	.	.
0x758c	bzalign	2M=*	.	.	.
0x75a0	B2!+	DM=bp:2*	.	.	.
0x75b4	Bp2!+	DM=bx:2*	.	.	.
0x75c8	^dos	2=*	.	.	.
0x75dc	EHa	P2M=*,PM-D!_CPPUNWIND	.	=EHa-,=EHs	.
0x75f0	EHa-	D=*	.	=EHa,=D!_CPPUNWIND	.
0x7604	EHs	P2M=*,PM-D!_CPPUNWIND	.	=EHs-,=EHa	.
0x7618	EHs-	D=*	.	=EHs,=D!_CPPUNWIND	.
0x762c	EHc	PM=*	.	=EHc-	=EHa,=EHs,=GX
0x7640	EHc-	D=*	.	=EHc	.
0x7654	FA:#	D=bA:2M a,2M=FA!a*	.	=FA:?,=bA:?	.
0x7668	Fa:>#	2m=Fa:(*|%b),D=bA:2M a,-bo:Fa Fa (*|%b)	.	=Fa:?,=bA:?,=bo:Fa?	.
0x767c	Fc:>#	2m=Fa:(*|%b),D=bA:2M asc,-bo:Fa Fc (*|%b)	.	=FA:?,=Fa:?,=bA:?,=bo:Fa?	.
0x7690	Fl:>#	2m=Fa:(*|%b),D=bA:2M ac,-bo:Fa Fl (*|%b)	.	=FA:?,=Fa:?,=bA:?,=bo:Fa?	.
0x76a4	FP:?#	.	.	.	.
0x76b8	Fs:?#	.	.	.	.
0x76cc	G3	D=*,1PM-D!_M_IX86=300,1P2M-G4	.	=G4,=G5,=G6,=GB,=D!_M_IX86=?	.
0x76e0	G4	D=*,1PM-D!_M_IX86=400,1P2M-G4	.	=G3,=G5,=G6,=GB,=D!_M_IX86=?	.
0x76f4	G5	D=*,1PM-D!_M_IX86=500,1P2M-G5	.	=G3,=G4,=G6,=GB,=D!_M_IX86=?	.
0x7708	G6	D=*,1PM-D!_M_IX86=600,1P2M-G6	.	=G3,=G4,=G5,=GB,=D!_M_IX86=?	.
0x771c	GB	D=*,1PM-D!_M_IX86=500,1P2M-G5	.	=G3,=G4,=G5,=G6,=D!_M_IX86=?	.
0x7730	Gd	1PM=*	=Gr,=Gz	.	.
0x7744	Ge	D=*,2M=Gs!0	.	=Gs:?	.
0x7758	Gi	D=*	.	=Gi-	.
0x776c	Gi-	D=*	.	=Gi	.
0x7780	Gr	1MP=*	=Gd,=Gz	.	.
0x7794	Gs:$x[0,10-4294967295,4096]	1P=*,2M=*!(*|4096)	.	=Ge,=Gs:?	.
0x77a8	GM	1PM=*	.	.	.
0x77bc	GX	D=*,P2M-EHs,PM-EHc,-D!_CPPUNWIND	.	=GX-,-EHa,-EHs-,-EHc-	.
0x77d0	GX-	D=*	.	=GX,=D!_CPPUNWIND,=EHa,=EHs	.
0x77e4	Gz	1PM=*	=Gd,=Gr	.	.
0x77f8	GZ	2M=*	=Og,=O1,=O2,=Ox	.	.
0x780c	GE:?#	.	.	.	.
0x7820	Gp:?#	.	.	.	.
0x7834	Gt:?#	.	.	.	.
0x7848	nl!*x	2M=H:*	.	.	.
0x785c	o!>+	D=Fe:(*|%b)<%X,C=out\:!(*|%b)<%X	.	.	.
0x7870	O	1PM=Ot	.	=Os	.
0x7884	O1	D=*,1PM-Gf,-Og,-Os,-Oy,-Ob1,2M-Gy	=GZ,=ZI	=Od,=Ox,=O2,-GF,-Oi,-Ot,-Oy-,-Ob0,-Ob2	.
0x7898	O2	D=*,1PM-Gf,-Og,-Oi,-Ot,-Oy,-Ob1,2M-Gy	=GZ,=ZI	=Od,=O1,-GF,-Os,-Oy-,-Ob0,-Ob2	.
0x78ac	Ob0	1PM=*	.	=Ob1,=Ob2	.
0x78c0	Ob1	1PM=*	=ZI	=Ob0,=Ob2	.
0x78d4	Ob2	1PM=*	=ZI	=Ob0,=Ob1	.
0x78e8	Od	D=*,1PM-Ob0,-Ot	.	=Ox,=O1,=O2,=Og,-Gf,-Oi,-Os,-Oy,-Ob1,-Ob2	.
0x78fc	Op	1PM=*	.	=Op-	.
0x7910	Op-	D=*	.	=Op	.
0x7924	Os	1PM=*	.	=Ot	.
0x7938	Ot	1PM=*	.	=Os	.
0x794c	Ox	D=*,1PM-Og,-Oi,-Ot,-Oy,-Ob1	=GZ,=ZI	=Od,=O1,-Os,-Oy-,-Ob0,-Ob2	.
0x7960	Oy	1PM=*	.	=Oy-	.
0x7974	Oy-	D=*	.	=Oy	.
0x7988	OV:?#	.	.	.	.
0x799c	QI0f	2M=*	.	=QI0f-	.
0x79b0	QI0f-	D=*	.	=QI0f	.
0x79c4	QIfdiv	2M=*	.	=QIfdiv-	.
0x79d8	QIfdiv-	D=*	.	=QIfdiv	.
0x79ec	QIfist	2M=*	.	=QIfist-	.
0x7a00	QIfist-	D=*	.	=QIfist	.
0x7a14	^xenix	.	.	=dos	.
0x7a28	QIf	2M=*	.	.	.
0x7a3c	ehopt	2M=*	.	=noehopt	.
0x7a50	noehopt	2M=*	.	=ehopt	.
0x7a64	debug_thread	2M=*	.	.	.
0x7a78	force_thread	1P=thread,2M=*	.	.	.
0x7a8c	thread	1PM=thread,2=force_thread,=debug_thread	.	.	.
0x7aa0	?	D=bh	.	.	.
0x7ab4	^bC!*	C=!*	.	.	.
0x7ac8	^bS!*	S=!*	.	.	.
0x7adc	Bd	D=bv,1P2=*	.	.	.
0x7af0	Bz	D=bv,=*	.	.	.
0x7b04	Bv	D=*	.	.	.
0x7b18	B1!+	DM=bp:1*	.	.	.
0x7b2c	Bx!+	DM=bp:P*	.	.	.
0x7b40	Bl!+	D=bp:C*	.	.	.
0x7b54	Brepro	D1P2CM=*	.	.	.
0x7b68	Bp1!+	DM=bx:1*	.	.	.
0x7b7c	Bpx!+	DM=bx:P*	.	.	.
0x7b90	Bpl!+	DM=bx:C*	.	.	.
0x7ba4	Bt	D=*	.	.	.
0x7bb8	c	D=bd:C	.	.	.
0x7bcc	C	1P=*	.	.	=E,=EP,=P
0x7be0	cap	2M=cap	.	=cap-	.
0x7bf4	cap-	D=*	.	=cap	.
0x7c08	cbstring	1P2M=*	.	.	.
0x7c1c	D!@	.	.	.	handler:0x004030ce
0x7c30	d1!+	1PM=!*	.	.	.
0x7c44	d2!+	2M=!*	.	.	.
0x7c58	dlp	1PM=Bdlp,2=dlp	=ZI	=dlp-	=Zi,=Z7
0x7c6c	dlp-	D=*	.	=dlp,=Bdlp	.
0x7c80	E	1P=E,D=bE,=br,=bd:.,=ba:1,=ba:P	.	-Gm	.
0x7c94	EP	1P=E,=*,D=bE,=br,=bd:.,=ba:1,=ba:P	.	-Gm	.
0x7ca8	^f!>+	1P2=f:%f	.	.	.
0x7cbc	fastcap	2M=fastcap	.	=fastcap-	.
0x7cd0	fastcap-	D=*	.	=fastcap	.
0x7ce4	F!*x	C=stack\:!*	.	=stack\::?	.
0x7cf8	FC	D1P=*	.	.	.
0x7d0c	Fd:>#	1P=*!(*|vc60)<pdb,D2=*!(*|vc60)<<idb	.	=Fd:?	.
0x7d20	FD	1P=*	.	.	.
0x7d34	Fe:>#	D=Fe:(*|%b)<%X,C=out\:!(*|%b)<%X	.	=Fe:?,=out\::?	.
0x7d48	FI!*	1Pm=*:*	.	.	.
0x7d5c	Fm:>#	D=bm,=*:*,C=map\:!%m	.	=Fm:?,=map\::?	.
0x7d70	Fo:>#	D1P2=*!(*|%b)<obj,D-bo:Fo Fo (*|%b)	.	=*:?,=bo:Fo?	.
0x7d84	Fp:>#	1Pm=*!(*|vc60)<pch	.	=Fp:?	.
0x7d98	Fr:>#	D1Pm=*:(*|%b)<sbr,D-bo:Fr Fr (*|%b)	.	=Fr:?,=FR:?,=bo:Fr?	.
0x7dac	FR:>#	D1Pm=*:(*|%b)<sbr,D-bo:Fr FR (*|%b)	.	=Fr:?,=FR:?,=bo:Fr?	.
0x7dc0	GA	2M=*	.	=GD	.
0x7dd4	GD	2M=*	.	=GA	.
0x7de8	Gf	1PM=*	.	=GF	.
0x7dfc	GF	1PM=*	.	=Gf	.
0x7e10	Gh	2M=*	.	.	.
0x7e24	Gm	DP-*	.	=Gm-,-Bz,-E,-EP,-P,-Zg,-Zs	=Zi,=ZI
0x7e38	Gm-	D=*	.	=Gm	.
0x7e4c	GR	PM=*,-D!_CPPRTTI	.	=GR-	.
0x7e60	GR-	D=*	.	=GR,=D!_CPPRTTI	.
0x7e74	GT	2M=*	.	.	.
0x7e88	Gy	2M=*	.	.	.
0x7e9c	help	D=bh	.	.	.
0x7eb0	HELP	D=bh	.	.	.
0x7ec4	H!*x	2M=*:*	.	=H:?	.
0x7ed8	I!>+	1Pm=*:*	.	.	.
0x7eec	^il!>+	1P2=*:*	.	.	.
0x7f00	J	1PM=*,-D!_CHAR_UNSIGNED	.	.	.
0x7f14	link:@	.	.	.	handler:0x00403057
0x7f28	LD	D=*,C=dll,=implib\:!%x.lib,1PM-D!_MT,2M-MT	.	-ML,-MD,-MLd,-MTd,-MDd	.
0x7f3c	LDd	D=*,C=dll,=implib\:!%x.lib,1PM-D!_MT,2M-MTd	.	-ML,-MT,-MD,-MLd,-MDd,-D!_DEBUG	.
0x7f50	MD	2M=*,1PM-D!_MT,-D!_DLL	.	=ML,=MT,=MLd,=MTd,=MDd,-D!_DEBUG,=:defaultlib\:?	.
0x7f64	ML	2M=*	.	=MD,=MT,=MLd,=MTd,=MDd,-D!_DEBUG,-D!_MT,-D!_DLL	.
0x7f78	MT	2M=*,1PM-D!_MT	.	=MD,=ML,=MLd,=MTd,=MDd,-D!_DEBUG,-D!_DLL	.
0x7f8c	MDd	2M=*,1PM-D!_DEBUG,-D!_MT,-D!_DLL	.	=MLd,=MTd,=ML,=MT,=MD,=:defaultlib\:?	.
0x7fa0	MLd	2M=*,1PM-D!_DEBUG	.	=MDd,=MTd,=MD,=MT,=ML,-D!_MT,-D!_DLL	.
0x7fb4	MTd	2M=*,1PM-D!_DEBUG,-D!_MT	.	=MDd,=MLd,=MD,=ML,=MT,-D!_DLL	.
0x7fc8	noBool	PM=*	.	=noBool-	.
0x7fdc	noBool-	D=*	.	=noBool	.
0x7ff0	nologo	1P=*,C=nologo	.	=nologo-	.
0x8004	nologo-	D=*	.	=nologo	.
0x8018	noover	.	.	=noover-	.
0x802c	noover-	.	.	=noover	.
0x8040	Oa	1PM=*	.	=Oa-	.
0x8054	Oa-	D=*	.	=Oa	.
0x8068	Og	1PM=*	=GZ,=ZI	=Og-	.
0x807c	Og-	D=*	.	=Og	.
0x8090	Oi	1PM=*	.	=Oi-	.
0x80a4	Oi-	D=*	.	=Oi	.
0x80b8	Ow	1PM=*	.	=Ow-	.
0x80cc	Ow-	D=*	.	=Ow	.
0x80e0	P	D=br,=bd:.,=ba:1,=ba:P,1P=E,=Fi:%b.i	.	-Gm	.
0x80f4	^pc!+	1P=*:*	.	.	.
0x8108	Tc!@	.	.	.	handler:0x004031e6
0x811c	Tp!@	.	.	.	handler:0x00403200
0x8130	To!@	.	.	.	handler:0x004031cc
0x8144	TC	D=bt:C	.	=bt:?	.
0x8158	TO	D=bt:O	.	=bt:?	.
0x816c	TP	D=bt:P	.	=bt:?	.
0x8180	U!*	D=bU:*	.	.	.
0x8194	u	D=bu	.	.	.
0x81a8	V!*	1PM=*:*	.	.	.
0x81bc	vd!$d[0,1]	PM=*!*	=vd:?	.	.
0x81d0	vmb	PM=*	=vmg	.	.
0x81e4	vmg	PM=*	=vmb	.	.
0x81f8	vmm	PM=*	=vms,=vmv	.	.
0x820c	vms	PM=*	=vmm,=vmv	.	.
0x8220	vmv	PM=*	=vmm,=vms	.	.
0x8234	WX	1P2M=*	.	=WX-	.
0x8248	WX-	D=*	.	=WX	.
0x825c	W!*d[0-4,1]	1P2M=*:*	.	=W:?	.
0x8270	w	1P2M=W:0	.	=W:?	.
0x8284	X	D=*	.	.	.
0x8298	Yc:#	1Pm=*!*	.	=Yc:?,=YX:?,=ZM	.
0x82ac	Yd	1PM=*	.	.	.
0x82c0	Yu:#	1Pm=*!*	.	=Yu:?,=YX:?	.
0x82d4	YX:#	1Pm=*!*	.	=Yc:?,=Yu:?,=ZM	.
0x82e8	Yl:#	1PM=*!*	.	.	.
0x82fc	Za	1P2M=*,1PM-Op	=Ze,=ZBe	-Op-,-D!_MSC_EXTENSIONS	.
