# retail inlines these but our CL calls them; total extra base-calls across plateaus
total_extra_calls	in_n_functions	callee
73	10	?_Tidy@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEX_N@Z
35	18	??3@YAXPAX@Z
17	6	?_Grow@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAE_NI_N@Z
17	4	?format_string@@YA?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PBDZZ
17	6	?_Xlen@std@@YAXXZ
16	3	??2@YAPAXI@Z
13	1	?insert@?$vector@PAVwidget@@V?$allocator@PAVwidget@@@std@@@std@@QAEXPAPAVwidget@@IABQAV3@@Z
13	4	?_Eos@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEXI@Z
13	4	?append@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@ABV12@II@Z
12	10	?can_shoot@army@@QBEEPBV1@@Z
11	6	?UpdateScreen@heroWindowManager@@QAEXHHHH@Z
9	2	??4reference@?$bitset@$08@std@@QAEAAV012@_N@Z
9	1	?DDBlit@@YIXPAUIDirectDrawSurface4@@PBUtagRECT@@01K@Z
9	3	?NormalDialog@@YIXPBDHHHHHHHHHHH@Z
9	5	?get_total_hit_points@army@@QBEJE@Z
8	2	??A?$bitset@$08@std@@QAE?AVreference@01@I@Z
7	3	?append@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@PBDI@Z
7	6	?GetSpeed@army@@QBEHXZ
7	1	?DrawCursor@advManager@@QAEXHH@Z
7	4	?get_average_damage@army@@QBEJPBV1@EJEJ@Z
6	2	?_Xran@?$bitset@$0EG@@std@@ABEXXZ
6	4	?obscure_cell@type_obscuring_object@@QAEXW4TAdventureObjectType@@J@Z
6	2	?insert@?$vector@Utype_point@@V?$allocator@Utype_point@@@std@@@std@@QAEXPAUtype_point@@IABU3@@Z
6	4	_sqrt
5	1	?DrawHero@CSprite@@QAEXHHHHHHPAGHHHHHE@Z
5	1	?DrawHeroShadow@CSprite@@QAEXHHHHHHPAGHHHHHE@Z
4	1	??0bitmapBorder@@QAE@HHHHHPBDH@Z
4	3	?assign@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@ABV12@II@Z
4	3	?_Copy@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEXI@Z
4	4	?SendMapChange@@YIXPAVCMapChange@@@Z
4	1	?erase@?$vector@Utype_point@@V?$allocator@Utype_point@@@std@@@std@@QAEPAUtype_point@@PAU3@0@Z
4	4	?GetMapExtra@@YIGHHH@Z
4	1	?get_trigger_cell@NewmapCell@@QAEPAV1@XZ
4	1	?get_map_extraInfo@NewmapCell@@QAEKXZ
4	3	?get_unit_combat_value@army@@QBENJJEPBV1@@Z
4	1	?spell_is_single_target@@YIEHH@Z
3	2	?assign@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@PBDI@Z
3	3	?GetSprite@ResourceManager@@YIPAVCSprite@@PBD@Z
3	2	?is_outside_placement_boundry@combatManager@@QAEEHH@Z
3	1	?size@?$vector@Utype_point@@V?$allocator@Utype_point@@@std@@@std@@QBEIXZ
