# generator: homm3.analysis.vtable_names
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-04
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
vtable_rva	slots	class	grade	resolved_slots	named_slots	detail
0x23aba8	3			3	0	no named slots
0x23abb4	3			3	0	no named slots
0x23bb0c	2			2	0	no named slots
0x23bb1c	2			2	0	no named slots
0x23bb24	2			2	0	no named slots
0x23bb2c	2			2	0	no named slots
0x23bb34	2			2	0	no named slots
0x23bb3c	2			2	0	no named slots
0x23bb44	2			2	0	no named slots
0x23d410	4			4	0	no named slots
0x23d420	4			4	0	no named slots
0x23d430	4			4	0	no named slots
0x23d448	9			9	0	no named slots
0x23d528	9			9	0	no named slots
0x23d6fc	14		at-or-below	14	4	slots name only CHeroWindowEx - this table is CHeroWindowEx or a subclass
0x23d938	8			8	6	no named slots
0x23d958	13			13	9	no named slots
0x23d98c	13			13	0	no named slots
0x23d9c0	8			8	0	no named slots
0x23d9e0	8			8	0	no named slots
0x23da00	8			8	0	no named slots
0x23da20	8			8	0	no named slots
0x23da40	8			8	0	no named slots
0x23da60	8		at-or-below	8	1	slots name only CHeroWindowEx - this table is CHeroWindowEx or a subclass
0x23da80	8			8	0	no named slots
0x23daa0	8			8	0	no named slots
0x23dac0	3			3	2	no named slots
0x23dacc	3			3	0	no named slots
0x23dad8	13			13	0	no named slots
0x23db0c	13			13	0	no named slots
0x23db9c	15		at-or-below	15	3	slots name only CHeroWindowEx - this table is CHeroWindowEx or a subclass
0x23e508	2			2	0	no named slots
0x23e5f8	2			2	0	no named slots
0x23e60c	3			3	0	no named slots
0x23e618	7			7	0	no named slots
0x23e634	3			3	0	no named slots
0x23e640	7			7	0	no named slots
0x23e6d8	9			9	0	no named slots
0x23e704	3			3	0	no named slots
0x23e710	13			13	0	no named slots
0x23e744	2			2	0	no named slots
0x23e74c	3			3	0	no named slots
0x23eb68	9			9	0	no named slots
0x23ebbc	14		at-or-below	14	3	slots name only CHeroWindowEx - this table is CHeroWindowEx or a subclass
0x23fe1c	14		at-or-below	14	1	slots name only widget - this table is widget or a subclass
0x23fe54	3			3	0	no named slots
0x23fe60	15		at-or-below	15	3	slots name only CHeroWindowEx - this table is CHeroWindowEx or a subclass
0x23ff50	9			9	0	no named slots
0x240028	4			4	0	no named slots
0x240054	19		at-or-below	19	1	slots name only textEntryWidget - this table is textEntryWidget or a subclass
0x2400a0	14		at-or-below	14	2	slots name only CHeroWindowEx - this table is CHeroWindowEx or a subclass
0x2400d8	7			7	0	no named slots
0x2400f4	15		at-or-below	15	3	slots name only CHeroWindowEx - this table is CHeroWindowEx or a subclass
0x240130	21			21	0	no named slots
0x240184	21			21	0	no named slots
0x2401d8	14		at-or-below	14	3	slots name only CHeroWindowEx - this table is CHeroWindowEx or a subclass
0x240210	21			21	0	no named slots
0x240264	3			3	0	no named slots
0x240270	2			2	2	no named slots
0x2402c4	2			2	0	no named slots
0x2402cc	2			2	1	no named slots
0x2402d4	2			2	0	no named slots
