# GENERATED: homm3 vc6 queue - regenerate, never hand-edit.
# Existing compiled bodies, sorted by current-implementation MAX; retail size breaks ties.
# Banked-exact current dips are observational and excluded.
# recoverable = size * (1 - max_fuzzy/100).
class	recoverable	max_fuzzy	hist_fuzzy	headroom	current_fuzzy	size	unit	fn	route	knob
not diagnosed	256	10.5000	41.9271	31.4271	10.5000	286	seerhut	?loadFromMap@type_quest@@UAEXPAVTAbstractFile@@@Z	diagnose	-
not diagnosed	249	25.6261	49.7043	24.0782	25.6261	335	seerhut	?load@type_quest@@UAEXPAVTAbstractFile@@H@Z	diagnose	-
not diagnosed	250	31.6268	31.6268	0.0000	31.6268	366	rmg	?buildVertices@TRmgVoronoi@@QAEXXZ	diagnose	-
not diagnosed	514	34.0405	67.9099	33.8694	34.0405	780	singleselectionwindow	?updateGameVars@TSingleSelectionWindow@@QAEXXZ	diagnose	-
not diagnosed	588	42.5710	46.3642	3.7932	42.5710	1024	seerhut	?doSeerEvent@TSeerHut@@QAEXPAVhero@@_N@Z	diagnose	-
not diagnosed	459	45.3869	45.3869	0.0000	45.3869	840	rmg_support	?addSite@TRmgVoronoi@@QAEXUTPoint@@PAUTRmgZone@@@Z	diagnose	-
not diagnosed	687	53.9868	80.9474	26.9606	53.9868	1494	customcampaign	?load@CampaignHeaderStruct@TCampaignBrief@@QAE_NXZ	diagnose	-
not diagnosed	381	56.7217	93.4037	36.6820	56.7217	881	mapcell	?load@NewfullMap@@QAEHPAVTAbstractFile@@HEH@Z	diagnose	-
not diagnosed	495	57.8991	95.7136	37.8145	57.8991	1176	game	?readMapPlayerSlot@TPlayerSlotAttributes@CMapHeaderData@@QAEXPAVTAbstractFile@@H@Z	diagnose	-
not diagnosed	1490	60.5547	92.4127	31.8580	60.5547	3778	game	?load@game@@QAEHPAVTAbstractFile@@@Z	diagnose	-
not diagnosed	182	61.0788	62.3455	1.2667	61.0788	468	mapcell	??0CObjectType@@QAE@PAUTObjectType@@@Z	diagnose	-
not diagnosed	409	62.4753	62.4753	0.0000	62.4753	1089	rmg	?floodConnectionCosts@type_random_map@@QAEXUTRmgMapPosition@@E@Z	diagnose	-
not diagnosed	308	63.6299	63.6299	0.0000	63.6299	846	rmg_terrain	?queueOtherTerrainNeighbours@rmgTerrainPainter@@QAEXABUTRmgGridPoint@@@Z	diagnose	-
not diagnosed	791	63.8664	78.2855	14.4191	63.8664	2190	game	?loadMap@game@@QAE_NPAVTAbstractFile@@@Z	diagnose	-
not diagnosed	117	63.9923	63.9923	0.0000	63.9923	326	rmg_terrain	?refreshRmgLinePoint@@YIXPAVTRmgLinePainterInterface@@ABUTRmgGridPoint@@@Z	diagnose	-
not diagnosed	326	64.3242	64.3242	0.0000	64.3242	915	philai	??0type_spellvalue@@QAE@PBVhero@@@Z	diagnose	-
not diagnosed	244	65.6485	65.6485	0.0000	65.6485	710	rmg	?floodWaterZoneDistances@type_random_map_generator@@QAEXUTRmgMapPosition@@H@Z	diagnose	-
not diagnosed	214	66.4512	66.4512	0.0000	66.4512	638	rmg	?prepareJunctionZone@type_random_map_generator@@QAEXPAUTRmgZone@@@Z	diagnose	-
not diagnosed	297	67.0694	67.0694	0.0000	67.0694	901	rmg	?placeKeyTentGuard@type_random_map_generator@@QAEEPAVtype_object@@H@Z	diagnose	-
not diagnosed	11	67.5294	67.5294	0.0000	67.5294	34	rmg_terrain	?at@TRmgLinePainterInterface@@QAE?AUTRmgLinePainterTile@@ABUTRmgGridPoint@@@Z	diagnose	-
not diagnosed	147	68.4070	68.4070	0.0000	68.4070	466	rmg	?placeMonolithBorder@type_random_map_generator@@QAEEUTRmgMapPosition@@PAUTRmgZone@@@Z	diagnose	-
not diagnosed	349	68.8293	68.8293	0.0000	68.8293	1120	rmg	?placeZoneTreasures@type_random_map_generator@@QAEXPAUTRmgZone@@@Z	diagnose	-
not diagnosed	438	68.8871	68.8871	0.0000	68.8871	1407	rmg	?joinExtraZones@type_random_map_generator@@QAEXHPAVTRmgVoronoi@@@Z	diagnose	-
not diagnosed	246	69.5855	69.5855	0.0000	69.5855	810	rmg	?addObject@type_random_map_generator@@UAEXPAVtype_object@@UTRmgMapPosition@@@Z	diagnose	-
not diagnosed	187	70.1029	70.1029	0.0000	70.1029	625	rmg_terrain	?getTransitionStrength@rmgTerrainPainter@@QAEHABUTRmgGridPoint@@H@Z	diagnose	-
not diagnosed	844	70.3423	79.2531	8.9108	70.3423	2846	customcampaign	?load@SCampaign@@QAEXPAVTAbstractFile@@H@Z	diagnose	-
not diagnosed	172	70.4101	70.4101	0.0000	70.4101	580	rmg	?paintRoad@type_random_map_generator@@QAEEUTRmgMapPosition@@H@Z	diagnose	-
not diagnosed	394	70.4307	95.3605	24.9298	70.4307	1333	mapcell	?readBlackBox@NewfullMap@@QAEHPAVTAbstractFile@@PAVBlackBoxData@@H@Z	diagnose	-
not diagnosed	56	71.5122	71.5122	0.0000	71.5122	198	rmg	?reset@TRmgTreasureGroup@@QAEXXZ	diagnose	-
not diagnosed	320	71.5746	71.5746	0.0000	71.5746	1126	rmg	?tryPlaceMine@type_random_map_generator@@QAEEPAUTRmgZone@@HEH@Z	diagnose	-
not diagnosed	176	71.7235	71.7235	0.0000	71.7235	622	rmg	?createRoads@type_random_map_generator@@QAEXXZ	diagnose	-
