# GENERATED: python -m homm3.vc6.weighted_queue
# Admitted compiled bodies, sorted by increasing current-implementation MAX, then decreasing retail size.
# HIST is retained to expose peaks lost by source edits; it does not exclude a row.
va	size	current	maximum	historical	remaining_bytes	unit	function	state
0x00439c30	271		0.0	95.4886	271.0	ai_tactical	?getCureValue@type_AI_spellcaster@@QAEJPBVarmy@@Utype_enchant_data@@@Z	admitted
0x00439d40	148		0.0	100.0	148.0	ai_tactical	?getAntimagicValue@type_AI_spellcaster@@QAEJPBVarmy@@Utype_enchant_data@@@Z	admitted
0x00439de0	148		0.0	100.0	148.0	ai_tactical	?getBacklashValue@type_AI_spellcaster@@QAEJPBVarmy@@Utype_enchant_data@@@Z	admitted
0x005bc760	123		0.0	100.0	123.0	textwdgt	??0bitmapBackedTextWidget@@QAE@HHHHPBD00W4TColor@font@@HIH@Z	admitted
0x00439bc0	110		0.0	100.0	110.0	ai_tactical	?getDispelValue@type_AI_spellcaster@@QAEJPBVarmy@@Utype_enchant_data@@@Z	admitted
0x0056ce50	286	10.5	10.5	41.9271	255.97	seerhut	?loadFromMap@type_quest@@UAEXPAVTAbstractFile@@@Z	admitted
0x00421000	629	17.861385	17.8614	95.7822	516.651794	ai	?chooseResurrectAction@combatManager@@QAEEPBVarmy@@PAJPAUtype_AI_combat_parameters@@@Z	admitted
0x00438910	251	22.22353	22.2235	100.0	195.219015	ai_tactical	?getDefenseSkillValue@type_AI_spellcaster@@QAEJPBVarmy@@JJ@Z	admitted
0x0056cd00	335	25.626087	25.6261	49.7043	249.15256499999998	seerhut	?load@type_quest@@UAEXPAVTAbstractFile@@H@Z	admitted
0x004e59a0	248	32.623375	32.6234	100.0	167.09396800000002	hero	?fly@hero@@QAEXH@Z	admitted
0x00583580	780	34.04054	34.0405	67.9099	514.4840999999999	singleselectionwindow	?updateGameVars@TSingleSelectionWindow@@QAEXXZ	admitted
0x00573670	1024	42.570988	42.571	46.3642	588.07296	seerhut	?doSeerEvent@TSeerHut@@QAEXPAVhero@@_N@Z	admitted
0x00488880	1494	53.986843	53.9868	80.9474	687.4372079999999	customcampaign	?load@CampaignHeaderStruct@TCampaignBrief@@QAE_NXZ	admitted
0x004bcda0	3778	60.554672	60.5547	92.4127	1490.2434340000002	game	?load@game@@QAEHPAVTAbstractFile@@@Z	admitted
0x00506080	468	61.07879	61.0788	62.3455	182.151216	mapcell	??0CObjectType@@QAE@PAUTObjectType@@@Z	admitted
0x005a7080	666	62.495193	62.4952	93.4375	249.78196800000003	spells	?summonElemental@combatManager@@QAEXHW4TCreatureType@@HH@Z	admitted
0x005b50f0	846	63.629852	63.6299	63.6299	307.69104600000003	rmg_terrain	?queueOtherTerrainNeighbours@rmgTerrainPainter@@QAEXABUTRmgGridPoint@@@Z	admitted
0x004c2450	2190	63.866386	63.8664	78.2855	791.32584	game	?loadMap@game@@QAE_NPAVTAbstractFile@@@Z	admitted
0x00526d40	915	64.32416	64.3242	64.3242	326.4335699999999	philai	??0type_spellvalue@@QAE@PBVhero@@@Z	admitted
0x004c3ef0	1176	67.558685	67.5587	95.7136	381.5096879999999	game	?readMapPlayerSlot@TPlayerSlotAttributes@CMapHeaderData@@QAEXPAVTAbstractFile@@H@Z	admitted
0x00437800	501	68.49701	68.497	99.8503	157.83003000000002	ai_tactical	?getAttackSkillValue@type_AI_spellcaster@@QAEJPBVarmy@@0JJ@Z	admitted
0x0048a310	2846	69.57677	69.5768	79.2531	865.8442719999998	customcampaign	?load@SCampaign@@QAEXPAVTAbstractFile@@H@Z	admitted
0x005b4960	434	69.98039	69.9804	69.9804	130.285064	rmg_terrain	?paintRectangle@rmgTerrainPainter@@QAEXIIII@Z	admitted
0x00548df0	2463	73.26126	73.2613	85.9575	658.5741809999998	rmg	?createRiver@type_random_map_generator@@QAEXUTRmgMapPosition@@@Z	admitted
0x00514d80	644	73.32632	73.3263	82.2717	171.778628	objecttype	?load@TObjectTypeTable@@QAEXPAD@Z	admitted
0x004ec460	111	73.333336	73.3333	100.0	29.60003700000001	inputmgr	??0inputManager@@QAE@XZ	admitted
0x004886a0	306	75.72034	75.7203	78.5339	74.295882	customcampaign	??1CampaignHeaderStruct@TCampaignBrief@@QAE@XZ	admitted
0x004e3070	825	76.33603	76.336	76.336	195.22799999999998	hero	?giveArtifact@hero@@QAEEPBUtype_artifact@@EE@Z	admitted
0x004be3f0	2725	76.92083	76.9208	96.4044	628.9082	game	?save@game@@QAEHPAVTAbstractFile@@@Z	admitted
0x00530f10	111	76.947365	76.9474	76.9474	25.588386	rmg	?clear@TRmgMapItem@@QAEXXZ	admitted
0x005b6540	714	77.26087	77.2609	77.2609	162.35717399999993	rmg_terrain	?buildMatchingNeighbourMask@rmgTerrainPainter@@QAEXABUTRmgGridPoint@@PAE@Z	admitted
0x004022e0	359	77.48718	77.4872	77.4872	80.82095199999999	adventuremapwindow	?sendChat@CAdventurMapChatEdit@@UAEXPBDH@Z	admitted
0x00524690	1668	78.19582	78.1958	78.1958	363.69405599999993	philai	?getSkillValue@@YIJPBVhero@@W4TSecondarySkill@@E@Z	admitted
0x005b72f0	549	78.60215	78.6021	100.0	117.47447100000002	rmg_terrain	??1TRmgTerrainBrush@@QAE@XZ	admitted
0x004dd2d0	5182	78.64578	78.6458	78.6458	1106.574644	hero	?windowHandler@THeroScreenWindow@@UAEHPAVmessage@@@Z	admitted
0x004ee3e0	7172	78.76354	78.7743	78.9421	1522.3072040000002	kb	?oldmain@@YIHXZ	admitted
0x0058bce0	1455	78.90554	78.9055	78.9055	306.9249749999999	singleselectionwindow	?onBeginGame@TSingleSelectionWindow@@QAEEXZ	admitted
0x004f2960	894	79.11069	79.1107	79.1107	186.7503420000001	kb	?displayLCWinLoss@@YIEAAVLossConditionStruct@@AAH1E@Z	admitted
0x00602520	640	79.28421	79.2842	100.0	132.58112000000006	winmgr	?doDialog@heroWindowManager@@QAEHPAVheroWindow@@P6IHAAVmessage@@@ZH@Z	admitted
0x004d6d60	25	80.0	80.0	100.0	4.999999999999999	gzfile	??1TGzFile@@UAE@XZ	admitted
0x00521960	2819	80.0996	80.0996	80.0996	560.9922760000002	overview	?windowHandler@TOverviewWindow@@UAEHPAVmessage@@@Z	admitted
0x005c0d20	317	81.18519	81.1852	89.6018	59.64291600000003	town	?canBuild@town@@QBEEF@Z	admitted
0x004c6fe0	2375	81.334335	81.3343	83.3584	443.3103749999999	game	?nextPlayer@game@@QAEXXZ	admitted
0x0044cd50	1512	81.376236	81.3762	81.3762	281.591856	artifact	?initializeArtifactTraitsTable@@YIEXZ	admitted
0x0047dd40	2776	81.42486	81.4249	83.2115	515.6447760000003	cspriteframe	?drawTile@CSpriteFrame@@QBEXHHHHPAGHHHHHAAVTPalette16@@EE@Z	admitted
0x004d6920	593	81.434555	81.4346	81.4346	110.092822	gzinflatebuf	?underflow@TGzInflateBuf@@UAEHXZ	admitted
0x00541140	1594	81.81753	81.8175	81.8175	289.82905	rmg	?createGroundConnection@type_random_map_generator@@QAEEPAUTRmgZone@@PAUTRmgZoneConnection@@PAV?$vector@PAUTRmgMapItem@@V?$allocator@PAUTRmgMapItem@@@std@@@std@@PAV?$vector@UTRmgMapPosition@@V?$allocator@UTRmgMapPosition@@@std@@@5@@Z	admitted
0x00580430	1595	81.87186	81.8719	81.8719	289.14319500000005	singleselectionwindow	?rebuildFilteredPlayerSetup@TSingleSelectionWindow@@QAEXXZ	admitted
0x005f2a40	968	82.017044	82.017	82.017	174.07544000000004	victorylossconditions	?checkForDefeatedHeroLoss@LossConditionStruct@@QAEEPBVhero@@@Z	admitted
0x00542080	2218	82.100525	82.1005	82.1005	397.01091	rmg	?createSubterraneanGate@type_random_map_generator@@QAEEPAUTRmgZone@@PAUTRmgZoneConnection@@@Z	admitted
0x0056a0d0	642	82.55238	82.5524	86.3333	112.01359199999997	search	?buildPath@searchArray@@QAEHPBVhero@@J@Z	admitted
0x005021c0	2101	82.95695	82.957	92.7472	358.07343000000014	mapcell	?readHeroData@NewfullMap@@QAEHPAVTAbstractFile@@PAVCObject@@H@Z	admitted
0x0042e0b0	2926	82.963974	82.964	82.964	498.4733600000002	ai_player	?aiChooseDestination@@YIHPAVhero@@JAAUHeroDestination@@AAJEE@Z	admitted
0x004a6440	216	83.03571	83.0357	83.0357	36.642888	events	?doTreasureDialog@advManager@@QAEXPAVhero@@H_N@Z	admitted
0x0056dad0	652	83.22523	83.2252	83.2252	109.371696	seerhut	?doProposalDialog@type_skill_quest@@UAEXPAVhero@@@Z	admitted
0x00487e40	1414	83.28998	83.29	83.29	236.27939999999987	customcampaign	?read@ScenarioStruct@TCampaignBrief@@QAEXPAVTAbstractFile@@HH@Z	admitted
0x0046f7b0	1834	83.35985	83.3598	83.3598	305.1812679999999	combatoptionswindow	?combatOptionsWindowHandler@@YIHAAVmessage@@@Z	admitted
0x0044e2b0	313	83.57937	83.5794	83.5794	51.39647799999999	bitmap16	?draw@Bitmap16Bit@@QBEXHHHHPAGHHHHH_N@Z	admitted
0x0042db20	585	83.61905	83.6191	83.6191	95.82826499999999	ai_player	?splitArmies@@YIXPAVhero@@PBV1@PBVarmyGroup@@@Z	admitted
0x00547880	1969	83.71533	83.7153	83.7153	320.6457429999999	rmg	?buildRoadCostMap@type_random_map_generator@@QAEXUTRmgMapPosition@@@Z	admitted
0x004cafd0	3348	83.804436	83.8044	85.0958	542.2286879999999	game	?transmitSaveGame@game@@QAEHHHEE@Z	admitted
0x004c6c50	747	83.870964	83.871	96.9556	120.48363000000003	game	?viewArmy@game@@QAEXAAVarmyGroup@@HPBVhero@@PBVtown@@HHEE@Z	admitted
0x00488fb0	1320	83.884796	83.8848	83.8848	212.72063999999995	customcampaign	?play@MapTextStruct@TCampaignBrief@@QAEXXZ	admitted
0x00491140	447	83.924416	83.9244	83.9477	71.85793199999995	diff	?makeDiff@CDiffMaker@@QAEPAVCDiffFile@@AAK@Z	admitted
0x005afdf0	2747	84.050156	84.0502	84.8412	438.1410059999998	swapmgr	?main@swapManager@@UAEHAAVmessage@@@Z	admitted
0x005b5a70	2215	84.064476	84.0645	84.0645	352.97132500000004	rmg_terrain	?paintTransitions@rmgTerrainPainter@@QAEXXZ	admitted
0x0055a250	753	84.10887	84.1089	84.1089	119.65998299999994	resourcemanager	?open@ResourceManager@@YI_N_N0PAH@Z	admitted
0x00602dc0	759	84.1098	84.1098	84.1098	120.60661799999991	winmgr	?fizzleForwardX@heroWindowManager@@QAEXHHHHH@Z	admitted
0x00491050	237	84.166664	84.1667	84.1667	37.524920999999985	diff	?findNextSame@CDiffMaker@@IAE_NHHAAH0@Z	admitted
0x00436180	378	84.375	84.375	84.375	59.0625	ai_tactical	?getHexAttackValue@type_AI_attack_hex_chooser@@IAEJJAAJ@Z	admitted
0x004c6960	201	84.411766	84.4118	84.4118	31.332281999999992	game	?claimGarrison@game@@QAEXHH@Z	admitted
0x0045f2f0	620	84.45763	84.4576	84.4576	96.36288	campaignwindow	?campaignWindowHandler@@YIHAAVmessage@@@Z	admitted
0x00555aa0	1091	84.513885	84.5139	100.0	168.9533509999999	remote	?handleMPlayerLaunch@@YIEXZ	admitted
0x005997d0	703	84.52804	84.528	84.528	108.76815999999998	soundmgr	?open@soundManager@@UAEHH@Z	admitted
0x00429110	1708	79.71115	84.5868	84.5868	263.2574560000001	ai_player	?makeGift@type_AI_player@@QAEXJ@Z	admitted
0x00536bc0	1524	84.67878	84.6788	84.6788	233.495088	rmg	?scoreObjectPlacement@type_random_map_generator@@QAEHPAUTRmgObjectPropertiesRef@@UTRmgMapPosition@@@Z	admitted
0x0044b620	510	84.85475	84.8547	84.8547	77.24103000000002	armygrp	?merge@armyGroup@@QAEEPAV1@@Z	admitted
0x0052e430	638	84.94444	84.9444	96.5463	96.05472800000001	questlogwindow	?doQuestLog@@YIXH@Z	admitted
0x005a7c80	1032	84.95786	84.9579	84.9579	155.23447200000004	spells	?earthquake@combatManager@@QAEXH@Z	admitted
